#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Water Detect,Button Down,Button Up,Host Connected,End of File
89,06/14/2024 01:10:00,25.40,-43.20,7.82,,,,,
90,06/14/2024 01:20:00,25.38,-43.28,7.82,,,,,
91,06/14/2024 01:30:00,25.36,-43.10,7.82,,,,,
92,06/14/2024 01:40:00,25.33,-42.95,7.82,,,,,
93,06/14/2024 01:50:00,25.31,-43.11,7.82,,,,,
94,06/14/2024 02:00:00,25.26,-43.14,7.82,,,,,
95,06/14/2024 02:10:00,25.23,-43.14,7.82,,,,,
96,06/14/2024 02:20:00,25.21,-43.06,7.82,,,,,
97,06/14/2024 02:30:00,25.19,-43.31,7.82,,,,,
98,06/14/2024 02:40:00,25.16,-43.10,7.82,,,,,
99,06/14/2024 02:50:00,25.14,-43.11,7.82,,,,,
100,06/14/2024 03:00:00,25.11,-42.95,7.82,,,,,
101,06/14/2024 03:10:00,25.09,-42.91,7.82,,,,,
102,06/14/2024 03:20:00,25.06,-43.00,7.82,,,,,
103,06/14/2024 03:30:00,25.04,-42.99,7.82,,,,,
104,06/14/2024 03:40:00,25.02,-43.05,7.82,,,,,
105,06/14/2024 03:50:00,25.02,-43.10,7.82,,,,,
106,06/14/2024 04:00:00,24.99,-43.20,7.82,,,,,
107,06/14/2024 04:10:00,24.97,-43.16,7.82,,,,,
108,06/14/2024 04:20:00,24.94,-43.20,7.82,,,,,
109,06/14/2024 04:30:00,24.92,-43.24,7.82,,,,,
110,06/14/2024 04:40:00,24.92,-43.24,7.82,,,,,
111,06/14/2024 04:50:00,24.90,-43.19,7.82,,,,,
112,06/14/2024 05:00:00,24.87,-43.31,7.82,,,,,
113,06/14/2024 05:10:00,24.85,-43.17,7.82,,,,,
114,06/14/2024 05:20:00,24.85,-43.31,7.82,,,,,
115,06/14/2024 05:30:00,24.82,-43.44,7.83,,,,,
116,06/14/2024 05:40:00,24.80,-43.31,7.82,,,,,
117,06/14/2024 05:50:00,24.80,-43.44,7.83,,,,,
118,06/14/2024 06:00:00,24.80,-43.38,7.83,,,,,
119,06/14/2024 06:10:00,24.77,-43.52,7.83,,,,,
120,06/14/2024 06:20:00,24.77,-43.42,7.83,,,,,
121,06/14/2024 06:30:00,24.75,-43.52,7.83,,,,,
122,06/14/2024 06:40:00,24.75,-43.63,7.83,,,,,
123,06/14/2024 06:50:00,24.73,-43.53,7.83,,,,,
124,06/14/2024 07:00:00,24.73,-43.91,7.84,,,,,
125,06/14/2024 07:10:00,24.73,-43.83,7.84,,,,,
126,06/14/2024 07:20:00,24.73,-43.81,7.84,,,,,
127,06/14/2024 07:30:00,24.70,-44.19,7.84,,,,,
128,06/14/2024 07:40:00,24.70,-44.08,7.84,,,,,
129,06/14/2024 07:50:00,24.70,-43.91,7.84,,,,,
130,06/14/2024 08:00:00,24.70,-44.38,7.85,,,,,
131,06/14/2024 08:10:00,24.73,-44.44,7.85,,,,,
132,06/14/2024 08:20:00,24.73,-44.35,7.85,,,,,
133,06/14/2024 08:30:00,24.75,-44.53,7.85,,,,,
134,06/14/2024 08:40:00,24.77,-44.63,7.85,,,,,
135,06/14/2024 08:50:00,24.85,-44.86,7.86,,,,,
136,06/14/2024 09:00:00,24.87,-44.69,7.85,,,,,
137,06/14/2024 09:10:00,24.90,-44.85,7.86,,,,,
138,06/14/2024 09:20:00,24.90,-44.80,7.85,,,,,
139,06/14/2024 09:30:00,24.92,-44.99,7.86,,,,,
140,06/14/2024 09:40:00,24.94,-44.97,7.86,,,,,
141,06/14/2024 09:50:00,25.02,-45.27,7.86,,,,,
142,06/14/2024 10:00:00,25.09,-45.52,7.87,,,,,
143,06/14/2024 10:10:00,25.16,-45.64,7.87,,,,,
144,06/14/2024 10:20:00,25.26,-46.10,7.88,,,,,
145,06/14/2024 10:30:00,25.33,-46.25,7.88,,,,,
146,06/14/2024 10:40:00,25.43,-46.64,7.89,,,,,
147,06/14/2024 10:50:00,25.53,-47.11,7.90,,,,,
148,06/14/2024 11:00:00,25.60,-47.28,7.90,,,,,
149,06/14/2024 11:10:00,25.74,-47.19,7.90,,,,,
150,06/14/2024 11:20:00,25.82,-47.85,7.91,,,,,
151,06/14/2024 11:30:00,25.87,-48.08,7.92,,,,,
152,06/14/2024 11:40:00,25.96,-48.33,7.92,,,,,
153,06/14/2024 11:50:00,26.04,-49.52,7.95,,,,,
154,06/14/2024 12:00:00,26.13,-49.60,7.95,,,,,
155,06/14/2024 12:10:00,26.18,-50.19,7.96,,,,,
156,06/14/2024 12:20:00,26.21,-50.35,7.96,,,,,
157,06/14/2024 12:30:00,26.30,-51.20,7.98,,,,,
158,06/14/2024 12:40:00,26.35,-51.02,7.98,,,,,
159,06/14/2024 12:50:00,26.40,-51.30,7.98,,,,,
160,06/14/2024 13:00:00,26.45,-51.17,7.98,,,,,
161,06/14/2024 13:10:00,26.48,-51.95,7.99,,,,,
162,06/14/2024 13:20:00,26.52,-51.81,7.99,,,,,
163,06/14/2024 13:30:00,26.62,-52.08,8.00,,,,,
164,06/14/2024 13:40:00,26.60,-52.06,8.00,,,,,
165,06/14/2024 13:50:00,26.62,-52.66,8.01,,,,,
166,06/14/2024 14:00:00,26.65,-52.50,8.01,,,,,
167,06/14/2024 14:10:00,26.67,-52.39,8.00,,,,,
168,06/14/2024 14:20:00,26.70,-52.60,8.01,,,,,
169,06/14/2024 14:30:00,26.72,-52.38,8.00,,,,,
170,06/14/2024 14:40:00,26.70,-52.25,8.00,,,,,
171,06/14/2024 14:50:00,26.72,-52.41,8.00,,,,,
172,06/14/2024 15:00:00,26.77,-52.66,8.01,,,,,
173,06/14/2024 15:10:00,26.74,-52.28,8.00,,,,,
174,06/14/2024 15:20:00,26.74,-51.31,7.98,,,,,
175,06/14/2024 15:30:00,26.77,-51.20,7.98,,,,,
176,06/14/2024 15:40:00,26.79,-51.60,7.99,,,,,
177,06/14/2024 15:50:00,26.79,-51.47,7.98,,,,,
178,06/14/2024 16:00:00,26.82,-51.28,7.98,,,,,
179,06/14/2024 16:10:00,26.84,-51.22,7.98,,,,,
180,06/14/2024 16:20:00,26.84,-50.74,7.97,,,,,
181,06/14/2024 16:30:00,26.84,-50.31,7.96,,,,,
182,06/14/2024 16:40:00,26.84,-50.83,7.97,,,,,
183,06/14/2024 16:50:00,26.84,-50.31,7.96,,,,,
184,06/14/2024 17:00:00,26.82,-49.74,7.95,,,,,
185,06/14/2024 17:10:00,26.87,-49.49,7.94,,,,,
186,06/14/2024 17:20:00,26.87,-49.72,7.95,,,,,
187,06/14/2024 17:30:00,26.82,-49.35,7.94,,,,,
188,06/14/2024 17:40:00,26.79,-48.85,7.93,,,,,
189,06/14/2024 17:50:00,26.79,-48.56,7.93,,,,,
190,06/14/2024 18:00:00,26.77,-47.85,7.91,,,,,
191,06/14/2024 18:10:00,26.77,-47.78,7.91,,,,,
192,06/14/2024 18:20:00,26.74,-47.66,7.91,,,,,
193,06/14/2024 18:30:00,26.79,-48.11,7.92,,,,,
194,06/14/2024 18:40:00,26.77,-47.91,7.91,,,,,
195,06/14/2024 18:50:00,26.74,-48.05,7.92,,,,,
196,06/14/2024 19:00:00,26.70,-47.88,7.91,,,,,
197,06/14/2024 19:10:00,26.60,-48.08,7.92,,,,,
198,06/14/2024 19:20:00,26.55,-47.89,7.91,,,,,
199,06/14/2024 19:30:00,26.57,-47.97,7.91,,,,,
200,06/14/2024 19:40:00,26.50,-47.77,7.91,,,,,
201,06/14/2024 19:50:00,26.30,-47.60,7.91,,,,,
202,06/14/2024 20:00:00,26.30,-46.80,7.89,,,,,
203,06/14/2024 20:10:00,26.26,-46.86,7.89,,,,,
204,06/14/2024 20:20:00,26.23,-46.61,7.89,,,,,
205,06/14/2024 20:30:00,26.16,-46.55,7.89,,,,,
206,06/14/2024 20:40:00,26.11,-46.13,7.88,,,,,
207,06/14/2024 20:50:00,26.06,-46.16,7.88,,,,,
208,06/14/2024 21:00:00,26.01,-46.00,7.88,,,,,
209,06/14/2024 21:10:00,25.96,-45.88,7.87,,,,,
210,06/14/2024 21:20:00,25.94,-45.75,7.87,,,,,
211,06/14/2024 21:30:00,25.89,-45.58,7.87,,,,,
212,06/14/2024 21:40:00,25.87,-45.49,7.87,,,,,
213,06/14/2024 21:50:00,25.84,-45.42,7.86,,,,,
214,06/14/2024 22:00:00,25.82,-45.22,7.86,,,,,
215,06/14/2024 22:10:00,25.79,-44.80,7.85,,,,,
216,06/14/2024 22:20:00,25.77,-44.72,7.85,,,,,
217,06/14/2024 22:30:00,25.72,-44.78,7.85,,,,,
218,06/14/2024 22:40:00,25.70,-44.64,7.85,,,,,
219,06/14/2024 22:50:00,25.67,-44.44,7.85,,,,,
220,06/14/2024 23:00:00,25.65,-44.49,7.85,,,,,
221,06/14/2024 23:10:00,25.62,-44.30,7.84,,,,,
222,06/14/2024 23:20:00,25.57,-44.44,7.85,,,,,
223,06/14/2024 23:30:00,25.55,-44.39,7.84,,,,,
224,06/14/2024 23:40:00,25.53,-44.39,7.84,,,,,
225,06/14/2024 23:50:00,25.48,-44.24,7.84,,,,,
226,06/15/2024 00:00:00,25.48,-44.10,7.84,,,,,
227,06/15/2024 00:10:00,25.43,-44.14,7.84,,,,,
228,06/15/2024 00:20:00,25.43,-44.06,7.84,,,,,
229,06/15/2024 00:30:00,25.40,-44.06,7.84,,,,,
230,06/15/2024 00:40:00,25.38,-43.95,7.84,,,,,
231,06/15/2024 00:50:00,25.36,-43.99,7.84,,,,,
232,06/15/2024 01:00:00,25.33,-43.92,7.84,,,,,
233,06/15/2024 01:10:00,25.31,-43.72,7.83,,,,,
234,06/15/2024 01:20:00,25.28,-43.81,7.83,,,,,
235,06/15/2024 01:30:00,25.23,-43.80,7.83,,,,,
236,06/15/2024 01:40:00,25.23,-43.61,7.83,,,,,
237,06/15/2024 01:50:00,25.21,-43.67,7.83,,,,,
238,06/15/2024 02:00:00,25.19,-43.63,7.83,,,,,
239,06/15/2024 02:10:00,25.19,-43.60,7.83,,,,,
240,06/15/2024 02:20:00,25.16,-43.50,7.83,,,,,
241,06/15/2024 02:30:00,25.14,-43.49,7.83,,,,,
242,06/15/2024 02:40:00,25.11,-43.63,7.83,,,,,
243,06/15/2024 02:50:00,25.09,-43.64,7.83,,,,,
244,06/15/2024 03:00:00,25.06,-43.49,7.83,,,,,
245,06/15/2024 03:10:00,25.04,-43.36,7.83,,,,,
246,06/15/2024 03:20:00,25.02,-43.38,7.83,,,,,
247,06/15/2024 03:30:00,24.99,-43.69,7.83,,,,,
248,06/15/2024 03:40:00,24.97,-44.08,7.84,,,,,
249,06/15/2024 03:50:00,24.94,-43.56,7.83,,,,,
250,06/15/2024 04:00:00,24.92,-43.44,7.83,,,,,
251,06/15/2024 04:10:00,24.90,-43.36,7.83,,,,,
252,06/15/2024 04:20:00,24.87,-43.38,7.83,,,,,
253,06/15/2024 04:30:00,24.85,-43.33,7.82,,,,,
254,06/15/2024 04:40:00,24.82,-43.19,7.82,,,,,
255,06/15/2024 04:50:00,24.82,-43.16,7.82,,,,,
256,06/15/2024 05:00:00,24.77,-43.16,7.82,,,,,
257,06/15/2024 05:10:00,24.77,-43.13,7.82,,,,,
258,06/15/2024 05:20:00,24.75,-43.11,7.82,,,,,
259,06/15/2024 05:30:00,24.73,-43.06,7.82,,,,,
260,06/15/2024 05:40:00,24.73,-43.03,7.82,,,,,
261,06/15/2024 05:50:00,24.70,-43.00,7.82,,,,,
262,06/15/2024 06:00:00,24.68,-43.10,7.82,,,,,
263,06/15/2024 06:10:00,24.65,-43.24,7.82,,,,,
264,06/15/2024 06:20:00,24.63,-43.19,7.82,,,,,
265,06/15/2024 06:30:00,24.63,-43.28,7.82,,,,,
266,06/15/2024 06:40:00,24.60,-43.35,7.83,,,,,
267,06/15/2024 06:50:00,24.60,-43.35,7.83,,,,,
268,06/15/2024 07:00:00,24.58,-43.31,7.83,,,,,
269,06/15/2024 07:10:00,24.58,-43.25,7.82,,,,,
270,06/15/2024 07:20:00,24.58,-43.33,7.83,,,,,
271,06/15/2024 07:30:00,24.58,-43.31,7.83,,,,,
272,06/15/2024 07:40:00,24.60,-43.42,7.83,,,,,
273,06/15/2024 07:50:00,24.60,-43.35,7.83,,,,,
274,06/15/2024 08:00:00,24.60,-43.33,7.83,,,,,
275,06/15/2024 08:10:00,24.60,-43.41,7.83,,,,,
276,06/15/2024 08:20:00,24.60,-43.74,7.83,,,,,
277,06/15/2024 08:30:00,24.63,-43.81,7.84,,,,,
278,06/15/2024 08:40:00,24.65,-44.19,7.84,,,,,
279,06/15/2024 08:50:00,24.70,-44.39,7.85,,,,,
280,06/15/2024 09:00:00,24.73,-44.10,7.84,,,,,
281,06/15/2024 09:10:00,24.77,-44.55,7.85,,,,,
282,06/15/2024 09:20:00,24.75,-44.38,7.85,,,,,
283,06/15/2024 09:30:00,24.75,-44.52,7.85,,,,,
284,06/15/2024 09:40:00,24.82,-44.52,7.85,,,,,
285,06/15/2024 09:50:00,24.97,-45.24,7.86,,,,,
286,06/15/2024 10:00:00,25.04,-45.55,7.87,,,,,
287,06/15/2024 10:10:00,25.09,-45.44,7.87,,,,,
288,06/15/2024 10:20:00,25.16,-46.13,7.88,,,,,
289,06/15/2024 10:30:00,25.26,-46.52,7.89,,,,,
290,06/15/2024 10:40:00,25.38,-46.91,7.90,,,,,
291,06/15/2024 10:50:00,25.40,-47.16,7.90,,,,,
292,06/15/2024 11:00:00,25.50,-47.17,7.90,,,,,
293,06/15/2024 11:10:00,25.62,-47.81,7.91,,,,,
294,06/15/2024 11:20:00,25.62,-48.22,7.92,,,,,
295,06/15/2024 11:30:00,25.77,-48.03,7.92,,,,,
296,06/15/2024 11:40:00,25.94,-48.47,7.93,,,,,
297,06/15/2024 11:50:00,26.11,-49.13,7.94,,,,,
298,06/15/2024 12:00:00,26.16,-49.08,7.94,,,,,
299,06/15/2024 12:10:00,26.18,-49.66,7.95,,,,,
300,06/15/2024 12:20:00,26.26,-49.78,7.95,,,,,
301,06/15/2024 12:30:00,26.38,-50.02,7.96,,,,,
302,06/15/2024 12:40:00,26.43,-50.56,7.97,,,,,
303,06/15/2024 12:50:00,26.48,-50.52,7.97,,,,,
304,06/15/2024 13:00:00,26.52,-51.27,7.98,,,,,
305,06/15/2024 13:10:00,26.57,-51.24,7.98,,,,,
306,06/15/2024 13:20:00,26.62,-51.39,7.98,,,,,
307,06/15/2024 13:30:00,26.70,-52.02,8.00,,,,,
308,06/15/2024 13:40:00,26.72,-52.56,8.01,,,,,
309,06/15/2024 13:50:00,26.74,-52.97,8.01,,,,,
310,06/15/2024 14:00:00,26.74,-52.70,8.01,,,,,
311,06/15/2024 14:10:00,26.84,-53.00,8.01,,,,,
312,06/15/2024 14:20:00,26.82,-53.81,8.03,,,,,
313,06/15/2024 14:30:00,26.84,-53.30,8.02,,,,,
314,06/15/2024 14:40:00,26.84,-53.38,8.02,,,,,
315,06/15/2024 14:50:00,26.87,-52.99,8.01,,,,,
316,06/15/2024 15:00:00,26.84,-52.38,8.00,,,,,
317,06/15/2024 15:10:00,26.89,-52.13,8.00,,,,,
318,06/15/2024 15:20:00,26.89,-52.08,8.00,,,,,
319,06/15/2024 15:30:00,26.92,-52.41,8.00,,,,,
320,06/15/2024 15:40:00,26.94,-52.13,8.00,,,,,
321,06/15/2024 15:50:00,27.04,-52.02,7.99,,,,,
322,06/15/2024 16:00:00,27.01,-51.75,7.99,,,,,
323,06/15/2024 16:10:00,27.06,-51.60,7.99,,,,,
324,06/15/2024 16:20:00,27.06,-51.24,7.98,,,,,
325,06/15/2024 16:30:00,27.11,-51.35,7.98,,,,,
326,06/15/2024 16:40:00,27.19,-51.42,7.98,,,,,
327,06/15/2024 16:50:00,27.16,-51.06,7.97,,,,,
328,06/15/2024 17:00:00,27.16,-50.81,7.97,,,,,
329,06/15/2024 17:10:00,27.16,-50.77,7.97,,,,,
330,06/15/2024 17:20:00,27.19,-50.91,7.97,,,,,
331,06/15/2024 17:30:00,27.16,-50.63,7.97,,,,,
332,06/15/2024 17:40:00,27.14,-50.25,7.96,,,,,
333,06/15/2024 17:50:00,27.11,-50.13,7.96,,,,,
334,06/15/2024 18:00:00,27.04,-49.97,7.95,,,,,
335,06/15/2024 18:10:00,27.09,-49.74,7.95,,,,,
336,06/15/2024 18:20:00,27.09,-49.49,7.94,,,,,
337,06/15/2024 18:30:00,27.06,-49.20,7.94,,,,,
338,06/15/2024 18:40:00,26.96,-49.13,7.94,,,,,
339,06/15/2024 18:50:00,26.96,-48.60,7.93,,,,,
340,06/15/2024 19:00:00,26.99,-48.38,7.92,,,,,
341,06/15/2024 19:10:00,26.89,-47.99,7.91,,,,,
342,06/15/2024 19:20:00,26.84,-47.85,7.91,,,,,
343,06/15/2024 19:30:00,26.74,-47.66,7.91,,,,,
344,06/15/2024 19:40:00,26.67,-47.25,7.90,,,,,
345,06/15/2024 19:50:00,26.62,-47.17,7.90,,,,,
346,06/15/2024 20:00:00,26.62,-47.03,7.89,,,,,
347,06/15/2024 20:10:00,26.57,-46.99,7.89,,,,,
348,06/15/2024 20:20:00,26.57,-46.58,7.89,,,,,
349,06/15/2024 20:30:00,26.52,-46.33,7.88,,,,,
350,06/15/2024 20:40:00,26.48,-46.52,7.88,,,,,
351,06/15/2024 20:50:00,26.45,-45.99,7.87,,,,,
352,06/15/2024 21:00:00,26.38,-46.30,7.88,,,,,
353,06/15/2024 21:10:00,26.33,-46.05,7.88,,,,,
354,06/15/2024 21:20:00,26.23,-46.03,7.88,,,,,
355,06/15/2024 21:30:00,26.13,-45.86,7.87,,,,,
356,06/15/2024 21:40:00,26.11,-45.33,7.86,,,,,
357,06/15/2024 21:50:00,26.06,-45.03,7.86,,,,,
358,06/15/2024 22:00:00,26.04,-44.77,7.85,,,,,
359,06/15/2024 22:10:00,26.01,-44.64,7.85,,,,,
360,06/15/2024 22:20:00,25.96,-44.66,7.85,,,,,
361,06/15/2024 22:30:00,25.91,-44.45,7.84,,,,,
362,06/15/2024 22:40:00,25.89,-44.05,7.84,,,,,
363,06/15/2024 22:50:00,25.87,-44.00,7.84,,,,,
364,06/15/2024 23:00:00,25.84,-43.92,7.83,,,,,
365,06/15/2024 23:10:00,25.82,-43.94,7.83,,,,,
366,06/15/2024 23:20:00,25.79,-43.91,7.83,,,,,
367,06/15/2024 23:30:00,25.77,-43.81,7.83,,,,,
368,06/15/2024 23:40:00,25.74,-43.56,7.83,,,,,
369,06/15/2024 23:50:00,25.74,-43.56,7.83,,,,,
370,06/16/2024 00:00:00,25.72,-43.52,7.83,,,,,
371,06/16/2024 00:10:00,25.67,-43.56,7.83,,,,,
372,06/16/2024 00:20:00,25.65,-43.56,7.83,,,,,
373,06/16/2024 00:30:00,25.62,-43.60,7.83,,,,,
374,06/16/2024 00:40:00,25.60,-43.56,7.83,,,,,
375,06/16/2024 00:50:00,25.55,-43.60,7.83,,,,,
376,06/16/2024 01:00:00,25.53,-43.66,7.83,,,,,
377,06/16/2024 01:10:00,25.53,-43.52,7.83,,,,,
378,06/16/2024 01:20:00,25.50,-43.50,7.83,,,,,
379,06/16/2024 01:30:00,25.48,-43.55,7.83,,,,,
380,06/16/2024 01:40:00,25.45,-43.58,7.83,,,,,
381,06/16/2024 01:50:00,25.43,-43.42,7.83,,,,,
382,06/16/2024 02:00:00,25.40,-43.55,7.83,,,,,
383,06/16/2024 02:10:00,25.40,-43.58,7.83,,,,,
384,06/16/2024 02:20:00,25.38,-43.50,7.83,,,,,
385,06/16/2024 02:30:00,25.33,-43.55,7.83,,,,,
386,06/16/2024 02:40:00,25.33,-43.52,7.83,,,,,
387,06/16/2024 02:50:00,25.31,-43.60,7.83,,,,,
388,06/16/2024 03:00:00,25.26,-43.67,7.83,,,,,
389,06/16/2024 03:10:00,25.23,-43.77,7.83,,,,,
390,06/16/2024 03:20:00,25.21,-43.67,7.83,,,,,
391,06/16/2024 03:30:00,25.21,-43.52,7.83,,,,,
392,06/16/2024 03:40:00,25.19,-43.69,7.83,,,,,
393,06/16/2024 03:50:00,25.14,-43.63,7.83,,,,,
394,06/16/2024 04:00:00,25.11,-43.69,7.83,,,,,
395,06/16/2024 04:10:00,25.09,-43.75,7.83,,,,,
396,06/16/2024 04:20:00,25.06,-43.69,7.83,,,,,
397,06/16/2024 04:30:00,25.06,-43.53,7.83,,,,,
398,06/16/2024 04:40:00,25.04,-43.56,7.83,,,,,
399,06/16/2024 04:50:00,25.02,-43.49,7.83,,,,,
400,06/16/2024 05:00:00,24.99,-43.49,7.83,,,,,
401,06/16/2024 05:10:00,24.97,-43.66,7.83,,,,,
402,06/16/2024 05:20:00,24.97,-43.60,7.83,,,,,
403,06/16/2024 05:30:00,24.94,-43.55,7.83,,,,,
404,06/16/2024 05:40:00,24.92,-43.58,7.83,,,,,
405,06/16/2024 05:50:00,24.90,-43.47,7.83,,,,,
406,06/16/2024 06:00:00,24.87,-43.42,7.83,,,,,
407,06/16/2024 06:10:00,24.87,-43.67,7.83,,,,,
408,06/16/2024 06:20:00,24.85,-43.60,7.83,,,,,
409,06/16/2024 06:30:00,24.82,-43.70,7.83,,,,,
410,06/16/2024 06:40:00,24.80,-43.74,7.83,,,,,
411,06/16/2024 06:50:00,24.80,-43.70,7.83,,,,,
412,06/16/2024 07:00:00,24.77,-43.67,7.83,,,,,
413,06/16/2024 07:10:00,24.75,-43.77,7.83,,,,,
414,06/16/2024 07:20:00,24.75,-43.86,7.84,,,,,
415,06/16/2024 07:30:00,24.75,-43.81,7.84,,,,,
416,06/16/2024 07:40:00,24.75,-43.77,7.83,,,,,
417,06/16/2024 07:50:00,24.75,-43.83,7.84,,,,,
418,06/16/2024 08:00:00,24.75,-43.74,7.83,,,,,
419,06/16/2024 08:10:00,24.75,-43.83,7.84,,,,,
420,06/16/2024 08:20:00,24.75,-43.80,7.83,,,,,
421,06/16/2024 08:30:00,24.80,-43.70,7.83,,,,,
