#,Date-Time (HST),Ch: 1 - Temperature   (°C),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Water Detect,Button Down,Button Up,Host Connected,Stopped,End of File
77,02/09/2023 13:30:00,23.04,158.97,3.64,,,,,,
78,02/09/2023 13:40:00,23.06,158.96,3.64,,,,,,
79,02/09/2023 13:50:00,23.09,158.94,3.64,,,,,,
80,02/09/2023 14:00:00,23.14,158.96,3.64,,,,,,
81,02/09/2023 14:10:00,23.16,158.93,3.64,,,,,,
82,02/09/2023 14:20:00,23.26,158.93,3.64,,,,,,
83,02/09/2023 14:30:00,23.35,158.93,3.65,,,,,,
84,02/09/2023 14:40:00,23.45,158.93,3.65,,,,,,
85,02/09/2023 14:50:00,23.54,158.91,3.65,,,,,,
86,02/09/2023 15:00:00,23.62,158.90,3.65,,,,,,
87,02/09/2023 15:10:00,23.59,158.91,3.65,,,,,,
88,02/09/2023 15:20:00,23.45,158.90,3.65,,,,,,
89,02/09/2023 15:30:00,23.33,158.88,3.65,,,,,,
90,02/09/2023 15:40:00,23.18,158.86,3.64,,,,,,
91,02/09/2023 15:50:00,23.09,158.88,3.64,,,,,,
92,02/09/2023 16:00:00,23.02,158.90,3.64,,,,,,
93,02/09/2023 16:10:00,22.92,158.91,3.64,,,,,,
94,02/09/2023 16:20:00,22.80,158.90,3.64,,,,,,
95,02/09/2023 16:30:00,22.66,158.91,3.64,,,,,,
96,02/09/2023 16:40:00,22.49,158.91,3.64,,,,,,
97,02/09/2023 16:50:00,22.32,158.93,3.63,,,,,,
98,02/09/2023 17:00:00,22.18,158.97,3.63,,,,,,
99,02/09/2023 17:10:00,22.03,158.99,3.63,,,,,,
100,02/09/2023 17:20:00,21.91,158.99,3.63,,,,,,
101,02/09/2023 17:30:00,21.77,159.02,3.63,,,,,,
102,02/09/2023 17:40:00,21.72,159.05,3.62,,,,,,
103,02/09/2023 17:50:00,21.82,159.07,3.63,,,,,,
104,02/09/2023 18:00:00,21.91,159.07,3.63,,,,,,
105,02/09/2023 18:10:00,22.01,159.08,3.63,,,,,,
106,02/09/2023 18:20:00,22.13,159.07,3.63,,,,,,
107,02/09/2023 18:30:00,22.23,159.04,3.63,,,,,,
108,02/09/2023 18:40:00,22.30,159.02,3.63,,,,,,
109,02/09/2023 18:50:00,22.39,158.99,3.63,,,,,,
110,02/09/2023 19:00:00,22.49,158.96,3.63,,,,,,
111,02/09/2023 19:10:00,22.58,158.93,3.64,,,,,,
112,02/09/2023 19:20:00,22.66,158.90,3.64,,,,,,
113,02/09/2023 19:30:00,22.70,158.88,3.64,,,,,,
114,02/09/2023 19:40:00,22.75,158.86,3.64,,,,,,
115,02/09/2023 19:50:00,22.85,158.85,3.64,,,,,,
116,02/09/2023 20:00:00,22.94,158.85,3.64,,,,,,
117,02/09/2023 20:10:00,23.04,158.83,3.64,,,,,,
118,02/09/2023 20:20:00,23.09,158.82,3.64,,,,,,
119,02/09/2023 20:30:00,23.16,158.80,3.65,,,,,,
120,02/09/2023 20:40:00,23.21,158.80,3.65,,,,,,
121,02/09/2023 20:50:00,23.26,158.80,3.65,,,,,,
122,02/09/2023 21:00:00,23.30,158.80,3.65,,,,,,
123,02/09/2023 21:10:00,23.35,158.80,3.65,,,,,,
124,02/09/2023 21:20:00,23.38,158.80,3.65,,,,,,
125,02/09/2023 21:30:00,23.42,158.80,3.65,,,,,,
126,02/09/2023 21:40:00,23.45,158.80,3.65,,,,,,
127,02/09/2023 21:50:00,23.50,158.82,3.65,,,,,,
128,02/09/2023 22:00:00,23.52,158.82,3.65,,,,,,
129,02/09/2023 22:10:00,23.54,158.82,3.65,,,,,,
130,02/09/2023 22:20:00,23.57,158.83,3.65,,,,,,
131,02/09/2023 22:30:00,23.57,158.83,3.65,,,,,,
132,02/09/2023 22:40:00,23.57,158.83,3.65,,,,,,
133,02/09/2023 22:50:00,23.38,158.80,3.65,,,,,,
134,02/09/2023 23:00:00,23.14,158.77,3.65,,,,,,
135,02/09/2023 23:10:00,22.90,158.75,3.64,,,,,,
136,02/09/2023 23:20:00,22.66,158.75,3.64,,,,,,
137,02/09/2023 23:30:00,22.39,158.77,3.64,,,,,,
138,02/09/2023 23:40:00,22.35,158.82,3.64,,,,,,
139,02/09/2023 23:50:00,22.39,158.85,3.64,,,,,,
140,02/10/2023 00:00:00,22.47,158.90,3.64,,,,,,
141,02/10/2023 00:10:00,22.51,158.91,3.64,,,,,,
142,02/10/2023 00:20:00,22.56,158.91,3.64,,,,,,
143,02/10/2023 00:30:00,22.61,158.91,3.64,,,,,,
144,02/10/2023 00:40:00,22.66,158.91,3.64,,,,,,
145,02/10/2023 00:50:00,22.73,158.90,3.64,,,,,,
146,02/10/2023 01:00:00,22.78,158.88,3.64,,,,,,
147,02/10/2023 01:10:00,22.82,158.86,3.64,,,,,,
148,02/10/2023 01:20:00,22.90,158.85,3.64,,,,,,
149,02/10/2023 01:30:00,22.94,158.83,3.64,,,,,,
150,02/10/2023 01:40:00,23.02,158.82,3.64,,,,,,
151,02/10/2023 01:50:00,23.06,158.82,3.64,,,,,,
152,02/10/2023 02:00:00,23.11,158.80,3.64,,,,,,
153,02/10/2023 02:10:00,23.16,158.82,3.65,,,,,,
154,02/10/2023 02:20:00,23.21,158.82,3.65,,,,,,
155,02/10/2023 02:30:00,23.23,158.80,3.65,,,,,,
156,02/10/2023 02:40:00,23.06,158.79,3.64,,,,,,
157,02/10/2023 02:50:00,22.82,158.74,3.64,,,,,,
158,02/10/2023 03:00:00,22.58,158.74,3.64,,,,,,
159,02/10/2023 03:10:00,22.35,158.75,3.64,,,,,,
160,02/10/2023 03:20:00,22.15,158.77,3.63,,,,,,
161,02/10/2023 03:30:00,21.94,158.80,3.63,,,,,,
162,02/10/2023 03:40:00,21.77,158.85,3.63,,,,,,
163,02/10/2023 03:50:00,21.82,158.90,3.63,,,,,,
164,02/10/2023 04:00:00,21.89,158.93,3.63,,,,,,
165,02/10/2023 04:10:00,21.96,158.93,3.63,,,,,,
166,02/10/2023 04:20:00,22.03,158.93,3.63,,,,,,
167,02/10/2023 04:30:00,22.11,158.94,3.63,,,,,,
168,02/10/2023 04:40:00,22.18,158.93,3.63,,,,,,
169,02/10/2023 04:50:00,22.27,158.88,3.63,,,,,,
170,02/10/2023 05:00:00,22.35,158.86,3.63,,,,,,
171,02/10/2023 05:10:00,22.42,158.83,3.64,,,,,,
172,02/10/2023 05:20:00,22.51,158.80,3.64,,,,,,
173,02/10/2023 05:30:00,22.58,158.79,3.64,,,,,,
174,02/10/2023 05:40:00,22.66,158.77,3.64,,,,,,
175,02/10/2023 05:50:00,22.70,158.75,3.64,,,,,,
176,02/10/2023 06:00:00,22.78,158.74,3.64,,,,,,
177,02/10/2023 06:10:00,22.85,158.72,3.64,,,,,,
178,02/10/2023 06:20:00,22.90,158.72,3.64,,,,,,
179,02/10/2023 06:30:00,22.94,158.71,3.64,,,,,,
180,02/10/2023 06:40:00,23.02,158.71,3.65,,,,,,
181,02/10/2023 06:50:00,23.06,158.71,3.65,,,,,,
182,02/10/2023 07:00:00,23.11,158.71,3.65,,,,,,
183,02/10/2023 07:10:00,23.16,158.71,3.65,,,,,,
184,02/10/2023 07:20:00,23.21,158.71,3.65,,,,,,
185,02/10/2023 07:30:00,23.02,158.68,3.65,,,,,,
186,02/10/2023 07:40:00,22.78,158.65,3.64,,,,,,
187,02/10/2023 07:50:00,22.54,158.63,3.64,,,,,,
188,02/10/2023 08:00:00,22.30,158.65,3.64,,,,,,
189,02/10/2023 08:10:00,22.08,158.68,3.64,,,,,,
190,02/10/2023 08:20:00,22.08,158.72,3.63,,,,,,
191,02/10/2023 08:30:00,22.15,158.77,3.63,,,,,,
192,02/10/2023 08:40:00,22.20,158.79,3.63,,,,,,
193,02/10/2023 08:50:00,22.25,158.80,3.63,,,,,,
194,02/10/2023 09:00:00,22.30,158.80,3.64,,,,,,
195,02/10/2023 09:10:00,22.37,158.79,3.64,,,,,,
196,02/10/2023 09:20:00,22.44,158.79,3.64,,,,,,
197,02/10/2023 09:30:00,22.58,158.80,3.64,,,,,,
198,02/10/2023 09:40:00,22.68,158.72,3.64,,,,,,
199,02/10/2023 09:50:00,22.73,158.69,3.64,,,,,,
200,02/10/2023 10:00:00,22.80,158.69,3.64,,,,,,
201,02/10/2023 10:10:00,22.87,158.68,3.64,,,,,,
202,02/10/2023 10:20:00,22.92,158.68,3.64,,,,,,
203,02/10/2023 10:30:00,22.97,158.69,3.65,,,,,,
204,02/10/2023 10:40:00,23.04,158.68,3.65,,,,,,
205,02/10/2023 10:50:00,23.09,158.68,3.65,,,,,,
206,02/10/2023 11:00:00,23.14,158.69,3.65,,,,,,
207,02/10/2023 11:10:00,23.18,158.69,3.65,,,,,,
208,02/10/2023 11:20:00,23.21,158.69,3.65,,,,,,
209,02/10/2023 11:30:00,23.26,158.69,3.65,,,,,,
210,02/10/2023 11:40:00,23.28,158.71,3.65,,,,,,
211,02/10/2023 11:50:00,23.28,158.71,3.65,,,,,,
212,02/10/2023 12:00:00,23.09,158.68,3.65,,,,,,
213,02/10/2023 12:10:00,22.90,158.66,3.65,,,,,,
214,02/10/2023 12:20:00,22.68,158.68,3.64,,,,,,
215,02/10/2023 12:30:00,22.49,158.68,3.64,,,,,,
216,02/10/2023 12:40:00,22.27,158.69,3.64,,,,,,
217,02/10/2023 12:50:00,22.08,158.72,3.63,,,,,,
218,02/10/2023 13:00:00,21.87,158.75,3.63,,,,,,
219,02/10/2023 13:10:00,21.70,158.80,3.63,,,,,,
220,02/10/2023 13:20:00,21.77,158.85,3.63,,,,,,
221,02/10/2023 13:30:00,21.84,158.86,3.63,,,,,,
222,02/10/2023 13:40:00,21.94,158.86,3.63,,,,,,
223,02/10/2023 13:50:00,22.03,158.86,3.63,,,,,,
224,02/10/2023 14:00:00,22.13,158.85,3.63,,,,,,
225,02/10/2023 14:10:00,22.25,158.82,3.63,,,,,,
226,02/10/2023 14:20:00,22.35,158.80,3.64,,,,,,
227,02/10/2023 14:30:00,22.42,158.75,3.64,,,,,,
228,02/10/2023 14:40:00,22.51,158.74,3.64,,,,,,
229,02/10/2023 14:50:00,22.61,158.72,3.64,,,,,,
230,02/10/2023 15:00:00,22.70,158.71,3.64,,,,,,
231,02/10/2023 15:10:00,22.73,158.69,3.64,,,,,,
232,02/10/2023 15:20:00,22.78,158.69,3.64,,,,,,
233,02/10/2023 15:30:00,22.80,158.68,3.64,,,,,,
234,02/10/2023 15:40:00,22.80,158.68,3.64,,,,,,
235,02/10/2023 15:50:00,22.82,158.68,3.64,,,,,,
236,02/10/2023 16:00:00,22.82,158.68,3.64,,,,,,
237,02/10/2023 16:10:00,22.82,158.68,3.64,,,,,,
238,02/10/2023 16:20:00,22.80,158.68,3.64,,,,,,
239,02/10/2023 16:30:00,22.85,158.68,3.64,,,,,,
240,02/10/2023 16:40:00,22.92,158.68,3.64,,,,,,
241,02/10/2023 16:50:00,22.99,158.68,3.65,,,,,,
242,02/10/2023 17:00:00,23.04,158.68,3.65,,,,,,
243,02/10/2023 17:10:00,23.09,158.66,3.65,,,,,,
244,02/10/2023 17:20:00,23.14,158.68,3.65,,,,,,
245,02/10/2023 17:30:00,23.18,158.68,3.65,,,,,,
246,02/10/2023 17:40:00,23.21,158.66,3.65,,,,,,
247,02/10/2023 17:50:00,23.26,158.68,3.65,,,,,,
248,02/10/2023 18:00:00,23.28,158.68,3.65,,,,,,
249,02/10/2023 18:10:00,23.30,158.69,3.65,,,,,,
250,02/10/2023 18:20:00,23.33,158.69,3.65,,,,,,
251,02/10/2023 18:30:00,23.35,158.69,3.65,,,,,,
252,02/10/2023 18:40:00,23.38,158.69,3.65,,,,,,
253,02/10/2023 18:50:00,23.42,158.69,3.65,,,,,,
254,02/10/2023 19:00:00,23.45,158.71,3.65,,,,,,
255,02/10/2023 19:10:00,23.47,158.71,3.65,,,,,,
256,02/10/2023 19:20:00,23.50,158.71,3.65,,,,,,
257,02/10/2023 19:30:00,23.52,158.71,3.65,,,,,,
258,02/10/2023 19:40:00,23.54,158.72,3.65,,,,,,
259,02/10/2023 19:50:00,23.57,158.72,3.65,,,,,,
260,02/10/2023 20:00:00,23.59,158.72,3.65,,,,,,
261,02/10/2023 20:10:00,23.57,158.72,3.65,,,,,,
262,02/10/2023 20:20:00,23.54,158.72,3.65,,,,,,
263,02/10/2023 20:30:00,23.50,158.72,3.65,,,,,,
264,02/10/2023 20:40:00,23.47,158.72,3.65,,,,,,
265,02/10/2023 20:50:00,23.42,158.72,3.65,,,,,,
266,02/10/2023 21:00:00,23.38,158.72,3.65,,,,,,
267,02/10/2023 21:10:00,23.35,158.74,3.65,,,,,,
268,02/10/2023 21:20:00,23.30,158.72,3.65,,,,,,
269,02/10/2023 21:30:00,23.33,158.74,3.65,,,,,,
270,02/10/2023 21:40:00,23.35,158.74,3.65,,,,,,
271,02/10/2023 21:50:00,23.38,158.74,3.65,,,,,,
272,02/10/2023 22:00:00,23.40,158.74,3.65,,,,,,
273,02/10/2023 22:10:00,23.42,158.75,3.65,,,,,,
274,02/10/2023 22:20:00,23.45,158.75,3.65,,,,,,
275,02/10/2023 22:30:00,23.45,158.75,3.65,,,,,,
276,02/10/2023 22:40:00,23.47,158.75,3.65,,,,,,
277,02/10/2023 22:50:00,23.50,158.75,3.65,,,,,,
278,02/10/2023 23:00:00,23.50,158.75,3.65,,,,,,
279,02/10/2023 23:10:00,23.52,158.75,3.65,,,,,,
280,02/10/2023 23:20:00,23.52,158.75,3.65,,,,,,
281,02/10/2023 23:30:00,23.54,158.75,3.65,,,,,,
282,02/10/2023 23:40:00,23.54,158.75,3.65,,,,,,
283,02/10/2023 23:50:00,23.33,158.74,3.65,,,,,,
284,02/11/2023 00:00:00,23.06,158.71,3.65,,,,,,
285,02/11/2023 00:10:00,22.80,158.68,3.64,,,,,,
286,02/11/2023 00:20:00,22.54,158.65,3.64,,,,,,
287,02/11/2023 00:30:00,22.30,158.71,3.64,,,,,,
288,02/11/2023 00:40:00,22.06,158.74,3.63,,,,,,
289,02/11/2023 00:50:00,21.96,158.79,3.63,,,,,,
290,02/11/2023 01:00:00,21.89,158.82,3.63,,,,,,
291,02/11/2023 01:10:00,21.94,158.85,3.63,,,,,,
292,02/11/2023 01:20:00,22.01,158.86,3.63,,,,,,
293,02/11/2023 01:30:00,22.08,158.86,3.63,,,,,,
294,02/11/2023 01:40:00,22.15,158.86,3.63,,,,,,
295,02/11/2023 01:50:00,22.23,158.85,3.63,,,,,,
296,02/11/2023 02:00:00,22.32,158.83,3.64,,,,,,
297,02/11/2023 02:10:00,22.39,158.80,3.64,,,,,,
298,02/11/2023 02:20:00,22.49,158.77,3.64,,,,,,
299,02/11/2023 02:30:00,22.56,158.74,3.64,,,,,,
300,02/11/2023 02:40:00,22.63,158.72,3.64,,,,,,
301,02/11/2023 02:50:00,22.70,158.71,3.64,,,,,,
302,02/11/2023 03:00:00,22.78,158.69,3.64,,,,,,
303,02/11/2023 03:10:00,22.85,158.68,3.64,,,,,,
304,02/11/2023 03:20:00,22.90,158.66,3.65,,,,,,
305,02/11/2023 03:30:00,22.97,158.65,3.65,,,,,,
306,02/11/2023 03:40:00,23.02,158.65,3.65,,,,,,
307,02/11/2023 03:50:00,23.06,158.65,3.65,,,,,,
308,02/11/2023 04:00:00,23.11,158.65,3.65,,,,,,
309,02/11/2023 04:10:00,23.16,158.65,3.65,,,,,,
310,02/11/2023 04:20:00,23.18,158.63,3.65,,,,,,
311,02/11/2023 04:30:00,23.23,158.65,3.65,,,,,,
312,02/11/2023 04:40:00,23.18,158.65,3.65,,,,,,
313,02/11/2023 04:50:00,22.92,158.60,3.65,,,,,,
314,02/11/2023 05:00:00,22.63,158.60,3.64,,,,,,
315,02/11/2023 05:10:00,22.37,158.61,3.64,,,,,,
316,02/11/2023 05:20:00,22.11,158.63,3.64,,,,,,
317,02/11/2023 05:30:00,22.03,158.69,3.63,,,,,,
318,02/11/2023 05:40:00,22.08,158.72,3.63,,,,,,
319,02/11/2023 05:50:00,22.13,158.74,3.63,,,,,,
320,02/11/2023 06:00:00,22.18,158.74,3.64,,,,,,
321,02/11/2023 06:10:00,22.25,158.75,3.64,,,,,,
322,02/11/2023 06:20:00,22.30,158.75,3.64,,,,,,
323,02/11/2023 06:30:00,22.37,158.74,3.64,,,,,,
324,02/11/2023 06:40:00,22.44,158.71,3.64,,,,,,
325,02/11/2023 06:50:00,22.51,158.69,3.64,,,,,,
326,02/11/2023 07:00:00,22.56,158.68,3.64,,,,,,
327,02/11/2023 07:10:00,22.63,158.66,3.64,,,,,,
328,02/11/2023 07:20:00,22.70,158.66,3.64,,,,,,
329,02/11/2023 07:30:00,22.75,158.63,3.64,,,,,,
330,02/11/2023 07:40:00,22.80,158.61,3.64,,,,,,
331,02/11/2023 07:50:00,22.85,158.61,3.65,,,,,,
332,02/11/2023 08:00:00,22.90,158.61,3.65,,,,,,
333,02/11/2023 08:10:00,22.94,158.60,3.65,,,,,,
334,02/11/2023 08:20:00,22.99,158.60,3.65,,,,,,
335,02/11/2023 08:30:00,23.04,158.60,3.65,,,,,,
336,02/11/2023 08:40:00,23.06,158.60,3.65,,,,,,
337,02/11/2023 08:50:00,23.11,158.60,3.65,,,,,,
338,02/11/2023 09:00:00,23.14,158.60,3.65,,,,,,
339,02/11/2023 09:10:00,23.16,158.60,3.65,,,,,,
340,02/11/2023 09:20:00,23.18,158.60,3.65,,,,,,
341,02/11/2023 09:30:00,23.23,158.60,3.65,,,,,,
342,02/11/2023 09:40:00,23.26,158.61,3.65,,,,,,
343,02/11/2023 09:50:00,23.28,158.61,3.65,,,,,,
344,02/11/2023 10:00:00,23.30,158.61,3.65,,,,,,
345,02/11/2023 10:10:00,23.33,158.61,3.65,,,,,,
346,02/11/2023 10:20:00,23.35,158.61,3.65,,,,,,
347,02/11/2023 10:30:00,23.38,158.61,3.65,,,,,,
348,02/11/2023 10:40:00,23.38,158.63,3.65,,,,,,
349,02/11/2023 10:50:00,23.35,158.61,3.65,,,,,,
350,02/11/2023 11:00:00,23.33,158.63,3.65,,,,,,
351,02/11/2023 11:10:00,23.30,158.63,3.65,,,,,,
352,02/11/2023 11:20:00,23.26,158.63,3.65,,,,,,
353,02/11/2023 11:30:00,23.23,158.63,3.65,,,,,,
354,02/11/2023 11:40:00,23.21,158.63,3.65,,,,,,
355,02/11/2023 11:50:00,23.21,158.63,3.65,,,,,,
356,02/11/2023 12:00:00,23.26,158.65,3.65,,,,,,
357,02/11/2023 12:10:00,23.28,158.65,3.65,,,,,,
358,02/11/2023 12:20:00,23.33,158.65,3.65,,,,,,
359,02/11/2023 12:30:00,23.35,158.65,3.65,,,,,,
360,02/11/2023 12:40:00,23.38,158.65,3.65,,,,,,
361,02/11/2023 12:50:00,23.40,158.65,3.65,,,,,,
362,02/11/2023 13:00:00,23.42,158.65,3.65,,,,,,
363,02/11/2023 13:10:00,23.45,158.65,3.65,,,,,,
364,02/11/2023 13:20:00,23.47,158.66,3.65,,,,,,
365,02/11/2023 13:30:00,23.50,158.66,3.65,,,,,,
366,02/11/2023 13:40:00,23.52,158.66,3.65,,,,,,
367,02/11/2023 13:50:00,23.54,158.66,3.65,,,,,,
368,02/11/2023 14:00:00,23.57,158.66,3.65,,,,,,
369,02/11/2023 14:10:00,23.59,158.66,3.65,,,,,,
370,02/11/2023 14:20:00,23.62,158.66,3.65,,,,,,
371,02/11/2023 14:30:00,23.64,158.66,3.65,,,,,,
372,02/11/2023 14:40:00,23.64,158.66,3.65,,,,,,
373,02/11/2023 14:50:00,23.62,158.66,3.65,,,,,,
374,02/11/2023 15:00:00,23.59,158.66,3.65,,,,,,
375,02/11/2023 15:10:00,23.57,158.66,3.65,,,,,,
376,02/11/2023 15:20:00,23.54,158.66,3.65,,,,,,
377,02/11/2023 15:30:00,23.52,158.66,3.65,,,,,,
378,02/11/2023 15:40:00,23.50,158.66,3.65,,,,,,
379,02/11/2023 15:50:00,23.47,158.66,3.65,,,,,,
380,02/11/2023 16:00:00,23.45,158.66,3.65,,,,,,
381,02/11/2023 16:10:00,23.42,158.66,3.65,,,,,,
382,02/11/2023 16:20:00,23.42,158.66,3.65,,,,,,
383,02/11/2023 16:30:00,23.47,158.66,3.65,,,,,,
384,02/11/2023 16:40:00,23.50,158.68,3.65,,,,,,
385,02/11/2023 16:50:00,23.52,158.66,3.65,,,,,,
386,02/11/2023 17:00:00,23.54,158.68,3.65,,,,,,
387,02/11/2023 17:10:00,23.57,158.68,3.65,,,,,,
388,02/11/2023 17:20:00,23.59,158.68,3.65,,,,,,
389,02/11/2023 17:30:00,23.62,158.68,3.65,,,,,,
390,02/11/2023 17:40:00,23.64,158.68,3.65,,,,,,
391,02/11/2023 17:50:00,23.66,158.68,3.65,,,,,,
392,02/11/2023 18:00:00,23.69,158.68,3.65,,,,,,
393,02/11/2023 18:10:00,23.62,158.66,3.65,,,,,,
394,02/11/2023 18:20:00,23.38,158.63,3.65,,,,,,
395,02/11/2023 18:30:00,23.11,158.61,3.65,,,,,,
396,02/11/2023 18:40:00,22.87,158.60,3.65,,,,,,
397,02/11/2023 18:50:00,22.63,158.60,3.64,,,,,,
398,02/11/2023 19:00:00,22.49,158.63,3.64,,,,,,
399,02/11/2023 19:10:00,22.27,158.65,3.64,,,,,,
400,02/11/2023 19:20:00,22.08,158.69,3.64,,,,,,
401,02/11/2023 19:30:00,22.11,158.72,3.63,,,,,,
402,02/11/2023 19:40:00,22.18,158.75,3.64,,,,,,
403,02/11/2023 19:50:00,22.25,158.77,3.64,,,,,,
404,02/11/2023 20:00:00,22.32,158.75,3.64,,,,,,
405,02/11/2023 20:10:00,22.39,158.75,3.64,,,,,,
406,02/11/2023 20:20:00,22.49,158.72,3.64,,,,,,
407,02/11/2023 20:30:00,22.56,158.71,3.64,,,,,,
408,02/11/2023 20:40:00,22.66,158.69,3.64,,,,,,
409,02/11/2023 20:50:00,22.73,158.66,3.64,,,,,,
410,02/11/2023 21:00:00,22.80,158.65,3.64,,,,,,
411,02/11/2023 21:10:00,22.87,158.63,3.65,,,,,,
412,02/11/2023 21:20:00,22.94,158.60,3.65,,,,,,
413,02/11/2023 21:30:00,23.02,158.60,3.65,,,,,,
414,02/11/2023 21:40:00,23.09,158.58,3.65,,,,,,
415,02/11/2023 21:50:00,23.14,158.57,3.65,,,,,,
416,02/11/2023 22:00:00,23.16,158.57,3.65,,,,,,
417,02/11/2023 22:10:00,23.18,158.57,3.65,,,,,,
418,02/11/2023 22:20:00,23.16,158.57,3.65,,,,,,
