#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),End of File
85,06/14/2024 01:00:00,23.09,-38.28,7.68,
86,06/14/2024 01:10:00,23.09,-38.39,7.68,
87,06/14/2024 01:20:00,23.09,-38.31,7.68,
88,06/14/2024 01:30:00,23.06,-38.39,7.68,
89,06/14/2024 01:40:00,23.06,-38.44,7.68,
90,06/14/2024 01:50:00,23.06,-38.17,7.68,
91,06/14/2024 02:00:00,23.04,-38.50,7.68,
92,06/14/2024 02:10:00,23.04,-38.08,7.67,
93,06/14/2024 02:20:00,23.04,-38.56,7.68,
94,06/14/2024 02:30:00,23.04,-37.86,7.67,
95,06/14/2024 02:40:00,23.04,-38.30,7.68,
96,06/14/2024 02:50:00,23.04,-37.86,7.67,
97,06/14/2024 03:00:00,23.04,-38.09,7.67,
98,06/14/2024 03:10:00,23.02,-38.13,7.67,
99,06/14/2024 03:20:00,23.02,-37.94,7.67,
100,06/14/2024 03:30:00,23.02,-38.17,7.68,
101,06/14/2024 03:40:00,23.02,-38.31,7.68,
102,06/14/2024 03:50:00,23.02,-38.38,7.68,
103,06/14/2024 04:00:00,23.02,-38.56,7.68,
104,06/14/2024 04:10:00,23.02,-37.97,7.67,
105,06/14/2024 04:20:00,23.02,-38.09,7.67,
106,06/14/2024 04:30:00,23.02,-38.00,7.67,
107,06/14/2024 04:40:00,23.02,-38.06,7.67,
108,06/14/2024 04:50:00,23.02,-37.84,7.67,
109,06/14/2024 05:00:00,23.02,-37.94,7.67,
110,06/14/2024 05:10:00,23.02,-38.30,7.68,
111,06/14/2024 05:20:00,23.02,-38.14,7.68,
112,06/14/2024 05:30:00,23.02,-37.95,7.67,
113,06/14/2024 05:40:00,23.02,-37.49,7.66,
114,06/14/2024 05:50:00,23.02,-37.92,7.67,
115,06/14/2024 06:00:00,23.02,-37.55,7.66,
116,06/14/2024 06:10:00,23.02,-37.56,7.66,
117,06/14/2024 06:20:00,23.02,-37.47,7.66,
118,06/14/2024 06:30:00,23.02,-37.61,7.67,
119,06/14/2024 06:40:00,23.02,-37.97,7.67,
120,06/14/2024 06:50:00,23.02,-37.89,7.67,
121,06/14/2024 07:00:00,23.02,-37.69,7.67,
122,06/14/2024 07:10:00,23.04,-37.86,7.67,
123,06/14/2024 07:20:00,23.04,-38.11,7.67,
124,06/14/2024 07:30:00,23.04,-38.13,7.67,
125,06/14/2024 07:40:00,23.04,-38.14,7.68,
126,06/14/2024 07:50:00,23.06,-37.92,7.67,
127,06/14/2024 08:00:00,23.06,-38.20,7.68,
128,06/14/2024 08:10:00,23.06,-38.28,7.68,
129,06/14/2024 08:20:00,23.09,-38.45,7.68,
130,06/14/2024 08:30:00,23.11,-38.53,7.68,
131,06/14/2024 08:40:00,23.14,-38.80,7.69,
132,06/14/2024 08:50:00,23.18,-39.52,7.70,
133,06/14/2024 09:00:00,23.23,-39.56,7.70,
134,06/14/2024 09:10:00,23.18,-39.67,7.70,
135,06/14/2024 09:20:00,23.21,-39.81,7.71,
136,06/14/2024 09:30:00,23.26,-39.81,7.71,
137,06/14/2024 09:40:00,23.33,-40.06,7.71,
138,06/14/2024 09:50:00,23.33,-40.52,7.72,
139,06/14/2024 10:00:00,23.35,-40.74,7.72,
140,06/14/2024 10:10:00,23.38,-41.39,7.74,
141,06/14/2024 10:20:00,23.40,-41.77,7.74,
142,06/14/2024 10:30:00,23.45,-42.25,7.75,
143,06/14/2024 10:40:00,23.47,-42.49,7.76,
144,06/14/2024 10:50:00,23.45,-42.41,7.76,
145,06/14/2024 11:00:00,23.42,-42.56,7.76,
146,06/14/2024 11:10:00,23.45,-42.94,7.77,
147,06/14/2024 11:20:00,23.45,-43.35,7.77,
148,06/14/2024 11:30:00,23.45,-43.49,7.78,
149,06/14/2024 11:40:00,23.45,-43.45,7.78,
150,06/14/2024 11:50:00,23.45,-43.64,7.78,
151,06/14/2024 12:00:00,23.45,-43.86,7.78,
152,06/14/2024 12:10:00,23.47,-44.36,7.79,
153,06/14/2024 12:20:00,23.50,-44.77,7.80,
154,06/14/2024 12:30:00,23.47,-44.60,7.80,
155,06/14/2024 12:40:00,23.47,-44.78,7.80,
156,06/14/2024 12:50:00,23.50,-44.85,7.80,
157,06/14/2024 13:00:00,23.50,-45.10,7.81,
158,06/14/2024 13:10:00,23.50,-45.67,7.82,
159,06/14/2024 13:20:00,23.52,-45.67,7.82,
160,06/14/2024 13:30:00,23.50,-45.81,7.82,
161,06/14/2024 13:40:00,23.50,-45.64,7.82,
162,06/14/2024 13:50:00,23.50,-45.92,7.82,
163,06/14/2024 14:00:00,23.50,-46.13,7.83,
164,06/14/2024 14:10:00,23.47,-45.86,7.82,
165,06/14/2024 14:20:00,23.42,-45.60,7.82,
166,06/14/2024 14:30:00,23.42,-45.85,7.82,
167,06/14/2024 14:40:00,23.42,-46.02,7.83,
168,06/14/2024 14:50:00,23.45,-46.13,7.83,
169,06/14/2024 15:00:00,23.42,-45.69,7.82,
170,06/14/2024 15:10:00,23.38,-45.67,7.82,
171,06/14/2024 15:20:00,23.40,-45.56,7.82,
172,06/14/2024 15:30:00,23.40,-45.77,7.82,
173,06/14/2024 15:40:00,23.40,-45.74,7.82,
174,06/14/2024 15:50:00,23.40,-45.81,7.82,
175,06/14/2024 16:00:00,23.38,-45.33,7.81,
176,06/14/2024 16:10:00,23.38,-45.16,7.81,
177,06/14/2024 16:20:00,23.33,-44.60,7.80,
178,06/14/2024 16:30:00,23.30,-44.14,7.79,
179,06/14/2024 16:40:00,23.30,-43.64,7.78,
180,06/14/2024 16:50:00,23.28,-43.14,7.77,
181,06/14/2024 17:00:00,23.28,-43.14,7.77,
182,06/14/2024 17:10:00,23.28,-42.67,7.76,
183,06/14/2024 17:20:00,23.26,-42.33,7.76,
184,06/14/2024 17:30:00,23.23,-41.94,7.75,
185,06/14/2024 17:40:00,23.23,-41.61,7.74,
186,06/14/2024 17:50:00,23.21,-41.49,7.74,
187,06/14/2024 18:00:00,23.21,-41.08,7.73,
188,06/14/2024 18:10:00,23.18,-40.74,7.72,
189,06/14/2024 18:20:00,23.18,-40.58,7.72,
190,06/14/2024 18:30:00,23.18,-40.45,7.72,
191,06/14/2024 18:40:00,23.16,-40.24,7.72,
192,06/14/2024 18:50:00,23.16,-40.03,7.71,
193,06/14/2024 19:00:00,23.16,-39.80,7.71,
194,06/14/2024 19:10:00,23.14,-39.59,7.70,
195,06/14/2024 19:20:00,23.14,-39.31,7.70,
196,06/14/2024 19:30:00,23.11,-39.24,7.70,
197,06/14/2024 19:40:00,23.11,-39.25,7.70,
198,06/14/2024 19:50:00,23.11,-38.83,7.69,
199,06/14/2024 20:00:00,23.09,-38.28,7.68,
200,06/14/2024 20:10:00,23.09,-38.61,7.68,
201,06/14/2024 20:20:00,23.09,-38.25,7.68,
202,06/14/2024 20:30:00,23.09,-38.47,7.68,
203,06/14/2024 20:40:00,23.09,-38.30,7.68,
204,06/14/2024 20:50:00,23.06,-38.02,7.67,
205,06/14/2024 21:00:00,23.06,-37.81,7.67,
206,06/14/2024 21:10:00,23.06,-37.47,7.66,
207,06/14/2024 21:20:00,23.06,-37.66,7.67,
208,06/14/2024 21:30:00,23.06,-37.50,7.66,
209,06/14/2024 21:40:00,23.06,-37.53,7.66,
210,06/14/2024 21:50:00,23.06,-37.50,7.66,
211,06/14/2024 22:00:00,23.06,-37.39,7.66,
212,06/14/2024 22:10:00,23.06,-37.25,7.66,
213,06/14/2024 22:20:00,23.06,-37.36,7.66,
214,06/14/2024 22:30:00,23.09,-37.28,7.66,
215,06/14/2024 22:40:00,23.09,-37.17,7.66,
216,06/14/2024 22:50:00,23.09,-37.17,7.66,
217,06/14/2024 23:00:00,23.09,-37.36,7.66,
218,06/14/2024 23:10:00,23.09,-37.24,7.66,
219,06/14/2024 23:20:00,23.09,-37.19,7.66,
220,06/14/2024 23:30:00,23.09,-37.25,7.66,
221,06/14/2024 23:40:00,23.09,-37.41,7.66,
222,06/14/2024 23:50:00,23.09,-37.39,7.66,
223,06/15/2024 00:00:00,23.09,-37.33,7.66,
224,06/15/2024 00:10:00,23.09,-37.25,7.66,
225,06/15/2024 00:20:00,23.09,-38.66,7.69,
226,06/15/2024 00:30:00,23.09,-37.41,7.66,
227,06/15/2024 00:40:00,23.09,-37.00,7.65,
228,06/15/2024 00:50:00,23.06,-36.80,7.65,
229,06/15/2024 01:00:00,23.06,-37.09,7.66,
230,06/15/2024 01:10:00,23.04,-37.74,7.67,
231,06/15/2024 01:20:00,23.04,-37.74,7.67,
232,06/15/2024 01:30:00,23.04,-37.77,7.67,
233,06/15/2024 01:40:00,23.06,-37.67,7.67,
234,06/15/2024 01:50:00,23.04,-37.56,7.66,
235,06/15/2024 02:00:00,23.04,-37.66,7.67,
236,06/15/2024 02:10:00,23.04,-37.56,7.66,
237,06/15/2024 02:20:00,23.04,-37.97,7.67,
238,06/15/2024 02:30:00,23.04,-37.89,7.67,
239,06/15/2024 02:40:00,23.04,-37.91,7.67,
240,06/15/2024 02:50:00,23.04,-37.61,7.67,
241,06/15/2024 03:00:00,23.02,-37.81,7.67,
242,06/15/2024 03:10:00,23.02,-38.00,7.67,
243,06/15/2024 03:20:00,23.02,-37.78,7.67,
244,06/15/2024 03:30:00,23.02,-37.91,7.67,
245,06/15/2024 03:40:00,23.02,-37.64,7.67,
246,06/15/2024 03:50:00,23.02,-37.41,7.66,
247,06/15/2024 04:00:00,23.02,-37.92,7.67,
248,06/15/2024 04:10:00,23.02,-37.99,7.67,
249,06/15/2024 04:20:00,23.02,-37.83,7.67,
250,06/15/2024 04:30:00,23.02,-37.86,7.67,
251,06/15/2024 04:40:00,23.02,-37.94,7.67,
252,06/15/2024 04:50:00,22.99,-37.83,7.67,
253,06/15/2024 05:00:00,22.99,-37.89,7.67,
254,06/15/2024 05:10:00,22.99,-37.66,7.67,
255,06/15/2024 05:20:00,22.99,-37.99,7.67,
256,06/15/2024 05:30:00,22.99,-38.17,7.68,
257,06/15/2024 05:40:00,22.99,-38.25,7.68,
258,06/15/2024 05:50:00,22.99,-38.22,7.68,
259,06/15/2024 06:00:00,22.99,-37.91,7.67,
260,06/15/2024 06:10:00,22.99,-38.05,7.67,
261,06/15/2024 06:20:00,22.99,-38.03,7.67,
262,06/15/2024 06:30:00,22.99,-37.92,7.67,
263,06/15/2024 06:40:00,22.99,-38.08,7.67,
264,06/15/2024 06:50:00,22.99,-37.81,7.67,
265,06/15/2024 07:00:00,22.99,-38.11,7.67,
266,06/15/2024 07:10:00,22.99,-38.24,7.68,
267,06/15/2024 07:20:00,22.99,-38.56,7.68,
268,06/15/2024 07:30:00,23.02,-38.59,7.68,
269,06/15/2024 07:40:00,23.02,-39.00,7.69,
270,06/15/2024 07:50:00,23.04,-38.97,7.69,
271,06/15/2024 08:00:00,23.04,-38.81,7.69,
272,06/15/2024 08:10:00,23.06,-39.24,7.70,
273,06/15/2024 08:20:00,23.09,-38.84,7.69,
274,06/15/2024 08:30:00,23.11,-39.36,7.70,
275,06/15/2024 08:40:00,23.11,-39.39,7.70,
276,06/15/2024 08:50:00,23.16,-39.75,7.71,
277,06/15/2024 09:00:00,23.18,-39.74,7.71,
278,06/15/2024 09:10:00,23.18,-39.66,7.70,
279,06/15/2024 09:20:00,23.18,-39.78,7.71,
280,06/15/2024 09:30:00,23.23,-40.22,7.71,
281,06/15/2024 09:40:00,23.28,-40.52,7.72,
282,06/15/2024 09:50:00,23.38,-41.53,7.74,
283,06/15/2024 10:00:00,23.35,-41.81,7.75,
284,06/15/2024 10:10:00,23.38,-42.41,7.76,
285,06/15/2024 10:20:00,23.42,-42.86,7.76,
286,06/15/2024 10:30:00,23.47,-42.42,7.76,
287,06/15/2024 10:40:00,23.50,-42.41,7.76,
288,06/15/2024 10:50:00,23.50,-42.53,7.76,
289,06/15/2024 11:00:00,23.52,-42.58,7.76,
290,06/15/2024 11:10:00,23.54,-42.95,7.77,
291,06/15/2024 11:20:00,23.57,-43.70,7.78,
292,06/15/2024 11:30:00,23.59,-42.95,7.77,
293,06/15/2024 11:40:00,23.62,-43.27,7.77,
294,06/15/2024 11:50:00,23.64,-43.69,7.78,
295,06/15/2024 12:00:00,23.66,-43.81,7.78,
296,06/15/2024 12:10:00,23.69,-44.00,7.79,
297,06/15/2024 12:20:00,23.66,-44.16,7.79,
298,06/15/2024 12:30:00,23.69,-43.94,7.78,
299,06/15/2024 12:40:00,23.71,-44.05,7.79,
300,06/15/2024 12:50:00,23.71,-44.85,7.80,
301,06/15/2024 13:00:00,23.71,-46.72,7.84,
302,06/15/2024 13:10:00,23.79,-45.02,7.81,
303,06/15/2024 13:20:00,23.74,-44.69,7.80,
304,06/15/2024 13:30:00,23.74,-44.92,7.80,
305,06/15/2024 13:40:00,23.76,-45.44,7.81,
306,06/15/2024 13:50:00,23.79,-45.58,7.82,
307,06/15/2024 14:00:00,23.71,-45.35,7.81,
308,06/15/2024 14:10:00,23.69,-45.70,7.82,
309,06/15/2024 14:20:00,23.66,-46.20,7.83,
310,06/15/2024 14:30:00,23.62,-47.06,7.85,
311,06/15/2024 14:40:00,23.57,-47.39,7.85,
312,06/15/2024 14:50:00,23.54,-47.61,7.86,
313,06/15/2024 15:00:00,23.54,-48.28,7.87,
314,06/15/2024 15:10:00,23.54,-48.22,7.87,
315,06/15/2024 15:20:00,23.52,-48.28,7.87,
316,06/15/2024 15:30:00,23.50,-48.17,7.87,
317,06/15/2024 15:40:00,23.50,-47.91,7.86,
318,06/15/2024 15:50:00,23.47,-48.08,7.87,
319,06/15/2024 16:00:00,23.50,-47.72,7.86,
320,06/15/2024 16:10:00,23.47,-46.41,7.83,
321,06/15/2024 16:20:00,23.42,-45.38,7.81,
322,06/15/2024 16:30:00,23.40,-44.28,7.79,
323,06/15/2024 16:40:00,23.38,-43.94,7.79,
324,06/15/2024 16:50:00,23.35,-43.47,7.78,
325,06/15/2024 17:00:00,23.35,-44.16,7.79,
326,06/15/2024 17:10:00,23.38,-44.20,7.79,
327,06/15/2024 17:20:00,23.35,-43.39,7.78,
328,06/15/2024 17:30:00,23.30,-42.35,7.76,
329,06/15/2024 17:40:00,23.28,-41.83,7.75,
330,06/15/2024 17:50:00,23.26,-41.41,7.74,
331,06/15/2024 18:00:00,23.26,-41.27,7.73,
332,06/15/2024 18:10:00,23.26,-41.20,7.73,
333,06/15/2024 18:20:00,23.26,-41.17,7.73,
334,06/15/2024 18:30:00,23.26,-41.11,7.73,
335,06/15/2024 18:40:00,23.23,-41.03,7.73,
336,06/15/2024 18:50:00,23.21,-40.61,7.72,
337,06/15/2024 19:00:00,23.18,-40.86,7.73,
338,06/15/2024 19:10:00,23.18,-40.69,7.72,
339,06/15/2024 19:20:00,23.16,-40.39,7.72,
340,06/15/2024 19:30:00,23.14,-40.16,7.71,
341,06/15/2024 19:40:00,23.14,-40.14,7.71,
342,06/15/2024 19:50:00,23.14,-39.92,7.71,
343,06/15/2024 20:00:00,23.11,-39.81,7.71,
344,06/15/2024 20:10:00,23.11,-39.66,7.70,
345,06/15/2024 20:20:00,23.11,-39.55,7.70,
346,06/15/2024 20:30:00,23.11,-39.64,7.70,
347,06/15/2024 20:40:00,23.09,-39.52,7.70,
348,06/15/2024 20:50:00,23.09,-39.42,7.70,
349,06/15/2024 21:00:00,23.09,-39.56,7.70,
350,06/15/2024 21:10:00,23.06,-39.61,7.70,
351,06/15/2024 21:20:00,23.06,-39.55,7.70,
352,06/15/2024 21:30:00,23.06,-39.45,7.70,
353,06/15/2024 21:40:00,23.06,-39.30,7.70,
354,06/15/2024 21:50:00,23.06,-39.19,7.70,
355,06/15/2024 22:00:00,23.04,-39.09,7.69,
356,06/15/2024 22:10:00,23.04,-39.13,7.69,
357,06/15/2024 22:20:00,23.04,-38.86,7.69,
358,06/15/2024 22:30:00,23.04,-39.00,7.69,
359,06/15/2024 22:40:00,23.04,-39.00,7.69,
360,06/15/2024 22:50:00,23.04,-38.97,7.69,
361,06/15/2024 23:00:00,23.04,-39.08,7.69,
362,06/15/2024 23:10:00,23.02,-39.25,7.70,
363,06/15/2024 23:20:00,23.02,-39.03,7.69,
364,06/15/2024 23:30:00,23.02,-39.30,7.70,
365,06/15/2024 23:40:00,23.02,-39.16,7.69,
366,06/15/2024 23:50:00,23.02,-38.89,7.69,
367,06/16/2024 00:00:00,23.02,-38.53,7.68,
368,06/16/2024 00:10:00,23.02,-38.11,7.67,
369,06/16/2024 00:20:00,23.02,-38.56,7.68,
370,06/16/2024 00:30:00,23.02,-38.52,7.68,
371,06/16/2024 00:40:00,23.02,-38.49,7.68,
372,06/16/2024 00:50:00,23.02,-38.09,7.67,
373,06/16/2024 01:00:00,23.02,-37.80,7.67,
374,06/16/2024 01:10:00,23.02,-37.84,7.67,
375,06/16/2024 01:20:00,23.02,-38.00,7.67,
376,06/16/2024 01:30:00,23.02,-37.95,7.67,
377,06/16/2024 01:40:00,23.02,-38.02,7.67,
378,06/16/2024 01:50:00,23.02,-37.67,7.67,
379,06/16/2024 02:00:00,23.02,-38.02,7.67,
380,06/16/2024 02:10:00,23.02,-38.03,7.67,
381,06/16/2024 02:20:00,23.02,-38.13,7.67,
382,06/16/2024 02:30:00,23.02,-38.09,7.67,
383,06/16/2024 02:40:00,23.02,-37.97,7.67,
384,06/16/2024 02:50:00,23.02,-38.05,7.67,
385,06/16/2024 03:00:00,23.02,-38.14,7.68,
386,06/16/2024 03:10:00,23.02,-38.14,7.68,
387,06/16/2024 03:20:00,23.02,-38.11,7.67,
388,06/16/2024 03:30:00,22.99,-38.24,7.68,
389,06/16/2024 03:40:00,22.99,-38.24,7.68,
390,06/16/2024 03:50:00,22.99,-38.08,7.67,
391,06/16/2024 04:00:00,22.99,-38.22,7.68,
392,06/16/2024 04:10:00,22.99,-38.17,7.68,
393,06/16/2024 04:20:00,22.99,-38.30,7.68,
394,06/16/2024 04:30:00,22.99,-38.14,7.68,
395,06/16/2024 04:40:00,22.99,-38.38,7.68,
396,06/16/2024 04:50:00,22.97,-38.19,7.68,
397,06/16/2024 05:00:00,22.97,-38.36,7.68,
398,06/16/2024 05:10:00,22.97,-38.39,7.68,
399,06/16/2024 05:20:00,22.97,-38.55,7.68,
400,06/16/2024 05:30:00,22.97,-38.59,7.68,
401,06/16/2024 05:40:00,22.97,-38.47,7.68,
402,06/16/2024 05:50:00,22.97,-38.42,7.68,
403,06/16/2024 06:00:00,22.97,-38.75,7.69,
404,06/16/2024 06:10:00,22.97,-38.61,7.68,
405,06/16/2024 06:20:00,22.97,-38.47,7.68,
406,06/16/2024 06:30:00,22.97,-38.55,7.68,
407,06/16/2024 06:40:00,22.97,-38.42,7.68,
408,06/16/2024 06:50:00,22.97,-38.58,7.68,
409,06/16/2024 07:00:00,22.97,-38.97,7.69,
410,06/16/2024 07:10:00,22.97,-39.08,7.69,
411,06/16/2024 07:20:00,22.99,-39.09,7.69,
412,06/16/2024 07:30:00,22.99,-39.45,7.70,
413,06/16/2024 07:40:00,22.99,-39.39,7.70,
414,06/16/2024 07:50:00,23.02,-39.41,7.70,
415,06/16/2024 08:00:00,23.04,-39.33,7.70,
416,06/16/2024 08:10:00,23.04,-39.25,7.70,
417,06/16/2024 08:20:00,23.06,-40.00,7.71,
418,06/16/2024 08:30:00,23.09,-40.44,7.72,
419,06/16/2024 08:40:00,23.11,-40.75,7.73,
420,06/16/2024 08:50:00,23.23,-43.22,7.77,
421,06/16/2024 09:00:00,23.18,-41.72,7.74,
422,06/16/2024 09:10:00,23.18,-41.58,7.74,
423,06/16/2024 09:20:00,23.18,-42.03,7.75,
424,06/16/2024 09:30:00,23.21,-42.55,7.76,
425,06/16/2024 09:40:00,23.26,-45.10,7.81,
426,06/16/2024 09:50:00,23.28,-44.64,7.80,
427,06/16/2024 10:00:00,23.33,-46.56,7.84,
428,06/16/2024 10:10:00,23.33,-48.28,7.87,
429,06/16/2024 10:20:00,23.38,-49.02,7.88,
430,06/16/2024 10:30:00,23.38,-49.63,7.90,
431,06/16/2024 10:40:00,23.40,-48.60,7.88,
432,06/16/2024 10:50:00,23.42,-48.88,7.88,
433,06/16/2024 11:00:00,23.45,-48.53,7.87,
434,06/16/2024 11:10:00,23.45,-49.31,7.89,
435,06/16/2024 11:20:00,23.47,-50.78,7.92,
436,06/16/2024 11:30:00,23.47,-49.02,7.88,
437,06/16/2024 11:40:00,23.47,-49.14,7.89,
438,06/16/2024 11:50:00,23.47,-50.45,7.91,
439,06/16/2024 12:00:00,23.50,-51.49,7.93,
440,06/16/2024 12:10:00,23.52,-50.47,7.91,
441,06/16/2024 12:20:00,23.54,-51.42,7.93,
442,06/16/2024 12:30:00,23.59,-51.89,7.94,
443,06/16/2024 12:40:00,23.59,-51.41,7.93,
444,06/16/2024 12:50:00,23.59,-52.50,7.95,
445,06/16/2024 13:00:00,23.57,-52.33,7.95,
446,06/16/2024 13:10:00,23.59,-54.41,7.99,
447,06/16/2024 13:20:00,23.62,-53.22,7.96,
448,06/16/2024 13:30:00,23.64,-53.16,7.96,
449,06/16/2024 13:40:00,23.62,-53.91,7.98,
450,06/16/2024 13:50:00,23.66,-53.64,7.97,
451,06/16/2024 14:00:00,23.62,-51.85,7.94,
452,06/16/2024 14:10:00,23.62,-52.60,7.95,
453,06/16/2024 14:20:00,23.59,-50.31,7.91,
454,06/16/2024 14:30:00,23.57,-53.06,7.96,
455,06/16/2024 14:40:00,23.59,-52.63,7.95,
456,06/16/2024 14:50:00,23.54,-50.28,7.91,
457,06/16/2024 15:00:00,23.52,-50.80,7.92,
458,06/16/2024 15:10:00,23.54,-51.14,7.92,
459,06/16/2024 15:20:00,23.54,-52.60,7.95,
460,06/16/2024 15:30:00,23.52,-52.85,7.96,
461,06/16/2024 15:40:00,23.57,-52.69,7.95,
462,06/16/2024 15:50:00,23.50,-51.10,7.92,
463,06/16/2024 16:00:00,23.42,-48.77,7.88,
464,06/16/2024 16:10:00,23.42,-48.38,7.87,
465,06/16/2024 16:20:00,23.42,-47.10,7.85,
466,06/16/2024 16:30:00,23.38,-46.19,7.83,
467,06/16/2024 16:40:00,23.35,-46.02,7.83,
468,06/16/2024 16:50:00,23.33,-45.24,7.81,
469,06/16/2024 17:00:00,23.33,-44.92,7.80,
470,06/16/2024 17:10:00,23.30,-45.06,7.81,
471,06/16/2024 17:20:00,23.30,-44.47,7.80,
472,06/16/2024 17:30:00,23.30,-43.42,7.78,
473,06/16/2024 17:40:00,23.28,-41.41,7.74,
474,06/16/2024 17:50:00,23.28,-42.64,7.76,
475,06/16/2024 18:00:00,23.26,-42.52,7.76,
476,06/16/2024 18:10:00,23.23,-41.14,7.73,
477,06/16/2024 18:20:00,23.23,-40.91,7.73,
478,06/16/2024 18:30:00,23.23,-41.13,7.73,
479,06/16/2024 18:40:00,23.21,-41.03,7.73,
480,06/16/2024 18:50:00,23.18,-41.55,7.74,
