#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
57,09/20/2024 10:20:00,22.70,173.86,3.45,,,,,
58,09/20/2024 10:30:00,22.70,173.85,3.45,,,,,
59,09/20/2024 10:40:00,22.66,173.85,3.45,,,,,
60,09/20/2024 10:50:00,22.61,173.83,3.45,,,,,
61,09/20/2024 11:00:00,22.61,173.82,3.45,,,,,
62,09/20/2024 11:10:00,22.54,173.82,3.45,,,,,
63,09/20/2024 11:20:00,22.54,173.82,3.45,,,,,
64,09/20/2024 11:30:00,22.51,173.80,3.45,,,,,
65,09/20/2024 11:40:00,22.51,173.80,3.45,,,,,
66,09/20/2024 11:50:00,22.51,173.80,3.45,,,,,
67,09/20/2024 12:00:00,22.51,173.77,3.45,,,,,
68,09/20/2024 12:10:00,22.56,173.80,3.45,,,,,
69,09/20/2024 12:20:00,22.66,173.80,3.46,,,,,
70,09/20/2024 12:30:00,22.73,173.80,3.46,,,,,
71,09/20/2024 12:40:00,22.82,173.83,3.46,,,,,
72,09/20/2024 12:50:00,22.94,173.83,3.46,,,,,
73,09/20/2024 13:00:00,23.04,173.83,3.46,,,,,
74,09/20/2024 13:10:00,23.14,173.86,3.46,,,,,
75,09/20/2024 13:20:00,23.23,173.86,3.46,,,,,
76,09/20/2024 13:30:00,23.30,173.88,3.46,,,,,
77,09/20/2024 13:40:00,23.40,173.91,3.46,,,,,
78,09/20/2024 13:50:00,23.50,173.91,3.46,,,,,
79,09/20/2024 14:00:00,23.57,173.93,3.46,,,,,
80,09/20/2024 14:10:00,23.66,173.96,3.46,,,,,
81,09/20/2024 14:20:00,23.74,173.97,3.46,,,,,
82,09/20/2024 14:30:00,23.81,173.99,3.47,,,,,
83,09/20/2024 14:40:00,23.91,174.02,3.47,,,,,
84,09/20/2024 14:50:00,23.98,174.04,3.47,,,,,
85,09/20/2024 15:00:00,24.82,174.30,3.47,,,,,
86,09/20/2024 15:10:00,26.30,174.63,3.48,,,,,
87,09/20/2024 15:20:00,28.30,175.21,3.50,,,,,
88,09/20/2024 15:30:00,29.92,175.90,3.50,,,,,
89,09/20/2024 15:40:00,30.34,176.04,3.50,,,,,
90,09/20/2024 15:50:00,30.34,176.29,3.50,,,,,
91,09/20/2024 16:00:00,28.92,12.19,6.55,,,,,
92,09/20/2024 16:10:00,28.34,-51.69,7.74,,,,,
93,09/20/2024 16:20:00,28.20,-54.95,7.80,,,,,
94,09/20/2024 16:30:00,28.10,-55.56,7.82,,,,,
95,09/20/2024 16:40:00,28.05,-55.17,7.81,,,,,
96,09/20/2024 16:50:00,28.05,-55.20,7.81,,,,,
97,09/20/2024 17:00:00,28.05,-55.69,7.82,,,,,
98,09/20/2024 17:10:00,28.05,-55.89,7.82,,,,,
99,09/20/2024 17:20:00,28.02,-55.89,7.82,,,,,
100,09/20/2024 17:30:00,28.00,-55.58,7.82,,,,,
101,09/20/2024 17:40:00,28.00,-55.52,7.81,,,,,
102,09/20/2024 17:50:00,27.97,-56.10,7.83,,,,,
103,09/20/2024 18:00:00,27.95,-55.02,7.81,,,,,
104,09/20/2024 18:10:00,27.92,-54.20,7.79,,,,,
105,09/20/2024 18:20:00,27.90,-53.77,7.78,,,,,
106,09/20/2024 18:30:00,27.87,-53.17,7.77,,,,,
107,09/20/2024 18:40:00,27.85,-52.69,7.76,,,,,
108,09/20/2024 18:50:00,27.80,-51.85,7.75,,,,,
109,09/20/2024 19:00:00,27.75,-51.42,7.74,,,,,
110,09/20/2024 19:10:00,27.73,-50.66,7.72,,,,,
111,09/20/2024 19:20:00,27.70,-48.95,7.69,,,,,
112,09/20/2024 19:30:00,27.65,-48.50,7.68,,,,,
113,09/20/2024 19:40:00,27.63,-47.63,7.67,,,,,
114,09/20/2024 19:50:00,27.58,-47.03,7.66,,,,,
115,09/20/2024 20:00:00,27.55,-46.69,7.65,,,,,
116,09/20/2024 20:10:00,27.53,-45.92,7.64,,,,,
117,09/20/2024 20:20:00,27.51,-45.14,7.62,,,,,
118,09/20/2024 20:30:00,27.48,-44.38,7.61,,,,,
119,09/20/2024 20:40:00,27.46,-44.10,7.60,,,,,
120,09/20/2024 20:50:00,27.41,-43.60,7.59,,,,,
121,09/20/2024 21:00:00,27.38,-43.14,7.58,,,,,
122,09/20/2024 21:10:00,27.36,-42.97,7.58,,,,,
123,09/20/2024 21:20:00,27.31,-42.14,7.57,,,,,
124,09/20/2024 21:30:00,27.28,-41.22,7.55,,,,,
125,09/20/2024 21:40:00,27.26,-41.41,7.55,,,,,
126,09/20/2024 21:50:00,27.23,-41.02,7.54,,,,,
127,09/20/2024 22:00:00,27.19,-41.02,7.54,,,,,
128,09/20/2024 22:10:00,27.16,-40.36,7.53,,,,,
129,09/20/2024 22:20:00,27.14,-39.88,7.52,,,,,
130,09/20/2024 22:30:00,27.11,-39.86,7.52,,,,,
131,09/20/2024 22:40:00,27.09,-39.61,7.52,,,,,
132,09/20/2024 22:50:00,27.04,-39.58,7.52,,,,,
133,09/20/2024 23:00:00,27.01,-39.56,7.52,,,,,
134,09/20/2024 23:10:00,26.99,-39.24,7.51,,,,,
135,09/20/2024 23:20:00,26.96,-38.95,7.51,,,,,
136,09/20/2024 23:30:00,26.94,-38.74,7.50,,,,,
137,09/20/2024 23:40:00,26.92,-38.84,7.50,,,,,
138,09/20/2024 23:50:00,26.89,-38.50,7.50,,,,,
139,09/21/2024 00:00:00,26.87,-38.41,7.50,,,,,
140,09/21/2024 00:10:00,26.84,-38.20,7.49,,,,,
141,09/21/2024 00:20:00,26.82,-38.06,7.49,,,,,
142,09/21/2024 00:30:00,26.79,-37.81,7.49,,,,,
143,09/21/2024 00:40:00,26.77,-37.56,7.48,,,,,
144,09/21/2024 00:50:00,26.74,-37.47,7.48,,,,,
145,09/21/2024 01:00:00,26.72,-37.17,7.47,,,,,
146,09/21/2024 01:10:00,26.70,-37.31,7.48,,,,,
147,09/21/2024 01:20:00,26.67,-36.80,7.47,,,,,
148,09/21/2024 01:30:00,26.65,-36.84,7.47,,,,,
149,09/21/2024 01:40:00,26.62,-36.36,7.46,,,,,
150,09/21/2024 01:50:00,26.60,-36.28,7.46,,,,,
151,09/21/2024 02:00:00,26.57,-36.39,7.46,,,,,
152,09/21/2024 02:10:00,26.55,-36.08,7.45,,,,,
153,09/21/2024 02:20:00,26.52,-36.13,7.45,,,,,
154,09/21/2024 02:30:00,26.50,-35.95,7.45,,,,,
155,09/21/2024 02:40:00,26.48,-35.92,7.45,,,,,
156,09/21/2024 02:50:00,26.45,-35.80,7.45,,,,,
157,09/21/2024 03:00:00,26.43,-36.27,7.46,,,,,
158,09/21/2024 03:10:00,26.40,-36.41,7.46,,,,,
159,09/21/2024 03:20:00,26.38,-36.09,7.45,,,,,
160,09/21/2024 03:30:00,26.35,-35.91,7.45,,,,,
161,09/21/2024 03:40:00,26.33,-35.99,7.45,,,,,
162,09/21/2024 03:50:00,26.30,-35.75,7.45,,,,,
163,09/21/2024 04:00:00,26.28,-35.95,7.45,,,,,
164,09/21/2024 04:10:00,26.26,-35.72,7.45,,,,,
165,09/21/2024 04:20:00,26.23,-35.77,7.45,,,,,
166,09/21/2024 04:30:00,26.21,-35.49,7.44,,,,,
167,09/21/2024 04:40:00,26.18,-35.70,7.45,,,,,
168,09/21/2024 04:50:00,26.16,-35.33,7.44,,,,,
169,09/21/2024 05:00:00,26.16,-35.67,7.45,,,,,
170,09/21/2024 05:10:00,26.13,-35.81,7.45,,,,,
171,09/21/2024 05:20:00,26.11,-35.53,7.44,,,,,
172,09/21/2024 05:30:00,26.08,-35.42,7.44,,,,,
173,09/21/2024 05:40:00,26.06,-35.77,7.45,,,,,
174,09/21/2024 05:50:00,26.04,-35.86,7.45,,,,,
175,09/21/2024 06:00:00,26.04,-35.75,7.45,,,,,
176,09/21/2024 06:10:00,26.01,-35.89,7.45,,,,,
177,09/21/2024 06:20:00,25.99,-35.95,7.45,,,,,
178,09/21/2024 06:30:00,25.96,-35.95,7.45,,,,,
179,09/21/2024 06:40:00,25.96,-35.99,7.45,,,,,
180,09/21/2024 06:50:00,25.94,-35.84,7.45,,,,,
181,09/21/2024 07:00:00,25.94,-35.74,7.45,,,,,
182,09/21/2024 07:10:00,25.91,-35.86,7.45,,,,,
183,09/21/2024 07:20:00,25.89,-36.11,7.45,,,,,
184,09/21/2024 07:30:00,25.89,-36.05,7.45,,,,,
185,09/21/2024 07:40:00,25.89,-35.86,7.45,,,,,
186,09/21/2024 07:50:00,25.87,-35.66,7.45,,,,,
187,09/21/2024 08:00:00,25.89,-35.91,7.45,,,,,
188,09/21/2024 08:10:00,25.87,-36.20,7.46,,,,,
189,09/21/2024 08:20:00,25.91,-36.02,7.45,,,,,
190,09/21/2024 08:30:00,25.99,-35.89,7.45,,,,,
191,09/21/2024 08:40:00,26.11,-36.31,7.46,,,,,
192,09/21/2024 08:50:00,26.18,-36.28,7.46,,,,,
193,09/21/2024 09:00:00,26.06,-36.77,7.47,,,,,
194,09/21/2024 09:10:00,25.99,-36.47,7.46,,,,,
195,09/21/2024 09:20:00,26.35,-37.20,7.47,,,,,
196,09/21/2024 09:30:00,26.45,-38.14,7.49,,,,,
197,09/21/2024 09:40:00,26.50,-38.97,7.51,,,,,
198,09/21/2024 09:50:00,26.57,-39.24,7.51,,,,,
199,09/21/2024 10:00:00,26.67,-39.58,7.52,,,,,
200,09/21/2024 10:10:00,26.67,-40.00,7.53,,,,,
201,09/21/2024 10:20:00,26.52,-39.39,7.52,,,,,
202,09/21/2024 10:30:00,26.65,-40.13,7.53,,,,,
203,09/21/2024 10:40:00,26.87,-41.25,7.55,,,,,
204,09/21/2024 10:50:00,26.82,-41.61,7.56,,,,,
205,09/21/2024 11:00:00,26.94,-42.17,7.57,,,,,
206,09/21/2024 11:10:00,26.89,-42.58,7.57,,,,,
207,09/21/2024 11:20:00,26.92,-42.66,7.58,,,,,
208,09/21/2024 11:30:00,27.04,-43.67,7.59,,,,,
209,09/21/2024 11:40:00,26.94,-42.85,7.58,,,,,
210,09/21/2024 11:50:00,27.19,-44.27,7.61,,,,,
211,09/21/2024 12:00:00,27.28,-45.50,7.63,,,,,
212,09/21/2024 12:10:00,27.23,-45.20,7.62,,,,,
213,09/21/2024 12:20:00,27.11,-43.77,7.60,,,,,
214,09/21/2024 12:30:00,27.11,-43.41,7.59,,,,,
215,09/21/2024 12:40:00,27.21,-44.25,7.61,,,,,
216,09/21/2024 12:50:00,27.21,-44.33,7.61,,,,,
217,09/21/2024 13:00:00,27.21,-44.10,7.60,,,,,
218,09/21/2024 13:10:00,27.33,-45.86,7.64,,,,,
219,09/21/2024 13:20:00,27.36,-46.10,7.64,,,,,
220,09/21/2024 13:30:00,27.41,-49.75,7.71,,,,,
221,09/21/2024 13:40:00,27.48,-51.66,7.74,,,,,
222,09/21/2024 13:50:00,27.51,-50.77,7.73,,,,,
223,09/21/2024 14:00:00,27.51,-51.44,7.74,,,,,
224,09/21/2024 14:10:00,27.58,-53.02,7.77,,,,,
225,09/21/2024 14:20:00,27.63,-54.13,7.79,,,,,
226,09/21/2024 14:30:00,27.63,-53.89,7.79,,,,,
227,09/21/2024 14:40:00,27.63,-53.80,7.78,,,,,
228,09/21/2024 14:50:00,27.63,-52.66,7.76,,,,,
229,09/21/2024 15:00:00,27.60,-52.17,7.75,,,,,
230,09/21/2024 15:10:00,27.60,-51.41,7.74,,,,,
231,09/21/2024 15:20:00,27.63,-51.49,7.74,,,,,
232,09/21/2024 15:30:00,27.65,-51.72,7.74,,,,,
233,09/21/2024 15:40:00,27.70,-53.47,7.78,,,,,
234,09/21/2024 15:50:00,27.70,-53.49,7.78,,,,,
235,09/21/2024 16:00:00,27.73,-53.78,7.78,,,,,
236,09/21/2024 16:10:00,27.73,-53.16,7.77,,,,,
237,09/21/2024 16:20:00,27.73,-52.78,7.76,,,,,
238,09/21/2024 16:30:00,27.75,-53.16,7.77,,,,,
239,09/21/2024 16:40:00,27.75,-52.24,7.75,,,,,
240,09/21/2024 16:50:00,27.75,-52.45,7.76,,,,,
241,09/21/2024 17:00:00,27.75,-52.33,7.76,,,,,
242,09/21/2024 17:10:00,27.78,-52.64,7.76,,,,,
243,09/21/2024 17:20:00,27.75,-52.64,7.76,,,,,
244,09/21/2024 17:30:00,27.73,-52.22,7.75,,,,,
245,09/21/2024 17:40:00,27.73,-51.83,7.75,,,,,
246,09/21/2024 17:50:00,27.73,-51.72,7.74,,,,,
247,09/21/2024 18:00:00,27.70,-51.27,7.74,,,,,
248,09/21/2024 18:10:00,27.70,-50.70,7.73,,,,,
249,09/21/2024 18:20:00,27.68,-50.22,7.72,,,,,
250,09/21/2024 18:30:00,27.63,-50.16,7.72,,,,,
251,09/21/2024 18:40:00,27.58,-49.00,7.69,,,,,
252,09/21/2024 18:50:00,27.55,-48.11,7.68,,,,,
253,09/21/2024 19:00:00,27.53,-47.63,7.67,,,,,
254,09/21/2024 19:10:00,27.48,-46.77,7.65,,,,,
255,09/21/2024 19:20:00,27.46,-46.38,7.64,,,,,
256,09/21/2024 19:30:00,27.41,-45.83,7.63,,,,,
257,09/21/2024 19:40:00,27.36,-45.19,7.62,,,,,
258,09/21/2024 19:50:00,27.31,-45.81,7.63,,,,,
259,09/21/2024 20:00:00,27.26,-45.36,7.63,,,,,
260,09/21/2024 20:10:00,27.21,-44.27,7.61,,,,,
261,09/21/2024 20:20:00,27.16,-42.64,7.58,,,,,
262,09/21/2024 20:30:00,27.16,-42.61,7.57,,,,,
263,09/21/2024 20:40:00,27.14,-42.80,7.58,,,,,
264,09/21/2024 20:50:00,27.11,-42.47,7.57,,,,,
265,09/21/2024 21:00:00,27.09,-42.03,7.56,,,,,
266,09/21/2024 21:10:00,27.04,-41.28,7.55,,,,,
267,09/21/2024 21:20:00,27.01,-41.14,7.55,,,,,
268,09/21/2024 21:30:00,26.99,-41.45,7.55,,,,,
269,09/21/2024 21:40:00,26.96,-41.31,7.55,,,,,
270,09/21/2024 21:50:00,26.92,-40.89,7.54,,,,,
271,09/21/2024 22:00:00,26.87,-40.50,7.54,,,,,
272,09/21/2024 22:10:00,26.84,-40.27,7.53,,,,,
273,09/21/2024 22:20:00,26.79,-39.99,7.53,,,,,
274,09/21/2024 22:30:00,26.77,-39.42,7.52,,,,,
275,09/21/2024 22:40:00,26.74,-38.81,7.50,,,,,
276,09/21/2024 22:50:00,26.72,-38.44,7.50,,,,,
277,09/21/2024 23:00:00,26.67,-38.56,7.50,,,,,
278,09/21/2024 23:10:00,26.65,-38.39,7.50,,,,,
279,09/21/2024 23:20:00,26.62,-37.97,7.49,,,,,
280,09/21/2024 23:30:00,26.60,-38.02,7.49,,,,,
281,09/21/2024 23:40:00,26.57,-37.95,7.49,,,,,
282,09/21/2024 23:50:00,26.52,-37.59,7.48,,,,,
283,09/22/2024 00:00:00,26.50,-36.94,7.47,,,,,
284,09/22/2024 00:10:00,26.48,-36.81,7.47,,,,,
285,09/22/2024 00:20:00,26.48,-36.86,7.47,,,,,
286,09/22/2024 00:30:00,26.45,-36.89,7.47,,,,,
287,09/22/2024 00:40:00,26.43,-36.77,7.47,,,,,
288,09/22/2024 00:50:00,26.40,-36.47,7.46,,,,,
289,09/22/2024 01:00:00,26.38,-36.31,7.46,,,,,
290,09/22/2024 01:10:00,26.33,-36.25,7.46,,,,,
291,09/22/2024 01:20:00,26.30,-36.30,7.46,,,,,
292,09/22/2024 01:30:00,26.28,-35.55,7.44,,,,,
293,09/22/2024 01:40:00,26.28,-35.67,7.45,,,,,
294,09/22/2024 01:50:00,26.23,-35.61,7.44,,,,,
295,09/22/2024 02:00:00,26.21,-35.66,7.45,,,,,
296,09/22/2024 02:10:00,26.18,-35.53,7.44,,,,,
297,09/22/2024 02:20:00,26.16,-35.67,7.45,,,,,
298,09/22/2024 02:30:00,26.13,-35.69,7.45,,,,,
299,09/22/2024 02:40:00,26.11,-35.31,7.44,,,,,
300,09/22/2024 02:50:00,26.06,-35.44,7.44,,,,,
301,09/22/2024 03:00:00,26.06,-35.81,7.45,,,,,
302,09/22/2024 03:10:00,26.04,-35.67,7.45,,,,,
303,09/22/2024 03:20:00,26.01,-35.41,7.44,,,,,
304,09/22/2024 03:30:00,25.99,-35.41,7.44,,,,,
305,09/22/2024 03:40:00,25.96,-35.38,7.44,,,,,
306,09/22/2024 03:50:00,25.94,-35.31,7.44,,,,,
307,09/22/2024 04:00:00,25.89,-35.58,7.44,,,,,
308,09/22/2024 04:10:00,25.87,-35.59,7.44,,,,,
309,09/22/2024 04:20:00,25.84,-35.56,7.44,,,,,
310,09/22/2024 04:30:00,25.82,-35.59,7.44,,,,,
311,09/22/2024 04:40:00,25.79,-35.55,7.44,,,,,
312,09/22/2024 04:50:00,25.77,-35.50,7.44,,,,,
313,09/22/2024 05:00:00,25.74,-35.36,7.44,,,,,
314,09/22/2024 05:10:00,25.72,-35.84,7.45,,,,,
315,09/22/2024 05:20:00,25.72,-35.80,7.45,,,,,
316,09/22/2024 05:30:00,25.70,-35.83,7.45,,,,,
317,09/22/2024 05:40:00,25.67,-35.81,7.45,,,,,
318,09/22/2024 05:50:00,25.62,-35.81,7.45,,,,,
319,09/22/2024 06:00:00,25.60,-35.61,7.45,,,,,
320,09/22/2024 06:10:00,25.57,-35.70,7.45,,,,,
321,09/22/2024 06:20:00,25.55,-35.78,7.45,,,,,
322,09/22/2024 06:30:00,25.53,-35.58,7.45,,,,,
323,09/22/2024 06:40:00,25.53,-35.56,7.44,,,,,
324,09/22/2024 06:50:00,25.50,-35.44,7.44,,,,,
325,09/22/2024 07:00:00,25.48,-35.59,7.45,,,,,
326,09/22/2024 07:10:00,25.45,-35.58,7.45,,,,,
327,09/22/2024 07:20:00,25.45,-35.56,7.44,,,,,
328,09/22/2024 07:30:00,25.43,-35.33,7.44,,,,,
329,09/22/2024 07:40:00,25.43,-35.52,7.44,,,,,
330,09/22/2024 07:50:00,25.40,-35.66,7.45,,,,,
331,09/22/2024 08:00:00,25.43,-35.53,7.44,,,,,
332,09/22/2024 08:10:00,25.40,-35.56,7.44,,,,,
333,09/22/2024 08:20:00,25.45,-35.45,7.44,,,,,
334,09/22/2024 08:30:00,25.40,-35.38,7.44,,,,,
335,09/22/2024 08:40:00,25.60,-36.33,7.46,,,,,
336,09/22/2024 08:50:00,25.67,-36.99,7.47,,,,,
337,09/22/2024 09:00:00,25.60,-37.03,7.47,,,,,
338,09/22/2024 09:10:00,25.77,-37.27,7.48,,,,,
339,09/22/2024 09:20:00,25.91,-38.14,7.49,,,,,
340,09/22/2024 09:30:00,25.99,-39.09,7.51,,,,,
341,09/22/2024 09:40:00,26.06,-39.95,7.53,,,,,
342,09/22/2024 09:50:00,25.96,-40.19,7.53,,,,,
343,09/22/2024 10:00:00,26.18,-41.47,7.56,,,,,
344,09/22/2024 10:10:00,26.28,-42.33,7.57,,,,,
345,09/22/2024 10:20:00,26.26,-42.14,7.57,,,,,
346,09/22/2024 10:30:00,26.23,-42.94,7.58,,,,,
347,09/22/2024 10:40:00,26.40,-44.60,7.61,,,,,
348,09/22/2024 10:50:00,26.55,-46.17,7.64,,,,,
349,09/22/2024 11:00:00,26.48,-44.83,7.62,,,,,
350,09/22/2024 11:10:00,26.30,-42.95,7.58,,,,,
351,09/22/2024 11:20:00,26.57,-43.66,7.60,,,,,
352,09/22/2024 11:30:00,26.62,-45.95,7.64,,,,,
353,09/22/2024 11:40:00,26.50,-44.53,7.61,,,,,
354,09/22/2024 11:50:00,26.77,-46.99,7.66,,,,,
355,09/22/2024 12:00:00,26.82,-48.85,7.69,,,,,
356,09/22/2024 12:10:00,26.82,-48.35,7.68,,,,,
357,09/22/2024 12:20:00,26.89,-48.97,7.69,,,,,
358,09/22/2024 12:30:00,26.77,-46.27,7.64,,,,,
359,09/22/2024 12:40:00,26.82,-46.20,7.64,,,,,
360,09/22/2024 12:50:00,26.84,-46.63,7.65,,,,,
361,09/22/2024 13:00:00,26.82,-45.77,7.63,,,,,
362,09/22/2024 13:10:00,27.01,-48.58,7.69,,,,,
363,09/22/2024 13:20:00,27.01,-48.16,7.68,,,,,
364,09/22/2024 13:30:00,27.06,-49.06,7.70,,,,,
365,09/22/2024 13:40:00,27.19,-50.80,7.73,,,,,
366,09/22/2024 13:50:00,27.23,-53.10,7.77,,,,,
367,09/22/2024 14:00:00,27.28,-52.39,7.76,,,,,
368,09/22/2024 14:10:00,27.33,-52.22,7.75,,,,,
369,09/22/2024 14:20:00,27.41,-54.58,7.80,,,,,
370,09/22/2024 14:30:00,27.43,-54.47,7.80,,,,,
371,09/22/2024 14:40:00,27.46,-53.49,7.78,,,,,
372,09/22/2024 14:50:00,27.46,-51.45,7.74,,,,,
373,09/22/2024 15:00:00,27.43,-50.72,7.73,,,,,
374,09/22/2024 15:10:00,27.46,-49.55,7.70,,,,,
375,09/22/2024 15:20:00,27.48,-48.99,7.69,,,,,
376,09/22/2024 15:30:00,27.53,-49.50,7.70,,,,,
377,09/22/2024 15:40:00,27.60,-51.03,7.73,,,,,
378,09/22/2024 15:50:00,27.68,-52.00,7.75,,,,,
379,09/22/2024 16:00:00,27.73,-53.11,7.77,,,,,
380,09/22/2024 16:10:00,27.78,-52.35,7.76,,,,,
381,09/22/2024 16:20:00,27.78,-51.94,7.75,,,,,
382,09/22/2024 16:30:00,27.83,-53.42,7.78,,,,,
383,09/22/2024 16:40:00,27.85,-52.99,7.77,,,,,
384,09/22/2024 16:50:00,27.87,-54.41,7.79,,,,,
385,09/22/2024 17:00:00,27.87,-54.16,7.79,,,,,
386,09/22/2024 17:10:00,27.85,-54.50,7.80,,,,,
387,09/22/2024 17:20:00,27.85,-55.13,7.81,,,,,
388,09/22/2024 17:30:00,27.83,-55.13,7.81,,,,,
389,09/22/2024 17:40:00,27.80,-55.53,7.82,,,,,
390,09/22/2024 17:50:00,27.78,-54.94,7.80,,,,,
391,09/22/2024 18:00:00,27.78,-53.99,7.79,,,,,
392,09/22/2024 18:10:00,27.75,-52.83,7.77,,,,,
393,09/22/2024 18:20:00,27.70,-51.95,7.75,,,,,
394,09/22/2024 18:30:00,27.68,-50.80,7.73,,,,,
395,09/22/2024 18:40:00,27.68,-51.03,7.73,,,,,
396,09/22/2024 18:50:00,27.65,-50.80,7.73,,,,,
397,09/22/2024 19:00:00,27.60,-49.24,7.70,,,,,
398,09/22/2024 19:10:00,27.58,-49.05,7.69,,,,,
399,09/22/2024 19:20:00,27.53,-47.91,7.67,,,,,
400,09/22/2024 19:30:00,27.51,-47.64,7.67,,,,,
401,09/22/2024 19:40:00,27.48,-45.61,7.63,,,,,
402,09/22/2024 19:50:00,27.46,-46.47,7.65,,,,,
403,09/22/2024 20:00:00,27.43,-45.88,7.64,,,,,
404,09/22/2024 20:10:00,27.38,-44.72,7.61,,,,,
405,09/22/2024 20:20:00,27.33,-43.89,7.60,,,,,
406,09/22/2024 20:30:00,27.31,-42.63,7.57,,,,,
407,09/22/2024 20:40:00,27.28,-43.00,7.58,,,,,
408,09/22/2024 20:50:00,27.28,-43.08,7.58,,,,,
409,09/22/2024 21:00:00,27.26,-43.33,7.59,,,,,
410,09/22/2024 21:10:00,27.23,-42.38,7.57,,,,,
411,09/22/2024 21:20:00,27.21,-41.88,7.56,,,,,
412,09/22/2024 21:30:00,27.19,-42.42,7.57,,,,,
413,09/22/2024 21:40:00,27.16,-41.31,7.55,,,,,
414,09/22/2024 21:50:00,27.14,-41.03,7.55,,,,,
415,09/22/2024 22:00:00,27.09,-40.30,7.53,,,,,
416,09/22/2024 22:10:00,27.06,-39.52,7.52,,,,,
417,09/22/2024 22:20:00,27.04,-39.14,7.51,,,,,
418,09/22/2024 22:30:00,27.01,-38.41,7.50,,,,,
419,09/22/2024 22:40:00,26.99,-39.14,7.51,,,,,
420,09/22/2024 22:50:00,26.96,-38.78,7.50,,,,,
421,09/22/2024 23:00:00,26.94,-37.78,7.48,,,,,
422,09/22/2024 23:10:00,26.92,-37.72,7.48,,,,,
423,09/22/2024 23:20:00,26.89,-37.41,7.48,,,,,
