Date	Time	Temp (°C) c:1	mV (mv) c:2	pH c:4	Water Detect	Button Down	Button Up	Host Connected	End Of File
07-10-22	14:20:00	27.16	-27.02	7.45					
07-10-22	14:30:00	26.70	-26.92	7.45					
07-10-22	14:40:00	26.67	-27.02	7.45					
07-10-22	14:50:00	26.67	-26.86	7.45					
07-10-22	15:00:00	26.67	-26.95	7.45					
07-10-22	15:10:00	26.70	-27.02	7.45					
07-10-22	15:20:00	26.70	-26.97	7.45					
07-10-22	15:30:00	26.70	-27.08	7.46					
07-10-22	15:40:00	26.70	-27.03	7.45					
07-10-22	15:50:00	26.72	-27.11	7.46					
07-10-22	16:00:00	26.74	-27.17	7.46					
07-10-22	16:10:00	26.74	-27.56	7.46					
07-10-22	16:20:00	26.74	-27.78	7.47					
07-10-22	16:30:00	26.77	-28.78	7.48					
07-10-22	16:40:00	26.74	-28.75	7.48					
07-10-22	16:50:00	26.74	-29.27	7.49					
07-10-22	17:00:00	26.77	-28.95	7.49					
07-10-22	17:10:00	26.74	-29.42	7.49					
07-10-22	17:20:00	26.74	-29.56	7.50					
07-10-22	17:30:00	26.74	-29.45	7.49					
07-10-22	17:40:00	26.74	-29.50	7.50					
07-10-22	17:50:00	26.72	-29.70	7.50					
07-10-22	18:00:00	26.74	-29.59	7.50					
07-10-22	18:10:00	26.72	-29.64	7.50					
07-10-22	18:20:00	26.72	-29.20	7.49					
07-10-22	18:30:00	26.72	-29.09	7.49					
07-10-22	18:40:00	26.70	-28.97	7.49					
07-10-22	18:50:00	26.70	-28.99	7.49					
07-10-22	19:00:00	26.67	-28.70	7.48					
07-10-22	19:10:00	26.67	-28.56	7.48					
07-10-22	19:20:00	26.65	-28.34	7.48					
07-10-22	19:30:00	26.65	-28.49	7.48					
07-10-22	19:40:00	26.62	-28.16	7.47					
07-10-22	19:50:00	26.62	-28.03	7.47					
07-10-22	20:00:00	26.60	-31.56	7.53					
07-10-22	20:10:00	26.57	-28.28	7.48					
07-10-22	20:20:00	26.55	-28.17	7.47					
07-10-22	20:30:00	26.52	-28.17	7.47					
07-10-22	20:40:00	26.52	-27.55	7.46					
07-10-22	20:50:00	26.50	-27.47	7.46					
07-10-22	21:00:00	26.50	-27.41	7.46					
07-10-22	21:10:00	26.48	-27.05	7.45					
07-10-22	21:20:00	26.45	-27.38	7.46					
07-10-22	21:30:00	26.45	-27.55	7.46					
07-10-22	21:40:00	26.43	-27.47	7.46					
07-10-22	21:50:00	26.40	-27.88	7.47					
07-10-22	22:00:00	26.40	-27.78	7.47					
07-10-22	22:10:00	26.38	-27.72	7.47					
07-10-22	22:20:00	26.38	-27.59	7.46					
07-10-22	22:30:00	26.35	-27.88	7.47					
07-10-22	22:40:00	26.33	-27.83	7.47					
07-10-22	22:50:00	26.33	-28.08	7.47					
07-10-22	23:00:00	26.30	-27.64	7.47					
07-10-22	23:10:00	26.30	-27.44	7.46					
07-10-22	23:20:00	26.28	-27.22	7.46					
07-10-22	23:30:00	26.26	-27.24	7.46					
07-10-22	23:40:00	26.26	-27.11	7.46					
07-10-22	23:50:00	26.23	-27.58	7.46					
08-10-22	00:00:00	26.21	-27.56	7.46					
08-10-22	00:10:00	26.21	-27.34	7.46					
08-10-22	00:20:00	26.21	-27.39	7.46					
08-10-22	00:30:00	26.18	-27.05	7.46					
08-10-22	00:40:00	26.18	-27.06	7.46					
08-10-22	00:50:00	26.16	-27.00	7.45					
08-10-22	01:00:00	26.16	-27.41	7.46					
08-10-22	01:10:00	26.13	-28.28	7.48					
08-10-22	01:20:00	26.11	-28.33	7.48					
08-10-22	01:30:00	26.08	-28.08	7.47					
08-10-22	01:40:00	26.08	-27.66	7.47					
08-10-22	01:50:00	26.06	-27.66	7.47					
08-10-22	02:00:00	26.04	-27.36	7.46					
08-10-22	02:10:00	26.04	-26.99	7.45					
08-10-22	02:20:00	26.01	-27.11	7.46					
08-10-22	02:30:00	25.99	-26.89	7.45					
08-10-22	02:40:00	25.99	-26.75	7.45					
08-10-22	02:50:00	25.96	-26.58	7.45					
08-10-22	03:00:00	25.96	-26.45	7.45					
08-10-22	03:10:00	25.94	-26.49	7.45					
08-10-22	03:20:00	25.91	-26.38	7.44					
08-10-22	03:30:00	25.89	-26.08	7.44					
08-10-22	03:40:00	25.87	-26.24	7.44					
08-10-22	03:50:00	25.87	-26.20	7.44					
08-10-22	04:00:00	25.84	-26.19	7.44					
08-10-22	04:10:00	25.82	-26.22	7.44					
08-10-22	04:20:00	25.82	-26.22	7.44					
08-10-22	04:30:00	25.79	-26.14	7.44					
08-10-22	04:40:00	25.79	-25.99	7.44					
08-10-22	04:50:00	25.77	-25.99	7.44					
08-10-22	05:00:00	25.77	-25.86	7.44					
08-10-22	05:10:00	25.74	-25.88	7.44					
08-10-22	05:20:00	25.72	-25.75	7.43					
08-10-22	05:30:00	25.72	-25.72	7.43					
08-10-22	05:40:00	25.70	-25.75	7.43					
08-10-22	05:50:00	25.70	-25.89	7.44					
08-10-22	06:00:00	25.67	-25.56	7.43					
08-10-22	06:10:00	25.67	-25.74	7.43					
08-10-22	06:20:00	25.65	-25.47	7.43					
08-10-22	06:30:00	25.62	-25.00	7.42					
08-10-22	06:40:00	25.62	-25.20	7.43					
08-10-22	06:50:00	25.60	-24.81	7.42					
08-10-22	07:00:00	25.60	-24.63	7.42					
08-10-22	07:10:00	25.60	-24.88	7.42					
08-10-22	07:20:00	25.60	-25.03	7.42					
08-10-22	07:30:00	25.57	-25.00	7.42					
08-10-22	07:40:00	25.57	-24.63	7.42					
08-10-22	07:50:00	25.57	-24.36	7.41					
08-10-22	08:00:00	25.60	-24.45	7.41					
08-10-22	08:10:00	25.60	-24.50	7.41					
08-10-22	08:20:00	25.62	-24.41	7.41					
08-10-22	08:30:00	25.65	-24.25	7.41					
08-10-22	08:40:00	25.65	-24.66	7.42					
08-10-22	08:50:00	25.70	-25.11	7.42					
08-10-22	09:00:00	25.74	-24.89	7.42					
08-10-22	09:10:00	25.79	-24.91	7.42					
08-10-22	09:20:00	25.84	-24.94	7.42					
08-10-22	09:30:00	25.91	-24.89	7.42					
08-10-22	09:40:00	25.96	-25.11	7.42					
08-10-22	09:50:00	26.04	-24.99	7.42					
08-10-22	10:00:00	26.11	-24.91	7.42					
08-10-22	10:10:00	26.16	-24.99	7.42					
08-10-22	10:20:00	26.21	-24.81	7.42					
08-10-22	10:30:00	26.28	-24.69	7.42					
08-10-22	10:40:00	26.33	-24.75	7.42					
08-10-22	10:50:00	26.38	-24.56	7.41					
08-10-22	11:00:00	26.43	-24.75	7.42					
08-10-22	11:10:00	26.50	-24.20	7.41					
08-10-22	11:20:00	26.52	-23.86	7.40					
08-10-22	11:30:00	26.57	-23.94	7.40					
08-10-22	11:40:00	26.60	-23.84	7.40					
08-10-22	11:50:00	26.60	-23.75	7.40					
08-10-22	12:00:00	26.60	-23.92	7.40					
08-10-22	12:10:00	26.62	-24.28	7.41					
08-10-22	12:20:00	26.67	-24.53	7.41					
08-10-22	12:30:00	26.72	-25.95	7.44					
08-10-22	12:40:00	26.79	-25.55	7.43					
08-10-22	12:50:00	26.96	-25.58	7.43					
08-10-22	13:00:00	26.77	-25.84	7.43					
08-10-22	13:10:00	26.89	-26.42	7.44					
08-10-22	13:20:00	27.21	-27.06	7.45					
08-10-22	13:30:00	26.96	-27.77	7.47					
08-10-22	13:40:00	27.11	-27.24	7.46					
08-10-22	13:50:00	27.19	-28.33	7.48					
08-10-22	14:00:00	27.36	-29.00	7.49					
08-10-22	14:10:00	27.43	-29.39	7.49					
08-10-22	14:20:00	27.16	-29.75	7.50					
08-10-22	14:30:00	26.92	-29.19	7.49					
08-10-22	14:40:00	26.96	-29.33	7.49					
08-10-22	14:50:00	26.92	-29.22	7.49					
08-10-22	15:00:00	26.94	-28.86	7.48					
08-10-22	15:10:00	26.96	-29.31	7.49					
08-10-22	15:20:00	26.92	-29.83	7.50					
08-10-22	15:30:00	26.96	-29.78	7.50					
08-10-22	15:40:00	26.94	-29.64	7.50					
08-10-22	15:50:00	26.96	-29.83	7.50					
08-10-22	16:00:00	26.96	-30.05	7.50					
08-10-22	16:10:00	26.94	-30.09	7.51					
08-10-22	16:20:00	26.94	-30.34	7.51					
08-10-22	16:30:00	26.89	-30.34	7.51					
08-10-22	16:40:00	26.89	-30.24	7.51					
08-10-22	16:50:00	26.87	-29.99	7.50					
08-10-22	17:00:00	26.84	-30.24	7.51					
08-10-22	17:10:00	26.84	-30.13	7.51					
08-10-22	17:20:00	26.87	-30.02	7.50					
08-10-22	17:30:00	26.82	-30.19	7.51					
08-10-22	17:40:00	26.84	-29.74	7.50					
08-10-22	17:50:00	26.84	-29.80	7.50					
08-10-22	18:00:00	26.79	-29.78	7.50					
08-10-22	18:10:00	26.82	-29.42	7.49					
08-10-22	18:20:00	26.79	-29.80	7.50					
08-10-22	18:30:00	26.79	-29.30	7.49					
08-10-22	18:40:00	26.77	-28.80	7.48					
08-10-22	18:50:00	26.77	-29.22	7.49					
08-10-22	19:00:00	26.74	-28.64	7.48					
08-10-22	19:10:00	26.72	-29.27	7.49					
08-10-22	19:20:00	26.72	-29.11	7.49					
08-10-22	19:30:00	26.70	-28.88	7.49					
08-10-22	19:40:00	26.67	-28.75	7.48					
08-10-22	19:50:00	26.65	-28.80	7.48					
08-10-22	20:00:00	26.65	-28.39	7.48					
08-10-22	20:10:00	26.62	-28.38	7.48					
08-10-22	20:20:00	26.62	-28.75	7.48					
08-10-22	20:30:00	26.60	-28.69	7.48					
08-10-22	20:40:00	26.57	-28.50	7.48					
08-10-22	20:50:00	26.57	-28.59	7.48					
08-10-22	21:00:00	26.57	-28.58	7.48					
08-10-22	21:10:00	26.55	-28.25	7.47					
08-10-22	21:20:00	26.52	-28.45	7.48					
08-10-22	21:30:00	26.52	-28.33	7.48					
08-10-22	21:40:00	26.52	-27.77	7.47					
08-10-22	21:50:00	26.50	-28.47	7.48					
08-10-22	22:00:00	26.50	-28.11	7.47					
08-10-22	22:10:00	26.48	-28.03	7.47					
08-10-22	22:20:00	26.48	-28.41	7.48					
08-10-22	22:30:00	26.45	-28.31	7.48					
08-10-22	22:40:00	26.45	-29.31	7.49					
08-10-22	22:50:00	26.43	-29.05	7.49					
08-10-22	23:00:00	26.43	-29.80	7.50					
08-10-22	23:10:00	26.40	-28.55	7.48					
08-10-22	23:20:00	26.40	-28.83	7.48					
08-10-22	23:30:00	26.40	-28.39	7.48					
08-10-22	23:40:00	26.38	-28.22	7.47					
08-10-22	23:50:00	26.38	-28.09	7.47					
09-10-22	00:00:00	26.35	-28.27	7.48					
09-10-22	00:10:00	26.35	-28.00	7.47					
09-10-22	00:20:00	26.33	-27.77	7.47					
09-10-22	00:30:00	26.33	-27.53	7.46					
09-10-22	00:40:00	26.30	-27.69	7.47					
09-10-22	00:50:00	26.30	-27.64	7.47					
09-10-22	01:00:00	26.28	-27.30	7.46					
09-10-22	01:10:00	26.28	-27.28	7.46					
09-10-22	01:20:00	26.26	-27.24	7.46					
09-10-22	01:30:00	26.23	-27.50	7.46					
09-10-22	01:40:00	26.23	-27.28	7.46					
09-10-22	01:50:00	26.21	-27.56	7.46					
09-10-22	02:00:00	26.18	-27.47	7.46					
09-10-22	02:10:00	26.18	-27.56	7.46					
09-10-22	02:20:00	26.16	-27.70	7.47					
09-10-22	02:30:00	26.13	-27.91	7.47					
09-10-22	02:40:00	26.13	-27.83	7.47					
09-10-22	02:50:00	26.11	-27.63	7.47					
09-10-22	03:00:00	26.11	-27.11	7.46					
09-10-22	03:10:00	26.11	-27.59	7.46					
09-10-22	03:20:00	26.08	-27.39	7.46					
09-10-22	03:30:00	26.06	-27.64	7.47					
09-10-22	03:40:00	26.06	-27.53	7.46					
09-10-22	03:50:00	26.04	-27.80	7.47					
09-10-22	04:00:00	26.04	-27.58	7.46					
09-10-22	04:10:00	26.01	-27.45	7.46					
09-10-22	04:20:00	25.99	-27.22	7.46					
09-10-22	04:30:00	25.99	-27.08	7.46					
09-10-22	04:40:00	25.96	-26.97	7.45					
09-10-22	04:50:00	25.96	-26.84	7.45					
09-10-22	05:00:00	25.94	-27.24	7.46					
09-10-22	05:10:00	25.94	-26.89	7.45					
09-10-22	05:20:00	25.94	-26.94	7.45					
09-10-22	05:30:00	25.91	-26.53	7.45					
09-10-22	05:40:00	25.91	-26.75	7.45					
09-10-22	05:50:00	25.89	-27.38	7.46					
09-10-22	06:00:00	25.89	-26.94	7.45					
09-10-22	06:10:00	25.87	-26.67	7.45					
09-10-22	06:20:00	25.87	-26.80	7.45					
09-10-22	06:30:00	25.84	-26.58	7.45					
09-10-22	06:40:00	25.84	-26.34	7.44					
09-10-22	06:50:00	25.82	-26.24	7.44					
09-10-22	07:00:00	25.82	-25.95	7.44					
09-10-22	07:10:00	25.82	-25.84	7.44					
09-10-22	07:20:00	25.82	-25.84	7.44					
09-10-22	07:30:00	25.79	-25.41	7.43					
09-10-22	07:40:00	25.79	-25.64	7.43					
09-10-22	07:50:00	25.79	-25.52	7.43					
09-10-22	08:00:00	25.82	-25.45	7.43					
09-10-22	08:10:00	25.82	-25.61	7.43					
09-10-22	08:20:00	25.82	-25.52	7.43					
09-10-22	08:30:00	25.82	-25.77	7.43					
09-10-22	08:40:00	25.84	-26.16	7.44					
09-10-22	08:50:00	25.84	-26.27	7.44					
09-10-22	09:00:00	25.84	-26.27	7.44					
09-10-22	09:10:00	25.84	-26.30	7.44					
09-10-22	09:20:00	25.87	-26.39	7.44					
09-10-22	09:30:00	25.87	-26.30	7.44					
09-10-22	09:40:00	25.89	-26.28	7.44					
09-10-22	09:50:00	25.94	-26.45	7.45					
09-10-22	10:00:00	25.99	-26.36	7.44					
09-10-22	10:10:00	26.01	-26.36	7.44					
09-10-22	10:20:00	26.08	-27.16	7.46					
09-10-22	10:30:00	26.08	-27.05	7.46					
09-10-22	10:40:00	26.11	-27.36	7.46					
09-10-22	10:50:00	26.13	-27.72	7.47					
09-10-22	11:00:00	26.16	-28.13	7.47					
09-10-22	11:10:00	26.16	-28.02	7.47					
09-10-22	11:20:00	26.18	-28.94	7.49					
09-10-22	11:30:00	26.21	-29.08	7.49					
09-10-22	11:40:00	26.23	-29.58	7.50					
09-10-22	11:50:00	26.23	-29.81	7.50					
09-10-22	12:00:00	26.26	-29.80	7.50					
09-10-22	12:10:00	26.28	-30.00	7.50					
09-10-22	12:20:00	26.30	-30.22	7.51					
09-10-22	12:30:00	26.33	-29.89	7.50					
09-10-22	12:40:00	26.35	-30.34	7.51					
09-10-22	12:50:00	26.38	-30.56	7.51					
09-10-22	13:00:00	26.38	-30.33	7.51					
09-10-22	13:10:00	26.43	-30.83	7.52					
09-10-22	13:20:00	26.48	-31.08	7.52					
09-10-22	13:30:00	26.57	-31.88	7.54					
09-10-22	13:40:00	26.55	-31.97	7.54					
09-10-22	13:50:00	26.62	-32.56	7.55					
09-10-22	14:00:00	26.70	-32.45	7.55					
09-10-22	14:10:00	26.70	-32.05	7.54					
09-10-22	14:20:00	26.79	-32.67	7.55					
09-10-22	14:30:00	26.55	-32.08	7.54					
09-10-22	14:40:00	26.55	-32.19	7.54					
09-10-22	14:50:00	26.55	-32.31	7.54					
09-10-22	15:00:00	26.57	-31.69	7.53					
09-10-22	15:10:00	26.60	-31.91	7.54					
09-10-22	15:20:00	26.62	-31.88	7.54					
09-10-22	15:30:00	26.62	-31.94	7.54					
09-10-22	15:40:00	26.65	-31.97	7.54					
09-10-22	15:50:00	26.65	-31.92	7.54					
09-10-22	16:00:00	26.67	-31.67	7.53					
09-10-22	16:10:00	26.72	-31.83	7.53					
09-10-22	16:20:00	26.70	-31.94	7.54					
09-10-22	16:30:00	26.74	-31.77	7.53					
09-10-22	16:40:00	26.74	-31.50	7.53					
09-10-22	16:50:00	26.77	-31.97	7.54					
09-10-22	17:00:00	26.79	-31.77	7.53					
09-10-22	17:10:00	26.79	-31.80	7.53					
09-10-22	17:20:00	26.82	-31.67	7.53					
09-10-22	17:30:00	26.79	-31.59	7.53					
09-10-22	17:40:00	26.79	-31.45	7.53					
09-10-22	17:50:00	26.82	-31.20	7.52					
09-10-22	18:00:00	26.77	-31.06	7.52					
09-10-22	18:10:00	26.79	-30.78	7.52					
09-10-22	18:20:00	26.82	-30.59	7.51					
09-10-22	18:30:00	26.82	-30.70	7.52					
09-10-22	18:40:00	26.79	-30.39	7.51					
09-10-22	18:50:00	26.79	-30.42	7.51					
09-10-22	19:00:00	26.82	-30.38	7.51					
09-10-22	19:10:00	26.82	-30.49	7.51					
09-10-22	19:20:00	26.79	-30.41	7.51					
09-10-22	19:30:00	26.82	-30.00	7.50					
09-10-22	19:40:00	26.82	-30.61	7.51					
09-10-22	19:50:00	26.79	-30.33	7.51					
09-10-22	20:00:00	26.79	-30.02	7.50					
09-10-22	20:10:00	26.79	-29.74	7.50					
09-10-22	20:20:00	26.77	-29.99	7.50					
