#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,End of File
92,04/04/2024 16:10:00,24.65,-61.66,8.01,,,,
93,04/04/2024 16:20:00,24.63,-62.21,8.02,,,,
94,04/04/2024 16:30:00,24.51,-60.80,8.00,,,,
95,04/04/2024 16:40:00,24.53,-60.47,7.99,,,,
96,04/04/2024 16:50:00,24.53,-60.16,7.98,,,,
97,04/04/2024 17:00:00,24.51,-59.39,7.97,,,,
98,04/04/2024 17:10:00,24.53,-59.55,7.97,,,,
99,04/04/2024 17:20:00,24.51,-58.61,7.96,,,,
100,04/04/2024 17:30:00,24.51,-58.80,7.96,,,,
101,04/04/2024 17:40:00,24.51,-58.50,7.95,,,,
102,04/04/2024 17:50:00,24.46,-57.97,7.94,,,,
103,04/04/2024 18:00:00,24.41,-57.72,7.94,,,,
104,04/04/2024 18:10:00,24.39,-57.17,7.93,,,,
105,04/04/2024 18:20:00,24.32,-56.74,7.92,,,,
106,04/04/2024 18:30:00,24.32,-56.72,7.92,,,,
107,04/04/2024 18:40:00,24.27,-55.20,7.89,,,,
108,04/04/2024 18:50:00,24.22,-54.70,7.88,,,,
109,04/04/2024 19:00:00,24.19,-54.75,7.89,,,,
110,04/04/2024 19:10:00,24.12,-53.97,7.87,,,,
111,04/04/2024 19:20:00,24.07,-53.22,7.86,,,,
112,04/04/2024 19:30:00,24.07,-53.02,7.85,,,,
113,04/04/2024 19:40:00,24.03,-52.58,7.85,,,,
114,04/04/2024 19:50:00,24.03,-52.14,7.84,,,,
115,04/04/2024 20:00:00,23.93,-52.03,7.84,,,,
116,04/04/2024 20:10:00,23.93,-51.20,7.82,,,,
117,04/04/2024 20:20:00,23.91,-50.89,7.81,,,,
118,04/04/2024 20:30:00,23.88,-50.63,7.81,,,,
119,04/04/2024 20:40:00,23.81,-49.78,7.79,,,,
120,04/04/2024 20:50:00,23.81,-48.94,7.78,,,,
121,04/04/2024 21:00:00,23.79,-48.50,7.77,,,,
122,04/04/2024 21:10:00,23.76,-48.38,7.77,,,,
123,04/04/2024 21:20:00,23.66,-47.89,7.76,,,,
124,04/04/2024 21:30:00,23.64,-47.11,7.75,,,,
125,04/04/2024 21:40:00,23.59,-46.89,7.74,,,,
126,04/04/2024 21:50:00,23.57,-46.38,7.73,,,,
127,04/04/2024 22:00:00,23.52,-45.81,7.72,,,,
128,04/04/2024 22:10:00,23.47,-45.42,7.71,,,,
129,04/04/2024 22:20:00,23.42,-45.02,7.71,,,,
130,04/04/2024 22:30:00,23.38,-45.11,7.71,,,,
131,04/04/2024 22:40:00,23.35,-44.56,7.70,,,,
132,04/04/2024 22:50:00,23.33,-44.20,7.69,,,,
133,04/04/2024 23:00:00,23.30,-43.92,7.69,,,,
134,04/04/2024 23:10:00,23.28,-43.63,7.68,,,,
135,04/04/2024 23:20:00,23.23,-42.95,7.67,,,,
136,04/04/2024 23:30:00,23.21,-42.45,7.66,,,,
137,04/04/2024 23:40:00,23.18,-42.00,7.65,,,,
138,04/04/2024 23:50:00,23.16,-41.74,7.65,,,,
139,04/05/2024 00:00:00,23.14,-41.31,7.64,,,,
140,04/05/2024 00:10:00,23.11,-41.52,7.64,,,,
141,04/05/2024 00:20:00,23.09,-41.16,7.64,,,,
142,04/05/2024 00:30:00,23.09,-40.75,7.63,,,,
143,04/05/2024 00:40:00,23.06,-40.53,7.62,,,,
144,04/05/2024 00:50:00,23.04,-40.33,7.62,,,,
145,04/05/2024 01:00:00,22.99,-40.00,7.61,,,,
146,04/05/2024 01:10:00,22.99,-39.63,7.61,,,,
147,04/05/2024 01:20:00,22.99,-39.24,7.60,,,,
148,04/05/2024 01:30:00,22.94,-39.05,7.60,,,,
149,04/05/2024 01:40:00,22.94,-38.74,7.59,,,,
150,04/05/2024 01:50:00,22.92,-38.44,7.59,,,,
151,04/05/2024 02:00:00,22.92,-38.13,7.58,,,,
152,04/05/2024 02:10:00,22.90,-37.83,7.57,,,,
153,04/05/2024 02:20:00,22.85,-37.69,7.57,,,,
154,04/05/2024 02:30:00,22.82,-37.42,7.57,,,,
155,04/05/2024 02:40:00,22.82,-37.09,7.56,,,,
156,04/05/2024 02:50:00,22.80,-36.78,7.55,,,,
157,04/05/2024 03:00:00,22.78,-36.47,7.55,,,,
158,04/05/2024 03:10:00,22.78,-36.24,7.54,,,,
159,04/05/2024 03:20:00,22.75,-36.16,7.54,,,,
160,04/05/2024 03:30:00,22.73,-36.02,7.54,,,,
161,04/05/2024 03:40:00,22.70,-35.80,7.54,,,,
162,04/05/2024 03:50:00,22.70,-35.59,7.53,,,,
163,04/05/2024 04:00:00,22.68,-35.42,7.53,,,,
164,04/05/2024 04:10:00,22.66,-35.24,7.53,,,,
165,04/05/2024 04:20:00,22.66,-34.99,7.52,,,,
166,04/05/2024 04:30:00,22.66,-34.84,7.52,,,,
167,04/05/2024 04:40:00,22.63,-34.75,7.52,,,,
168,04/05/2024 04:50:00,22.61,-34.56,7.51,,,,
169,04/05/2024 05:00:00,22.58,-34.47,7.51,,,,
170,04/05/2024 05:10:00,22.56,-34.22,7.51,,,,
171,04/05/2024 05:20:00,22.56,-34.05,7.50,,,,
172,04/05/2024 05:30:00,22.54,-33.84,7.50,,,,
173,04/05/2024 05:40:00,22.51,-33.81,7.50,,,,
174,04/05/2024 05:50:00,22.47,-33.80,7.50,,,,
175,04/05/2024 06:00:00,22.47,-33.42,7.49,,,,
176,04/05/2024 06:10:00,22.44,-33.28,7.49,,,,
177,04/05/2024 06:20:00,22.39,-33.09,7.49,,,,
178,04/05/2024 06:30:00,22.37,-32.95,7.48,,,,
179,04/05/2024 06:40:00,22.37,-32.89,7.48,,,,
180,04/05/2024 06:50:00,22.37,-32.67,7.48,,,,
181,04/05/2024 07:00:00,22.35,-32.67,7.48,,,,
182,04/05/2024 07:10:00,22.32,-32.70,7.48,,,,
183,04/05/2024 07:20:00,22.32,-32.59,7.48,,,,
184,04/05/2024 07:30:00,22.30,-32.72,7.48,,,,
185,04/05/2024 07:40:00,22.30,-32.67,7.48,,,,
186,04/05/2024 07:50:00,22.30,-32.63,7.48,,,,
187,04/05/2024 08:00:00,22.27,-32.78,7.48,,,,
188,04/05/2024 08:10:00,22.30,-32.97,7.48,,,,
189,04/05/2024 08:20:00,22.32,-32.99,7.48,,,,
190,04/05/2024 08:30:00,22.32,-33.20,7.49,,,,
191,04/05/2024 08:40:00,22.35,-33.16,7.49,,,,
192,04/05/2024 08:50:00,22.37,-33.41,7.49,,,,
193,04/05/2024 09:00:00,22.39,-33.88,7.50,,,,
194,04/05/2024 09:10:00,22.44,-34.13,7.51,,,,
195,04/05/2024 09:20:00,22.47,-34.67,7.52,,,,
196,04/05/2024 09:30:00,22.51,-35.11,7.52,,,,
197,04/05/2024 09:40:00,22.58,-35.42,7.53,,,,
198,04/05/2024 09:50:00,22.61,-36.02,7.54,,,,
199,04/05/2024 10:00:00,22.66,-37.03,7.56,,,,
200,04/05/2024 10:10:00,22.75,-38.66,7.59,,,,
201,04/05/2024 10:20:00,22.80,-39.49,7.61,,,,
202,04/05/2024 10:30:00,23.04,-43.24,7.67,,,,
203,04/05/2024 10:40:00,23.16,-42.60,7.66,,,,
204,04/05/2024 10:50:00,23.21,-44.03,7.69,,,,
205,04/05/2024 11:00:00,23.33,-43.89,7.69,,,,
206,04/05/2024 11:10:00,23.52,-45.45,7.71,,,,
207,04/05/2024 11:20:00,23.47,-44.39,7.69,,,,
208,04/05/2024 11:30:00,23.42,-43.27,7.67,,,,
209,04/05/2024 11:40:00,23.52,-45.24,7.71,,,,
210,04/05/2024 11:50:00,23.45,-43.83,7.68,,,,
211,04/05/2024 12:00:00,23.45,-44.31,7.69,,,,
212,04/05/2024 12:10:00,23.50,-46.70,7.74,,,,
213,04/05/2024 12:20:00,23.50,-47.52,7.75,,,,
214,04/05/2024 12:30:00,23.57,-50.52,7.81,,,,
215,04/05/2024 12:40:00,23.64,-51.00,7.82,,,,
216,04/05/2024 12:50:00,23.74,-53.49,7.86,,,,
217,04/05/2024 13:00:00,23.81,-55.52,7.90,,,,
218,04/05/2024 13:10:00,23.76,-55.55,7.90,,,,
219,04/05/2024 13:20:00,23.93,-56.83,7.92,,,,
220,04/05/2024 13:30:00,24.00,-61.85,8.02,,,,
221,04/05/2024 13:40:00,24.00,-61.38,8.01,,,,
222,04/05/2024 13:50:00,24.03,-63.60,8.05,,,,
223,04/05/2024 14:00:00,24.05,-62.91,8.04,,,,
224,04/05/2024 14:10:00,24.10,-63.14,8.04,,,,
225,04/05/2024 14:20:00,24.12,-62.86,8.04,,,,
226,04/05/2024 14:30:00,24.05,-59.60,7.98,,,,
227,04/05/2024 14:40:00,24.12,-58.70,7.96,,,,
228,04/05/2024 14:50:00,24.22,-57.88,7.94,,,,
229,04/05/2024 15:00:00,24.32,-59.27,7.97,,,,
230,04/05/2024 15:10:00,24.32,-60.72,8.00,,,,
231,04/05/2024 15:20:00,24.29,-60.95,8.00,,,,
232,04/05/2024 15:30:00,24.34,-62.19,8.02,,,,
233,04/05/2024 15:40:00,24.27,-62.77,8.03,,,,
234,04/05/2024 15:50:00,24.32,-63.06,8.04,,,,
235,04/05/2024 16:00:00,24.29,-63.71,8.05,,,,
236,04/05/2024 16:10:00,24.32,-63.63,8.05,,,,
237,04/05/2024 16:20:00,24.24,-62.03,8.02,,,,
238,04/05/2024 16:30:00,24.24,-62.53,8.03,,,,
239,04/05/2024 16:40:00,24.27,-63.71,8.05,,,,
240,04/05/2024 16:50:00,24.27,-62.71,8.03,,,,
241,04/05/2024 17:00:00,24.19,-61.31,8.01,,,,
242,04/05/2024 17:10:00,24.17,-61.46,8.01,,,,
243,04/05/2024 17:20:00,24.17,-61.19,8.00,,,,
244,04/05/2024 17:30:00,24.12,-60.70,8.00,,,,
245,04/05/2024 17:40:00,24.10,-59.75,7.98,,,,
246,04/05/2024 17:50:00,24.10,-59.24,7.97,,,,
247,04/05/2024 18:00:00,24.05,-58.33,7.95,,,,
248,04/05/2024 18:10:00,24.03,-58.06,7.95,,,,
249,04/05/2024 18:20:00,24.00,-57.58,7.94,,,,
250,04/05/2024 18:30:00,23.95,-56.95,7.93,,,,
251,04/05/2024 18:40:00,23.95,-56.28,7.91,,,,
252,04/05/2024 18:50:00,23.88,-55.97,7.91,,,,
253,04/05/2024 19:00:00,23.86,-55.30,7.90,,,,
254,04/05/2024 19:10:00,23.81,-54.78,7.89,,,,
255,04/05/2024 19:20:00,23.76,-53.81,7.87,,,,
256,04/05/2024 19:30:00,23.71,-53.20,7.86,,,,
257,04/05/2024 19:40:00,23.71,-53.03,7.85,,,,
258,04/05/2024 19:50:00,23.71,-52.35,7.84,,,,
259,04/05/2024 20:00:00,23.66,-51.88,7.83,,,,
260,04/05/2024 20:10:00,23.62,-51.94,7.83,,,,
261,04/05/2024 20:20:00,23.59,-51.28,7.82,,,,
262,04/05/2024 20:30:00,23.54,-50.53,7.81,,,,
263,04/05/2024 20:40:00,23.52,-49.74,7.79,,,,
264,04/05/2024 20:50:00,23.52,-49.22,7.78,,,,
265,04/05/2024 21:00:00,23.47,-48.92,7.78,,,,
266,04/05/2024 21:10:00,23.45,-48.60,7.77,,,,
267,04/05/2024 21:20:00,23.40,-48.05,7.76,,,,
268,04/05/2024 21:30:00,23.38,-47.39,7.75,,,,
269,04/05/2024 21:40:00,23.35,-47.16,7.75,,,,
270,04/05/2024 21:50:00,23.30,-46.69,7.74,,,,
271,04/05/2024 22:00:00,23.28,-46.00,7.73,,,,
272,04/05/2024 22:10:00,23.21,-45.69,7.72,,,,
273,04/05/2024 22:20:00,23.23,-45.25,7.71,,,,
274,04/05/2024 22:30:00,23.18,-44.89,7.70,,,,
275,04/05/2024 22:40:00,23.14,-44.56,7.70,,,,
276,04/05/2024 22:50:00,23.09,-44.03,7.69,,,,
277,04/05/2024 23:00:00,23.06,-43.61,7.68,,,,
278,04/05/2024 23:10:00,23.02,-43.39,7.68,,,,
279,04/05/2024 23:20:00,23.02,-42.63,7.66,,,,
280,04/05/2024 23:30:00,22.97,-42.41,7.66,,,,
281,04/05/2024 23:40:00,22.92,-41.94,7.65,,,,
282,04/05/2024 23:50:00,22.92,-41.63,7.64,,,,
283,04/06/2024 00:00:00,22.92,-41.20,7.64,,,,
284,04/06/2024 00:10:00,22.90,-40.97,7.63,,,,
285,04/06/2024 00:20:00,22.87,-40.58,7.63,,,,
286,04/06/2024 00:30:00,22.85,-40.47,7.62,,,,
287,04/06/2024 00:40:00,22.80,-40.41,7.62,,,,
288,04/06/2024 00:50:00,22.78,-40.22,7.62,,,,
289,04/06/2024 01:00:00,22.78,-39.83,7.61,,,,
290,04/06/2024 01:10:00,22.75,-39.55,7.61,,,,
291,04/06/2024 01:20:00,22.73,-39.22,7.60,,,,
292,04/06/2024 01:30:00,22.68,-39.17,7.60,,,,
293,04/06/2024 01:40:00,22.68,-38.86,7.59,,,,
294,04/06/2024 01:50:00,22.66,-38.67,7.59,,,,
295,04/06/2024 02:00:00,22.63,-38.52,7.59,,,,
296,04/06/2024 02:10:00,22.61,-38.08,7.58,,,,
297,04/06/2024 02:20:00,22.58,-38.05,7.58,,,,
298,04/06/2024 02:30:00,22.56,-37.72,7.57,,,,
299,04/06/2024 02:40:00,22.56,-37.55,7.57,,,,
300,04/06/2024 02:50:00,22.54,-37.55,7.57,,,,
301,04/06/2024 03:00:00,22.51,-37.31,7.57,,,,
302,04/06/2024 03:10:00,22.51,-36.97,7.56,,,,
303,04/06/2024 03:20:00,22.51,-36.77,7.56,,,,
304,04/06/2024 03:30:00,22.47,-36.55,7.55,,,,
305,04/06/2024 03:40:00,22.44,-36.05,7.54,,,,
306,04/06/2024 03:50:00,22.44,-36.08,7.54,,,,
307,04/06/2024 04:00:00,22.42,-36.00,7.54,,,,
308,04/06/2024 04:10:00,22.39,-35.59,7.53,,,,
309,04/06/2024 04:20:00,22.37,-35.75,7.54,,,,
310,04/06/2024 04:30:00,22.37,-35.31,7.53,,,,
311,04/06/2024 04:40:00,22.35,-34.94,7.52,,,,
312,04/06/2024 04:50:00,22.32,-35.03,7.52,,,,
313,04/06/2024 05:00:00,22.30,-35.03,7.52,,,,
314,04/06/2024 05:10:00,22.27,-34.92,7.52,,,,
315,04/06/2024 05:20:00,22.27,-34.72,7.52,,,,
316,04/06/2024 05:30:00,22.23,-34.67,7.52,,,,
317,04/06/2024 05:40:00,22.23,-34.45,7.51,,,,
318,04/06/2024 05:50:00,22.20,-34.24,7.51,,,,
319,04/06/2024 06:00:00,22.18,-34.06,7.51,,,,
320,04/06/2024 06:10:00,22.15,-33.81,7.50,,,,
321,04/06/2024 06:20:00,22.13,-33.67,7.50,,,,
322,04/06/2024 06:30:00,22.13,-33.50,7.49,,,,
323,04/06/2024 06:40:00,22.13,-33.28,7.49,,,,
324,04/06/2024 06:50:00,22.11,-33.11,7.49,,,,
325,04/06/2024 07:00:00,22.08,-33.03,7.49,,,,
326,04/06/2024 07:10:00,22.06,-32.99,7.49,,,,
327,04/06/2024 07:20:00,22.06,-32.75,7.48,,,,
328,04/06/2024 07:30:00,22.06,-32.74,7.48,,,,
329,04/06/2024 07:40:00,22.03,-32.63,7.48,,,,
330,04/06/2024 07:50:00,22.01,-32.49,7.48,,,,
331,04/06/2024 08:00:00,22.03,-32.81,7.48,,,,
332,04/06/2024 08:10:00,22.03,-32.95,7.48,,,,
333,04/06/2024 08:20:00,22.01,-32.92,7.48,,,,
334,04/06/2024 08:30:00,22.03,-33.13,7.49,,,,
335,04/06/2024 08:40:00,22.06,-33.63,7.50,,,,
336,04/06/2024 08:50:00,22.08,-33.52,7.50,,,,
337,04/06/2024 09:00:00,22.08,-33.53,7.50,,,,
338,04/06/2024 09:10:00,22.15,-34.02,7.50,,,,
339,04/06/2024 09:20:00,22.23,-34.53,7.51,,,,
340,04/06/2024 09:30:00,22.27,-34.91,7.52,,,,
341,04/06/2024 09:40:00,22.39,-36.63,7.55,,,,
342,04/06/2024 09:50:00,22.47,-35.89,7.54,,,,
343,04/06/2024 10:00:00,22.70,-37.55,7.57,,,,
344,04/06/2024 10:10:00,22.78,-39.74,7.61,,,,
345,04/06/2024 10:20:00,22.99,-43.58,7.68,,,,
346,04/06/2024 10:30:00,23.11,-45.56,7.72,,,,
347,04/06/2024 10:40:00,23.23,-45.69,7.72,,,,
348,04/06/2024 10:50:00,23.38,-48.64,7.77,,,,
349,04/06/2024 11:00:00,23.45,-48.63,7.77,,,,
350,04/06/2024 11:10:00,23.59,-51.31,7.82,,,,
351,04/06/2024 11:20:00,23.57,-49.25,7.78,,,,
352,04/06/2024 11:30:00,23.93,-52.44,7.84,,,,
353,04/06/2024 11:40:00,24.07,-53.66,7.87,,,,
354,04/06/2024 11:50:00,24.17,-54.91,7.89,,,,
355,04/06/2024 12:00:00,24.15,-55.31,7.90,,,,
356,04/06/2024 12:10:00,24.27,-57.45,7.94,,,,
357,04/06/2024 12:20:00,24.29,-57.75,7.94,,,,
358,04/06/2024 12:30:00,24.36,-58.06,7.95,,,,
359,04/06/2024 12:40:00,24.44,-59.78,7.98,,,,
360,04/06/2024 12:50:00,24.48,-58.49,7.95,,,,
361,04/06/2024 13:00:00,24.53,-60.88,8.00,,,,
362,04/06/2024 13:10:00,24.51,-57.11,7.93,,,,
363,04/06/2024 13:20:00,24.48,-58.81,7.96,,,,
364,04/06/2024 13:30:00,24.51,-64.11,8.06,,,,
365,04/06/2024 13:40:00,24.48,-64.96,8.07,,,,
366,04/06/2024 13:50:00,24.51,-62.55,8.03,,,,
367,04/06/2024 14:00:00,24.48,-59.24,7.97,,,,
368,04/06/2024 14:10:00,24.48,-59.41,7.97,,,,
369,04/06/2024 14:20:00,24.41,-60.53,7.99,,,,
370,04/06/2024 14:30:00,24.39,-58.78,7.96,,,,
371,04/06/2024 14:40:00,24.36,-58.11,7.95,,,,
372,04/06/2024 14:50:00,24.36,-57.63,7.94,,,,
373,04/06/2024 15:00:00,24.34,-58.58,7.96,,,,
374,04/06/2024 15:10:00,24.32,-59.05,7.96,,,,
375,04/06/2024 15:20:00,24.34,-58.91,7.96,,,,
376,04/06/2024 15:30:00,24.32,-58.35,7.95,,,,
377,04/06/2024 15:40:00,24.29,-58.44,7.95,,,,
378,04/06/2024 15:50:00,24.27,-58.13,7.95,,,,
379,04/06/2024 16:00:00,24.27,-58.28,7.95,,,,
380,04/06/2024 16:10:00,24.22,-57.66,7.94,,,,
381,04/06/2024 16:20:00,24.22,-57.95,7.94,,,,
382,04/06/2024 16:30:00,24.19,-57.83,7.94,,,,
383,04/06/2024 16:40:00,24.17,-57.49,7.94,,,,
384,04/06/2024 16:50:00,24.22,-57.99,7.95,,,,
385,04/06/2024 17:00:00,24.17,-57.58,7.94,,,,
386,04/06/2024 17:10:00,24.19,-57.75,7.94,,,,
387,04/06/2024 17:20:00,24.19,-58.19,7.95,,,,
388,04/06/2024 17:30:00,24.10,-57.75,7.94,,,,
389,04/06/2024 17:40:00,24.05,-56.63,7.92,,,,
390,04/06/2024 17:50:00,24.05,-55.88,7.91,,,,
391,04/06/2024 18:00:00,24.05,-56.55,7.92,,,,
392,04/06/2024 18:10:00,23.98,-55.67,7.90,,,,
393,04/06/2024 18:20:00,23.98,-55.50,7.90,,,,
394,04/06/2024 18:30:00,23.93,-55.67,7.90,,,,
395,04/06/2024 18:40:00,23.91,-54.97,7.89,,,,
396,04/06/2024 18:50:00,23.86,-54.60,7.88,,,,
397,04/06/2024 19:00:00,23.81,-53.28,7.86,,,,
398,04/06/2024 19:10:00,23.79,-51.77,7.83,,,,
399,04/06/2024 19:20:00,23.74,-52.11,7.84,,,,
400,04/06/2024 19:30:00,23.66,-51.41,7.82,,,,
401,04/06/2024 19:40:00,23.66,-50.77,7.81,,,,
402,04/06/2024 19:50:00,23.64,-50.14,7.80,,,,
403,04/06/2024 20:00:00,23.62,-50.02,7.80,,,,
404,04/06/2024 20:10:00,23.57,-49.39,7.79,,,,
405,04/06/2024 20:20:00,23.54,-48.99,7.78,,,,
406,04/06/2024 20:30:00,23.52,-48.66,7.77,,,,
407,04/06/2024 20:40:00,23.50,-48.30,7.77,,,,
408,04/06/2024 20:50:00,23.45,-47.67,7.76,,,,
409,04/06/2024 21:00:00,23.42,-47.36,7.75,,,,
410,04/06/2024 21:10:00,23.38,-46.74,7.74,,,,
411,04/06/2024 21:20:00,23.35,-46.19,7.73,,,,
412,04/06/2024 21:30:00,23.30,-45.67,7.72,,,,
413,04/06/2024 21:40:00,23.30,-45.14,7.71,,,,
414,04/06/2024 21:50:00,23.26,-44.63,7.70,,,,
415,04/06/2024 22:00:00,23.23,-44.49,7.70,,,,
416,04/06/2024 22:10:00,23.18,-44.16,7.69,,,,
417,04/06/2024 22:20:00,23.14,-43.41,7.68,,,,
418,04/06/2024 22:30:00,23.11,-43.00,7.67,,,,
419,04/06/2024 22:40:00,23.11,-42.78,7.67,,,,
420,04/06/2024 22:50:00,23.06,-42.45,7.66,,,,
421,04/06/2024 23:00:00,23.06,-42.08,7.65,,,,
422,04/06/2024 23:10:00,23.02,-41.85,7.65,,,,
423,04/06/2024 23:20:00,22.97,-41.56,7.64,,,,
424,04/06/2024 23:30:00,22.97,-41.13,7.64,,,,
425,04/06/2024 23:40:00,22.92,-40.97,7.63,,,,
426,04/06/2024 23:50:00,22.90,-40.64,7.63,,,,
427,04/07/2024 00:00:00,22.87,-40.50,7.62,,,,
428,04/07/2024 00:10:00,22.85,-40.27,7.62,,,,
429,04/07/2024 00:20:00,22.80,-40.13,7.62,,,,
430,04/07/2024 00:30:00,22.80,-39.94,7.61,,,,
431,04/07/2024 00:40:00,22.78,-39.64,7.61,,,,
432,04/07/2024 00:50:00,22.75,-39.19,7.60,,,,
433,04/07/2024 01:00:00,22.75,-38.78,7.59,,,,
434,04/07/2024 01:10:00,22.70,-38.89,7.59,,,,
435,04/07/2024 01:20:00,22.70,-38.41,7.59,,,,
