#,Date-Time (HST),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
89,02/01/2024 15:40:00,24.56,-18.06,7.40,,,,,
90,02/01/2024 15:50:00,24.53,-18.00,7.40,,,,,
91,02/01/2024 16:00:00,24.53,-17.92,7.40,,,,,
92,02/01/2024 16:10:00,24.53,-17.80,7.40,,,,,
93,02/01/2024 16:20:00,24.53,-17.70,7.39,,,,,
94,02/01/2024 16:30:00,24.56,-17.61,7.39,,,,,
95,02/01/2024 16:40:00,24.56,-17.52,7.39,,,,,
96,02/01/2024 16:50:00,24.56,-17.45,7.39,,,,,
97,02/01/2024 17:00:00,24.56,-17.33,7.39,,,,,
98,02/01/2024 17:10:00,24.56,-17.25,7.39,,,,,
99,02/01/2024 17:20:00,24.53,-17.14,7.38,,,,,
100,02/01/2024 17:30:00,24.53,-17.05,7.38,,,,,
101,02/01/2024 17:40:00,24.53,-16.95,7.38,,,,,
102,02/01/2024 17:50:00,24.53,-16.84,7.38,,,,,
103,02/01/2024 18:00:00,24.53,-16.72,7.38,,,,,
104,02/01/2024 18:10:00,24.53,-16.61,7.37,,,,,
105,02/01/2024 18:20:00,24.51,-16.55,7.37,,,,,
106,02/01/2024 18:30:00,24.51,-16.47,7.37,,,,,
107,02/01/2024 18:40:00,24.51,-16.33,7.37,,,,,
108,02/01/2024 18:50:00,24.48,-16.22,7.37,,,,,
109,02/01/2024 19:00:00,24.48,-16.13,7.37,,,,,
110,02/01/2024 19:10:00,24.46,-16.00,7.36,,,,,
111,02/01/2024 19:20:00,24.44,-15.91,7.36,,,,,
112,02/01/2024 19:30:00,24.44,-15.80,7.36,,,,,
113,02/01/2024 19:40:00,24.41,-15.69,7.36,,,,,
114,02/01/2024 19:50:00,24.41,-15.55,7.35,,,,,
115,02/01/2024 20:00:00,24.39,-15.38,7.35,,,,,
116,02/01/2024 20:10:00,24.39,-15.28,7.35,,,,,
117,02/01/2024 20:20:00,24.36,-15.13,7.35,,,,,
118,02/01/2024 20:30:00,24.34,-15.00,7.34,,,,,
119,02/01/2024 20:40:00,24.34,-14.91,7.34,,,,,
120,02/01/2024 20:50:00,24.32,-14.73,7.34,,,,,
121,02/01/2024 21:00:00,24.32,-14.64,7.34,,,,,
122,02/01/2024 21:10:00,24.29,-14.48,7.34,,,,,
123,02/01/2024 21:20:00,24.29,-14.27,7.33,,,,,
124,02/01/2024 21:30:00,24.27,-14.09,7.33,,,,,
125,02/01/2024 21:40:00,24.24,-13.92,7.32,,,,,
126,02/01/2024 21:50:00,24.24,-13.72,7.32,,,,,
127,02/01/2024 22:00:00,24.22,-13.56,7.32,,,,,
128,02/01/2024 22:10:00,24.22,-13.36,7.31,,,,,
129,02/01/2024 22:20:00,24.19,-13.19,7.31,,,,,
130,02/01/2024 22:30:00,24.17,-13.00,7.31,,,,,
131,02/01/2024 22:40:00,24.17,-12.83,7.30,,,,,
132,02/01/2024 22:50:00,24.15,-12.73,7.30,,,,,
133,02/01/2024 23:00:00,24.15,-12.58,7.30,,,,,
134,02/01/2024 23:10:00,24.12,-12.48,7.30,,,,,
135,02/01/2024 23:20:00,24.10,-12.41,7.30,,,,,
136,02/01/2024 23:30:00,24.07,-12.34,7.30,,,,,
137,02/01/2024 23:40:00,24.05,-12.17,7.29,,,,,
138,02/01/2024 23:50:00,24.03,-12.09,7.29,,,,,
139,02/02/2024 00:00:00,24.00,-12.00,7.29,,,,,
140,02/02/2024 00:10:00,24.00,-11.97,7.29,,,,,
141,02/02/2024 00:20:00,23.98,-11.86,7.29,,,,,
142,02/02/2024 00:30:00,23.95,-11.75,7.29,,,,,
143,02/02/2024 00:40:00,23.93,-11.73,7.28,,,,,
144,02/02/2024 00:50:00,23.93,-11.67,7.28,,,,,
145,02/02/2024 01:00:00,23.91,-11.64,7.28,,,,,
146,02/02/2024 01:10:00,23.88,-11.59,7.28,,,,,
147,02/02/2024 01:20:00,23.88,-11.61,7.28,,,,,
148,02/02/2024 01:30:00,23.86,-11.63,7.28,,,,,
149,02/02/2024 01:40:00,23.83,-11.61,7.28,,,,,
150,02/02/2024 01:50:00,23.81,-11.64,7.28,,,,,
151,02/02/2024 02:00:00,23.81,-11.64,7.28,,,,,
152,02/02/2024 02:10:00,23.79,-11.70,7.28,,,,,
153,02/02/2024 02:20:00,23.76,-11.69,7.28,,,,,
154,02/02/2024 02:30:00,23.74,-11.66,7.28,,,,,
155,02/02/2024 02:40:00,23.74,-11.69,7.28,,,,,
156,02/02/2024 02:50:00,23.71,-11.56,7.28,,,,,
157,02/02/2024 03:00:00,23.69,-11.56,7.28,,,,,
158,02/02/2024 03:10:00,23.66,-11.55,7.28,,,,,
159,02/02/2024 03:20:00,23.66,-11.52,7.28,,,,,
160,02/02/2024 03:30:00,23.64,-11.41,7.28,,,,,
161,02/02/2024 03:40:00,23.62,-11.42,7.28,,,,,
162,02/02/2024 03:50:00,23.62,-11.31,7.28,,,,,
163,02/02/2024 04:00:00,23.59,-11.28,7.28,,,,,
164,02/02/2024 04:10:00,23.57,-11.22,7.28,,,,,
165,02/02/2024 04:20:00,23.57,-11.22,7.28,,,,,
166,02/02/2024 04:30:00,23.54,-11.19,7.28,,,,,
167,02/02/2024 04:40:00,23.52,-11.13,7.27,,,,,
168,02/02/2024 04:50:00,23.50,-11.11,7.27,,,,,
169,02/02/2024 05:00:00,23.50,-11.08,7.27,,,,,
170,02/02/2024 05:10:00,23.47,-11.00,7.27,,,,,
171,02/02/2024 05:20:00,23.45,-10.97,7.27,,,,,
172,02/02/2024 05:30:00,23.42,-11.08,7.27,,,,,
173,02/02/2024 05:40:00,23.40,-11.08,7.27,,,,,
174,02/02/2024 05:50:00,23.35,-11.05,7.27,,,,,
175,02/02/2024 06:00:00,23.33,-11.00,7.27,,,,,
176,02/02/2024 06:10:00,23.33,-10.98,7.27,,,,,
177,02/02/2024 06:20:00,23.30,-10.98,7.27,,,,,
178,02/02/2024 06:30:00,23.28,-10.97,7.27,,,,,
179,02/02/2024 06:40:00,23.26,-10.97,7.27,,,,,
180,02/02/2024 06:50:00,23.23,-10.95,7.27,,,,,
181,02/02/2024 07:00:00,23.23,-10.94,7.27,,,,,
182,02/02/2024 07:10:00,23.21,-10.91,7.27,,,,,
183,02/02/2024 07:20:00,23.18,-10.88,7.27,,,,,
184,02/02/2024 07:30:00,23.16,-10.89,7.27,,,,,
185,02/02/2024 07:40:00,23.14,-10.92,7.27,,,,,
186,02/02/2024 07:50:00,23.11,-10.92,7.27,,,,,
187,02/02/2024 08:00:00,23.06,-10.89,7.27,,,,,
188,02/02/2024 08:10:00,23.06,-10.84,7.27,,,,,
189,02/02/2024 08:20:00,23.04,-10.80,7.27,,,,,
190,02/02/2024 08:30:00,23.02,-10.77,7.27,,,,,
191,02/02/2024 08:40:00,22.99,-10.75,7.27,,,,,
192,02/02/2024 08:50:00,22.97,-10.78,7.27,,,,,
193,02/02/2024 09:00:00,22.94,-10.78,7.27,,,,,
194,02/02/2024 09:10:00,22.92,-10.78,7.27,,,,,
195,02/02/2024 09:20:00,22.92,-10.78,7.27,,,,,
196,02/02/2024 09:30:00,22.90,-10.78,7.27,,,,,
197,02/02/2024 09:40:00,22.90,-10.77,7.27,,,,,
198,02/02/2024 09:50:00,22.87,-10.81,7.27,,,,,
199,02/02/2024 10:00:00,22.90,-10.81,7.27,,,,,
200,02/02/2024 10:10:00,22.92,-10.84,7.27,,,,,
201,02/02/2024 10:20:00,22.99,-10.88,7.27,,,,,
202,02/02/2024 10:30:00,23.02,-10.88,7.27,,,,,
203,02/02/2024 10:40:00,23.06,-10.89,7.27,,,,,
204,02/02/2024 10:50:00,23.14,-10.92,7.27,,,,,
205,02/02/2024 11:00:00,23.18,-10.92,7.27,,,,,
206,02/02/2024 11:10:00,23.18,-10.95,7.27,,,,,
207,02/02/2024 11:20:00,23.23,-10.97,7.27,,,,,
208,02/02/2024 11:30:00,23.28,-10.94,7.27,,,,,
209,02/02/2024 11:40:00,23.30,-10.92,7.27,,,,,
210,02/02/2024 11:50:00,23.30,-10.97,7.27,,,,,
211,02/02/2024 12:00:00,23.35,-11.00,7.27,,,,,
212,02/02/2024 12:10:00,23.40,-10.98,7.27,,,,,
213,02/02/2024 12:20:00,23.45,-11.67,7.28,,,,,
214,02/02/2024 12:30:00,23.45,-11.86,7.29,,,,,
215,02/02/2024 12:40:00,23.45,-12.36,7.30,,,,,
216,02/02/2024 12:50:00,23.45,-19.58,7.43,,,,,
217,02/02/2024 13:00:00,23.47,-16.03,7.36,,,,,
218,02/02/2024 13:10:00,23.50,-15.39,7.35,,,,,
219,02/02/2024 13:20:00,23.57,-14.89,7.34,,,,,
220,02/02/2024 13:30:00,23.59,-14.48,7.34,,,,,
221,02/02/2024 13:40:00,23.59,-14.39,7.33,,,,,
222,02/02/2024 13:50:00,23.59,-14.41,7.33,,,,,
223,02/02/2024 14:00:00,23.59,-14.44,7.34,,,,,
224,02/02/2024 14:10:00,23.62,-14.50,7.34,,,,,
225,02/02/2024 14:20:00,23.66,-14.42,7.33,,,,,
226,02/02/2024 14:30:00,23.69,-14.28,7.33,,,,,
227,02/02/2024 14:40:00,23.69,-14.11,7.33,,,,,
228,02/02/2024 14:50:00,23.69,-14.08,7.33,,,,,
229,02/02/2024 15:00:00,23.69,-13.97,7.33,,,,,
230,02/02/2024 15:10:00,23.69,-13.92,7.33,,,,,
231,02/02/2024 15:20:00,23.69,-13.84,7.32,,,,,
232,02/02/2024 15:30:00,23.66,-13.81,7.32,,,,,
233,02/02/2024 15:40:00,23.64,-13.70,7.32,,,,,
234,02/02/2024 15:50:00,23.62,-13.61,7.32,,,,,
235,02/02/2024 16:00:00,23.62,-13.50,7.32,,,,,
236,02/02/2024 16:10:00,23.59,-13.36,7.32,,,,,
237,02/02/2024 16:20:00,23.59,-13.25,7.31,,,,,
238,02/02/2024 16:30:00,23.59,-13.23,7.31,,,,,
239,02/02/2024 16:40:00,23.57,-13.27,7.31,,,,,
240,02/02/2024 16:50:00,23.57,-13.25,7.31,,,,,
241,02/02/2024 17:00:00,23.54,-13.19,7.31,,,,,
242,02/02/2024 17:10:00,23.54,-13.14,7.31,,,,,
243,02/02/2024 17:20:00,23.52,-13.05,7.31,,,,,
244,02/02/2024 17:30:00,23.50,-12.88,7.31,,,,,
245,02/02/2024 17:40:00,23.47,-12.75,7.30,,,,,
246,02/02/2024 17:50:00,23.45,-12.67,7.30,,,,,
247,02/02/2024 18:00:00,23.42,-12.55,7.30,,,,,
248,02/02/2024 18:10:00,23.40,-12.44,7.30,,,,,
249,02/02/2024 18:20:00,23.38,-12.30,7.30,,,,,
250,02/02/2024 18:30:00,23.35,-12.16,7.29,,,,,
251,02/02/2024 18:40:00,23.33,-12.02,7.29,,,,,
252,02/02/2024 18:50:00,23.28,-11.84,7.29,,,,,
253,02/02/2024 19:00:00,23.23,-11.72,7.29,,,,,
254,02/02/2024 19:10:00,23.21,-11.67,7.28,,,,,
255,02/02/2024 19:20:00,23.16,-11.58,7.28,,,,,
256,02/02/2024 19:30:00,23.14,-11.48,7.28,,,,,
257,02/02/2024 19:40:00,23.09,-11.41,7.28,,,,,
258,02/02/2024 19:50:00,23.04,-11.36,7.28,,,,,
259,02/02/2024 20:00:00,22.99,-11.25,7.28,,,,,
260,02/02/2024 20:10:00,22.94,-11.23,7.28,,,,,
261,02/02/2024 20:20:00,22.90,-11.19,7.28,,,,,
262,02/02/2024 20:30:00,22.87,-11.13,7.27,,,,,
263,02/02/2024 20:40:00,22.82,-11.00,7.27,,,,,
264,02/02/2024 20:50:00,22.80,-10.89,7.27,,,,,
265,02/02/2024 21:00:00,22.78,-10.78,7.27,,,,,
266,02/02/2024 21:10:00,22.73,-10.66,7.27,,,,,
267,02/02/2024 21:20:00,22.70,-10.56,7.26,,,,,
268,02/02/2024 21:30:00,22.68,-10.50,7.26,,,,,
269,02/02/2024 21:40:00,22.63,-10.47,7.26,,,,,
270,02/02/2024 21:50:00,22.58,-10.42,7.26,,,,,
271,02/02/2024 22:00:00,22.56,-10.34,7.26,,,,,
272,02/02/2024 22:10:00,22.54,-10.28,7.26,,,,,
273,02/02/2024 22:20:00,22.49,-10.20,7.26,,,,,
274,02/02/2024 22:30:00,22.47,-10.16,7.26,,,,,
275,02/02/2024 22:40:00,22.42,-10.11,7.26,,,,,
276,02/02/2024 22:50:00,22.39,-10.06,7.26,,,,,
277,02/02/2024 23:00:00,22.37,-10.00,7.25,,,,,
278,02/02/2024 23:10:00,22.32,-9.97,7.25,,,,,
279,02/02/2024 23:20:00,22.30,-9.92,7.25,,,,,
280,02/02/2024 23:30:00,22.27,-9.86,7.25,,,,,
281,02/02/2024 23:40:00,22.25,-9.78,7.25,,,,,
282,02/02/2024 23:50:00,22.23,-9.77,7.25,,,,,
283,02/03/2024 00:00:00,22.18,-9.75,7.25,,,,,
284,02/03/2024 00:10:00,22.15,-9.73,7.25,,,,,
285,02/03/2024 00:20:00,22.13,-9.70,7.25,,,,,
286,02/03/2024 00:30:00,22.11,-9.64,7.25,,,,,
287,02/03/2024 00:40:00,22.08,-9.63,7.25,,,,,
288,02/03/2024 00:50:00,22.06,-9.58,7.25,,,,,
289,02/03/2024 01:00:00,22.03,-9.56,7.25,,,,,
290,02/03/2024 01:10:00,22.03,-9.50,7.25,,,,,
291,02/03/2024 01:20:00,22.01,-9.47,7.24,,,,,
292,02/03/2024 01:30:00,21.99,-9.45,7.24,,,,,
293,02/03/2024 01:40:00,21.96,-9.44,7.24,,,,,
294,02/03/2024 01:50:00,21.94,-9.42,7.24,,,,,
295,02/03/2024 02:00:00,21.91,-9.39,7.24,,,,,
296,02/03/2024 02:10:00,21.89,-9.36,7.24,,,,,
297,02/03/2024 02:20:00,21.87,-9.34,7.24,,,,,
298,02/03/2024 02:30:00,21.84,-9.36,7.24,,,,,
299,02/03/2024 02:40:00,21.82,-9.36,7.24,,,,,
300,02/03/2024 02:50:00,21.80,-9.28,7.24,,,,,
301,02/03/2024 03:00:00,21.77,-9.30,7.24,,,,,
302,02/03/2024 03:10:00,21.75,-9.27,7.24,,,,,
303,02/03/2024 03:20:00,21.72,-9.19,7.24,,,,,
304,02/03/2024 03:30:00,21.70,-9.14,7.24,,,,,
305,02/03/2024 03:40:00,21.68,-9.16,7.24,,,,,
306,02/03/2024 03:50:00,21.63,-9.06,7.24,,,,,
307,02/03/2024 04:00:00,21.60,-9.03,7.24,,,,,
308,02/03/2024 04:10:00,21.58,-8.97,7.24,,,,,
309,02/03/2024 04:20:00,21.56,-8.88,7.23,,,,,
310,02/03/2024 04:30:00,21.53,-8.80,7.23,,,,,
311,02/03/2024 04:40:00,21.53,-8.72,7.23,,,,,
312,02/03/2024 04:50:00,21.49,-8.64,7.23,,,,,
313,02/03/2024 05:00:00,21.49,-8.56,7.23,,,,,
314,02/03/2024 05:10:00,21.44,-8.47,7.23,,,,,
315,02/03/2024 05:20:00,21.41,-8.41,7.23,,,,,
316,02/03/2024 05:30:00,21.39,-8.34,7.22,,,,,
317,02/03/2024 05:40:00,21.37,-8.30,7.22,,,,,
318,02/03/2024 05:50:00,21.34,-8.27,7.22,,,,,
319,02/03/2024 06:00:00,21.32,-8.22,7.22,,,,,
320,02/03/2024 06:10:00,21.32,-8.17,7.22,,,,,
321,02/03/2024 06:20:00,21.29,-8.09,7.22,,,,,
322,02/03/2024 06:30:00,21.27,-8.02,7.22,,,,,
323,02/03/2024 06:40:00,21.25,-7.94,7.22,,,,,
324,02/03/2024 06:50:00,21.25,-7.91,7.22,,,,,
325,02/03/2024 07:00:00,21.22,-7.88,7.22,,,,,
326,02/03/2024 07:10:00,21.10,-8.02,7.22,,,,,
327,02/03/2024 07:20:00,21.03,-8.11,7.22,,,,,
328,02/03/2024 07:30:00,21.01,-8.17,7.22,,,,,
329,02/03/2024 07:40:00,21.01,-8.13,7.22,,,,,
330,02/03/2024 07:50:00,20.98,-8.09,7.22,,,,,
331,02/03/2024 08:00:00,20.98,-8.05,7.22,,,,,
332,02/03/2024 08:10:00,20.96,-8.09,7.22,,,,,
333,02/03/2024 08:20:00,20.96,-8.08,7.22,,,,,
334,02/03/2024 08:30:00,20.94,-8.13,7.22,,,,,
335,02/03/2024 08:40:00,20.91,-8.17,7.22,,,,,
336,02/03/2024 08:50:00,20.91,-8.20,7.22,,,,,
337,02/03/2024 09:00:00,20.89,-8.27,7.22,,,,,
338,02/03/2024 09:10:00,20.86,-8.34,7.22,,,,,
339,02/03/2024 09:20:00,20.84,-8.38,7.22,,,,,
340,02/03/2024 09:30:00,20.84,-8.44,7.23,,,,,
341,02/03/2024 09:40:00,20.84,-8.55,7.23,,,,,
342,02/03/2024 09:50:00,20.84,-8.61,7.23,,,,,
343,02/03/2024 10:00:00,20.86,-8.66,7.23,,,,,
344,02/03/2024 10:10:00,20.91,-8.73,7.23,,,,,
345,02/03/2024 10:20:00,21.01,-8.78,7.23,,,,,
346,02/03/2024 10:30:00,21.06,-8.80,7.23,,,,,
347,02/03/2024 10:40:00,21.10,-8.89,7.23,,,,,
348,02/03/2024 10:50:00,21.17,-8.92,7.23,,,,,
349,02/03/2024 11:00:00,21.25,-8.95,7.24,,,,,
350,02/03/2024 11:10:00,21.25,-8.94,7.24,,,,,
351,02/03/2024 11:20:00,21.22,-8.98,7.24,,,,,
352,02/03/2024 11:30:00,21.22,-9.05,7.24,,,,,
353,02/03/2024 11:40:00,21.25,-9.13,7.24,,,,,
354,02/03/2024 11:50:00,21.29,-9.11,7.24,,,,,
355,02/03/2024 12:00:00,21.32,-9.13,7.24,,,,,
356,02/03/2024 12:10:00,21.39,-9.11,7.24,,,,,
357,02/03/2024 12:20:00,21.41,-9.08,7.24,,,,,
358,02/03/2024 12:30:00,21.41,-9.09,7.24,,,,,
359,02/03/2024 12:40:00,21.44,-9.11,7.24,,,,,
360,02/03/2024 12:50:00,21.44,-9.09,7.24,,,,,
361,02/03/2024 13:00:00,21.44,-9.09,7.24,,,,,
362,02/03/2024 13:10:00,21.46,-9.44,7.24,,,,,
363,02/03/2024 13:20:00,21.49,-9.33,7.24,,,,,
364,02/03/2024 13:30:00,21.51,-9.23,7.24,,,,,
365,02/03/2024 13:40:00,21.53,-9.17,7.24,,,,,
366,02/03/2024 13:50:00,21.53,-9.16,7.24,,,,,
367,02/03/2024 14:00:00,21.53,-9.14,7.24,,,,,
368,02/03/2024 14:10:00,21.53,-9.25,7.24,,,,,
369,02/03/2024 14:20:00,21.58,-9.27,7.24,,,,,
370,02/03/2024 14:30:00,21.60,-9.25,7.24,,,,,
371,02/03/2024 14:40:00,21.63,-9.33,7.24,,,,,
372,02/03/2024 14:50:00,21.65,-9.31,7.24,,,,,
373,02/03/2024 15:00:00,21.63,-9.50,7.25,,,,,
374,02/03/2024 15:10:00,21.63,-9.64,7.25,,,,,
375,02/03/2024 15:20:00,21.63,-9.72,7.25,,,,,
376,02/03/2024 15:30:00,21.63,-9.69,7.25,,,,,
377,02/03/2024 15:40:00,21.60,-9.73,7.25,,,,,
378,02/03/2024 15:50:00,21.58,-10.48,7.26,,,,,
379,02/03/2024 16:00:00,21.58,-10.25,7.26,,,,,
380,02/03/2024 16:10:00,21.58,-10.08,7.26,,,,,
381,02/03/2024 16:20:00,21.56,-9.91,7.25,,,,,
382,02/03/2024 16:30:00,21.56,-10.13,7.26,,,,,
383,02/03/2024 16:40:00,21.53,-10.14,7.26,,,,,
384,02/03/2024 16:50:00,21.53,-10.05,7.26,,,,,
385,02/03/2024 17:00:00,21.53,-9.98,7.25,,,,,
386,02/03/2024 17:10:00,21.53,-9.92,7.25,,,,,
387,02/03/2024 17:20:00,21.51,-9.91,7.25,,,,,
388,02/03/2024 17:30:00,21.51,-9.94,7.25,,,,,
389,02/03/2024 17:40:00,21.49,-9.94,7.25,,,,,
390,02/03/2024 17:50:00,21.46,-9.95,7.25,,,,,
391,02/03/2024 18:00:00,21.44,-9.98,7.25,,,,,
392,02/03/2024 18:10:00,21.41,-9.98,7.25,,,,,
393,02/03/2024 18:20:00,21.39,-10.03,7.26,,,,,
394,02/03/2024 18:30:00,21.37,-10.03,7.26,,,,,
395,02/03/2024 18:40:00,21.34,-9.98,7.25,,,,,
396,02/03/2024 18:50:00,21.32,-9.94,7.25,,,,,
397,02/03/2024 19:00:00,21.32,-9.92,7.25,,,,,
398,02/03/2024 19:10:00,21.29,-9.91,7.25,,,,,
399,02/03/2024 19:20:00,21.27,-9.91,7.25,,,,,
400,02/03/2024 19:30:00,21.25,-9.94,7.25,,,,,
401,02/03/2024 19:40:00,21.22,-9.98,7.25,,,,,
402,02/03/2024 19:50:00,21.20,-9.94,7.25,,,,,
403,02/03/2024 20:00:00,21.17,-9.92,7.25,,,,,
404,02/03/2024 20:10:00,21.17,-9.84,7.25,,,,,
405,02/03/2024 20:20:00,21.15,-9.81,7.25,,,,,
406,02/03/2024 20:30:00,21.13,-9.97,7.25,,,,,
407,02/03/2024 20:40:00,21.10,-10.03,7.26,,,,,
408,02/03/2024 20:50:00,21.10,-10.02,7.26,,,,,
409,02/03/2024 21:00:00,21.08,-10.06,7.26,,,,,
410,02/03/2024 21:10:00,21.08,-10.02,7.26,,,,,
411,02/03/2024 21:20:00,21.06,-9.97,7.25,,,,,
412,02/03/2024 21:30:00,21.03,-9.88,7.25,,,,,
413,02/03/2024 21:40:00,21.03,-9.81,7.25,,,,,
414,02/03/2024 21:50:00,21.03,-9.75,7.25,,,,,
415,02/03/2024 22:00:00,21.01,-9.64,7.25,,,,,
416,02/03/2024 22:10:00,20.98,-9.56,7.25,,,,,
417,02/03/2024 22:20:00,20.98,-9.50,7.25,,,,,
418,02/03/2024 22:30:00,20.96,-9.44,7.24,,,,,
419,02/03/2024 22:40:00,20.94,-9.38,7.24,,,,,
420,02/03/2024 22:50:00,20.94,-9.28,7.24,,,,,
