#,Date-Time (HST),Ch:1 - Temperature   (°F),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
64,07/13/2023 00:30:00,77.59,-24.88,7.87,,,,,
65,07/13/2023 00:40:00,77.56,-25.02,7.87,,,,,
66,07/13/2023 00:50:00,77.47,-24.99,7.87,,,,,
67,07/13/2023 01:00:00,77.41,-24.81,7.86,,,,,
68,07/13/2023 01:10:00,77.38,-24.56,7.86,,,,,
69,07/13/2023 01:20:00,77.34,-24.67,7.86,,,,,
70,07/13/2023 01:30:00,77.34,-24.83,7.87,,,,,
71,07/13/2023 01:40:00,77.29,-24.84,7.87,,,,,
72,07/13/2023 01:50:00,77.25,-25.05,7.87,,,,,
73,07/13/2023 02:00:00,77.20,-25.06,7.87,,,,,
74,07/13/2023 02:10:00,77.16,-25.13,7.87,,,,,
75,07/13/2023 02:20:00,77.11,-24.91,7.87,,,,,
76,07/13/2023 02:30:00,77.07,-25.09,7.87,,,,,
77,07/13/2023 02:40:00,77.04,-24.97,7.87,,,,,
78,07/13/2023 02:50:00,76.98,-24.92,7.87,,,,,
79,07/13/2023 03:00:00,76.98,-25.22,7.87,,,,,
80,07/13/2023 03:10:00,76.95,-25.14,7.87,,,,,
81,07/13/2023 03:20:00,76.89,-25.11,7.87,,,,,
82,07/13/2023 03:30:00,76.89,-24.77,7.86,,,,,
83,07/13/2023 03:40:00,76.89,-24.69,7.86,,,,,
84,07/13/2023 03:50:00,76.86,-24.63,7.86,,,,,
85,07/13/2023 04:00:00,76.82,-24.58,7.86,,,,,
86,07/13/2023 04:10:00,76.77,-24.84,7.87,,,,,
87,07/13/2023 04:20:00,76.77,-25.06,7.87,,,,,
88,07/13/2023 04:30:00,76.73,-25.19,7.87,,,,,
89,07/13/2023 04:40:00,76.68,-25.06,7.87,,,,,
90,07/13/2023 04:50:00,76.64,-24.92,7.87,,,,,
91,07/13/2023 05:00:00,76.64,-24.89,7.87,,,,,
92,07/13/2023 05:10:00,76.64,-25.06,7.87,,,,,
93,07/13/2023 05:20:00,76.59,-25.05,7.87,,,,,
94,07/13/2023 05:30:00,76.55,-25.00,7.87,,,,,
95,07/13/2023 05:40:00,76.51,-25.17,7.87,,,,,
96,07/13/2023 05:50:00,76.51,-25.11,7.87,,,,,
97,07/13/2023 06:00:00,76.46,-25.17,7.87,,,,,
98,07/13/2023 06:10:00,76.42,-25.17,7.87,,,,,
99,07/13/2023 06:20:00,76.42,-25.22,7.87,,,,,
100,07/13/2023 06:30:00,76.42,-25.27,7.88,,,,,
101,07/13/2023 06:40:00,76.37,-25.42,7.88,,,,,
102,07/13/2023 06:50:00,76.37,-25.24,7.88,,,,,
103,07/13/2023 07:00:00,76.37,-25.22,7.87,,,,,
104,07/13/2023 07:10:00,76.33,-24.99,7.87,,,,,
105,07/13/2023 07:20:00,76.33,-24.99,7.87,,,,,
106,07/13/2023 07:30:00,76.33,-24.78,7.87,,,,,
107,07/13/2023 07:40:00,76.33,-24.66,7.86,,,,,
108,07/13/2023 07:50:00,76.33,-24.78,7.87,,,,,
109,07/13/2023 08:00:00,76.33,-24.69,7.86,,,,,
110,07/13/2023 08:10:00,76.33,-24.30,7.86,,,,,
111,07/13/2023 08:20:00,76.33,-24.25,7.86,,,,,
112,07/13/2023 08:30:00,76.37,-24.09,7.85,,,,,
113,07/13/2023 08:40:00,76.42,-23.75,7.85,,,,,
114,07/13/2023 08:50:00,76.46,-24.17,7.85,,,,,
115,07/13/2023 09:00:00,76.51,-24.27,7.86,,,,,
116,07/13/2023 09:10:00,76.55,-24.52,7.86,,,,,
117,07/13/2023 09:20:00,76.55,-24.77,7.87,,,,,
118,07/13/2023 09:30:00,76.59,-25.09,7.87,,,,,
119,07/13/2023 09:40:00,76.64,-25.05,7.87,,,,,
120,07/13/2023 09:50:00,76.64,-25.27,7.88,,,,,
121,07/13/2023 10:00:00,76.68,-25.58,7.88,,,,,
122,07/13/2023 10:10:00,76.68,-25.75,7.89,,,,,
123,07/13/2023 10:20:00,76.73,-26.05,7.89,,,,,
124,07/13/2023 10:30:00,76.77,-26.36,7.90,,,,,
125,07/13/2023 10:40:00,76.86,-26.53,7.90,,,,,
126,07/13/2023 10:50:00,76.95,-26.94,7.91,,,,,
127,07/13/2023 11:00:00,77.04,-27.41,7.92,,,,,
128,07/13/2023 11:10:00,77.11,-28.00,7.93,,,,,
129,07/13/2023 11:20:00,77.20,-28.80,7.95,,,,,
130,07/13/2023 11:30:00,77.29,-28.94,7.95,,,,,
131,07/13/2023 11:40:00,77.47,-30.39,7.98,,,,,
132,07/13/2023 11:50:00,77.47,-29.91,7.97,,,,,
133,07/13/2023 12:00:00,77.59,-30.52,7.98,,,,,
134,07/13/2023 12:10:00,77.72,-31.30,7.99,,,,,
135,07/13/2023 12:20:00,77.86,-32.19,8.01,,,,,
136,07/13/2023 12:30:00,77.86,-32.53,8.02,,,,,
137,07/13/2023 12:40:00,78.03,-33.53,8.04,,,,,
138,07/13/2023 12:50:00,77.99,-33.45,8.04,,,,,
139,07/13/2023 13:00:00,78.08,-34.31,8.05,,,,,
140,07/13/2023 13:10:00,78.17,-34.67,8.06,,,,,
141,07/13/2023 13:20:00,78.17,-35.42,8.08,,,,,
142,07/13/2023 13:30:00,78.26,-36.59,8.10,,,,,
143,07/13/2023 13:40:00,78.33,-36.69,8.10,,,,,
144,07/13/2023 13:50:00,78.26,-35.75,8.08,,,,,
145,07/13/2023 14:00:00,78.30,-36.99,8.11,,,,,
146,07/13/2023 14:10:00,78.39,-37.49,8.12,,,,,
147,07/13/2023 14:20:00,78.39,-37.25,8.11,,,,,
148,07/13/2023 14:30:00,78.39,-37.31,8.11,,,,,
149,07/13/2023 14:40:00,78.42,-36.84,8.11,,,,,
150,07/13/2023 14:50:00,78.42,-37.30,8.11,,,,,
151,07/13/2023 15:00:00,78.48,-38.09,8.13,,,,,
152,07/13/2023 15:10:00,78.48,-38.00,8.13,,,,,
153,07/13/2023 15:20:00,78.48,-37.28,8.11,,,,,
154,07/13/2023 15:30:00,78.48,-36.89,8.11,,,,,
155,07/13/2023 15:40:00,78.51,-37.06,8.11,,,,,
156,07/13/2023 15:50:00,78.57,-37.38,8.12,,,,,
157,07/13/2023 16:00:00,78.57,-36.97,8.11,,,,,
158,07/13/2023 16:10:00,78.51,-36.50,8.10,,,,,
159,07/13/2023 16:20:00,78.51,-36.75,8.10,,,,,
160,07/13/2023 16:30:00,78.51,-36.42,8.10,,,,,
161,07/13/2023 16:40:00,78.51,-36.08,8.09,,,,,
162,07/13/2023 16:50:00,78.51,-36.22,8.09,,,,,
163,07/13/2023 17:00:00,78.51,-35.56,8.08,,,,,
164,07/13/2023 17:10:00,78.51,-35.47,8.08,,,,,
165,07/13/2023 17:20:00,78.51,-35.13,8.07,,,,,
166,07/13/2023 17:30:00,78.51,-34.03,8.05,,,,,
167,07/13/2023 17:40:00,78.48,-33.74,8.04,,,,,
168,07/13/2023 17:50:00,78.48,-33.42,8.04,,,,,
169,07/13/2023 18:00:00,78.42,-32.95,8.03,,,,,
170,07/13/2023 18:10:00,78.39,-32.72,8.02,,,,,
171,07/13/2023 18:20:00,78.33,-32.25,8.01,,,,,
172,07/13/2023 18:30:00,78.30,-31.84,8.00,,,,,
173,07/13/2023 18:40:00,78.26,-31.19,7.99,,,,,
174,07/13/2023 18:50:00,78.26,-31.22,7.99,,,,,
175,07/13/2023 19:00:00,78.21,-30.77,7.98,,,,,
176,07/13/2023 19:10:00,78.17,-30.41,7.98,,,,,
177,07/13/2023 19:20:00,78.17,-30.34,7.97,,,,,
178,07/13/2023 19:30:00,78.08,-29.86,7.97,,,,,
179,07/13/2023 19:40:00,78.03,-29.91,7.97,,,,,
180,07/13/2023 19:50:00,78.03,-30.08,7.97,,,,,
181,07/13/2023 20:00:00,77.99,-29.78,7.96,,,,,
182,07/13/2023 20:10:00,77.95,-29.02,7.95,,,,,
183,07/13/2023 20:20:00,77.90,-28.69,7.94,,,,,
184,07/13/2023 20:30:00,77.86,-28.75,7.94,,,,,
185,07/13/2023 20:40:00,77.81,-28.28,7.93,,,,,
186,07/13/2023 20:50:00,77.72,-28.39,7.94,,,,,
187,07/13/2023 21:00:00,77.68,-28.16,7.93,,,,,
188,07/13/2023 21:10:00,77.65,-27.55,7.92,,,,,
189,07/13/2023 21:20:00,77.56,-27.88,7.93,,,,,
190,07/13/2023 21:30:00,77.50,-27.66,7.92,,,,,
191,07/13/2023 21:40:00,77.47,-27.41,7.92,,,,,
192,07/13/2023 21:50:00,77.38,-26.83,7.91,,,,,
193,07/13/2023 22:00:00,77.34,-26.53,7.90,,,,,
194,07/13/2023 22:10:00,77.29,-26.11,7.89,,,,,
195,07/13/2023 22:20:00,77.20,-26.02,7.89,,,,,
196,07/13/2023 22:30:00,77.16,-25.91,7.89,,,,,
197,07/13/2023 22:40:00,77.11,-26.02,7.89,,,,,
198,07/13/2023 22:50:00,77.07,-25.63,7.88,,,,,
199,07/13/2023 23:00:00,77.04,-25.75,7.88,,,,,
200,07/13/2023 23:10:00,76.98,-25.19,7.87,,,,,
201,07/13/2023 23:20:00,76.95,-25.28,7.88,,,,,
202,07/13/2023 23:30:00,76.89,-25.19,7.87,,,,,
203,07/13/2023 23:40:00,76.86,-25.24,7.87,,,,,
204,07/13/2023 23:50:00,76.82,-25.58,7.88,,,,,
205,07/14/2023 00:00:00,76.77,-25.38,7.88,,,,,
206,07/14/2023 00:10:00,76.73,-25.27,7.88,,,,,
207,07/14/2023 00:20:00,76.68,-25.75,7.89,,,,,
208,07/14/2023 00:30:00,76.68,-25.38,7.88,,,,,
209,07/14/2023 00:40:00,76.64,-25.36,7.88,,,,,
210,07/14/2023 00:50:00,76.59,-25.25,7.88,,,,,
211,07/14/2023 01:00:00,76.55,-24.95,7.87,,,,,
212,07/14/2023 01:10:00,76.55,-25.11,7.87,,,,,
213,07/14/2023 01:20:00,76.51,-25.36,7.88,,,,,
214,07/14/2023 01:30:00,76.46,-25.25,7.88,,,,,
215,07/14/2023 01:40:00,76.46,-24.94,7.87,,,,,
216,07/14/2023 01:50:00,76.42,-24.83,7.87,,,,,
217,07/14/2023 02:00:00,76.37,-24.81,7.87,,,,,
218,07/14/2023 02:10:00,76.33,-24.91,7.87,,,,,
219,07/14/2023 02:20:00,76.28,-24.70,7.86,,,,,
220,07/14/2023 02:30:00,76.24,-24.64,7.86,,,,,
221,07/14/2023 02:40:00,76.24,-24.99,7.87,,,,,
222,07/14/2023 02:50:00,76.21,-25.09,7.87,,,,,
223,07/14/2023 03:00:00,76.21,-25.16,7.87,,,,,
224,07/14/2023 03:10:00,76.15,-25.03,7.87,,,,,
225,07/14/2023 03:20:00,76.06,-25.05,7.87,,,,,
226,07/14/2023 03:30:00,76.03,-24.91,7.87,,,,,
227,07/14/2023 03:40:00,76.03,-24.42,7.86,,,,,
228,07/14/2023 03:50:00,75.99,-24.56,7.86,,,,,
229,07/14/2023 04:00:00,75.94,-24.64,7.86,,,,,
230,07/14/2023 04:10:00,75.94,-24.74,7.87,,,,,
231,07/14/2023 04:20:00,75.90,-24.45,7.86,,,,,
232,07/14/2023 04:30:00,75.85,-24.38,7.86,,,,,
233,07/14/2023 04:40:00,75.85,-24.41,7.86,,,,,
234,07/14/2023 04:50:00,75.85,-24.42,7.86,,,,,
235,07/14/2023 05:00:00,75.81,-24.56,7.86,,,,,
236,07/14/2023 05:10:00,75.81,-24.39,7.86,,,,,
237,07/14/2023 05:20:00,75.78,-24.34,7.86,,,,,
238,07/14/2023 05:30:00,75.72,-24.42,7.86,,,,,
239,07/14/2023 05:40:00,75.72,-24.36,7.86,,,,,
240,07/14/2023 05:50:00,75.69,-24.58,7.86,,,,,
241,07/14/2023 06:00:00,75.63,-24.34,7.86,,,,,
242,07/14/2023 06:10:00,75.60,-24.38,7.86,,,,,
243,07/14/2023 06:20:00,75.54,-24.47,7.86,,,,,
244,07/14/2023 06:30:00,75.51,-24.34,7.86,,,,,
245,07/14/2023 06:40:00,75.51,-24.44,7.86,,,,,
246,07/14/2023 06:50:00,75.47,-24.33,7.86,,,,,
247,07/14/2023 07:00:00,75.47,-24.45,7.86,,,,,
248,07/14/2023 07:10:00,75.47,-24.09,7.85,,,,,
249,07/14/2023 07:20:00,75.47,-24.09,7.85,,,,,
250,07/14/2023 07:30:00,75.47,-23.78,7.85,,,,,
251,07/14/2023 07:40:00,75.47,-23.59,7.84,,,,,
252,07/14/2023 07:50:00,75.51,-23.69,7.85,,,,,
253,07/14/2023 08:00:00,75.51,-23.97,7.85,,,,,
254,07/14/2023 08:10:00,75.51,-24.03,7.85,,,,,
255,07/14/2023 08:20:00,75.51,-23.95,7.85,,,,,
256,07/14/2023 08:30:00,75.54,-23.75,7.85,,,,,
257,07/14/2023 08:40:00,75.60,-23.66,7.84,,,,,
258,07/14/2023 08:50:00,75.63,-23.78,7.85,,,,,
259,07/14/2023 09:00:00,75.69,-24.42,7.86,,,,,
260,07/14/2023 09:10:00,75.72,-24.84,7.87,,,,,
261,07/14/2023 09:20:00,75.78,-24.72,7.87,,,,,
262,07/14/2023 09:30:00,75.81,-24.63,7.86,,,,,
263,07/14/2023 09:40:00,75.85,-24.67,7.86,,,,,
264,07/14/2023 09:50:00,75.99,-25.55,7.88,,,,,
265,07/14/2023 10:00:00,76.03,-25.55,7.88,,,,,
266,07/14/2023 10:10:00,76.12,-25.80,7.89,,,,,
267,07/14/2023 10:20:00,76.24,-26.25,7.90,,,,,
268,07/14/2023 10:30:00,76.33,-26.67,7.90,,,,,
269,07/14/2023 10:40:00,76.46,-27.24,7.92,,,,,
270,07/14/2023 10:50:00,76.55,-27.56,7.92,,,,,
271,07/14/2023 11:00:00,76.64,-28.05,7.93,,,,,
272,07/14/2023 11:10:00,76.77,-28.77,7.95,,,,,
273,07/14/2023 11:20:00,76.86,-29.22,7.95,,,,,
274,07/14/2023 11:30:00,76.95,-29.33,7.96,,,,,
275,07/14/2023 11:40:00,77.11,-30.25,7.97,,,,,
276,07/14/2023 11:50:00,77.25,-31.30,8.00,,,,,
277,07/14/2023 12:00:00,77.41,-32.03,8.01,,,,,
278,07/14/2023 12:10:00,77.50,-32.28,8.02,,,,,
279,07/14/2023 12:20:00,77.56,-32.41,8.02,,,,,
280,07/14/2023 12:30:00,77.72,-32.97,8.03,,,,,
281,07/14/2023 12:40:00,77.81,-33.28,8.03,,,,,
282,07/14/2023 12:50:00,77.95,-33.97,8.05,,,,,
283,07/14/2023 13:00:00,78.03,-34.30,8.05,,,,,
284,07/14/2023 13:10:00,78.12,-34.86,8.07,,,,,
285,07/14/2023 13:20:00,78.21,-35.49,8.08,,,,,
286,07/14/2023 13:30:00,78.26,-35.14,8.07,,,,,
287,07/14/2023 13:40:00,78.26,-36.22,8.09,,,,,
288,07/14/2023 13:50:00,78.33,-36.24,8.09,,,,,
289,07/14/2023 14:00:00,78.39,-36.91,8.11,,,,,
290,07/14/2023 14:10:00,78.42,-37.27,8.11,,,,,
291,07/14/2023 14:20:00,78.42,-36.77,8.10,,,,,
292,07/14/2023 14:30:00,78.57,-36.52,8.10,,,,,
293,07/14/2023 14:40:00,78.57,-37.31,8.11,,,,,
294,07/14/2023 14:50:00,78.60,-36.88,8.11,,,,,
295,07/14/2023 15:00:00,78.64,-37.42,8.12,,,,,
296,07/14/2023 15:10:00,78.73,-37.03,8.11,,,,,
297,07/14/2023 15:20:00,78.73,-37.17,8.11,,,,,
298,07/14/2023 15:30:00,78.78,-37.06,8.11,,,,,
299,07/14/2023 15:40:00,78.82,-36.97,8.11,,,,,
300,07/14/2023 15:50:00,78.78,-36.47,8.10,,,,,
301,07/14/2023 16:00:00,78.73,-36.39,8.10,,,,,
302,07/14/2023 16:10:00,78.82,-36.06,8.09,,,,,
303,07/14/2023 16:20:00,78.78,-36.13,8.09,,,,,
304,07/14/2023 16:30:00,78.82,-36.05,8.09,,,,,
305,07/14/2023 16:40:00,78.87,-36.14,8.09,,,,,
306,07/14/2023 16:50:00,78.87,-35.97,8.09,,,,,
307,07/14/2023 17:00:00,78.87,-35.70,8.08,,,,,
308,07/14/2023 17:10:00,78.91,-35.16,8.07,,,,,
309,07/14/2023 17:20:00,78.87,-34.84,8.06,,,,,
310,07/14/2023 17:30:00,78.87,-35.03,8.07,,,,,
311,07/14/2023 17:40:00,78.82,-34.80,8.06,,,,,
312,07/14/2023 17:50:00,78.82,-34.64,8.06,,,,,
313,07/14/2023 18:00:00,78.87,-34.00,8.05,,,,,
314,07/14/2023 18:10:00,78.82,-33.56,8.04,,,,,
315,07/14/2023 18:20:00,78.78,-33.02,8.03,,,,,
316,07/14/2023 18:30:00,78.73,-33.02,8.03,,,,,
317,07/14/2023 18:40:00,78.73,-32.99,8.03,,,,,
318,07/14/2023 18:50:00,78.73,-32.45,8.02,,,,,
319,07/14/2023 19:00:00,78.69,-31.61,8.00,,,,,
320,07/14/2023 19:10:00,78.64,-31.11,7.99,,,,,
321,07/14/2023 19:20:00,78.60,-30.56,7.98,,,,,
322,07/14/2023 19:30:00,78.57,-29.81,7.96,,,,,
323,07/14/2023 19:40:00,78.57,-29.52,7.96,,,,,
324,07/14/2023 19:50:00,78.51,-29.31,7.95,,,,,
325,07/14/2023 20:00:00,78.48,-29.02,7.95,,,,,
326,07/14/2023 20:10:00,78.42,-28.69,7.94,,,,,
327,07/14/2023 20:20:00,78.39,-28.38,7.93,,,,,
328,07/14/2023 20:30:00,78.33,-28.02,7.93,,,,,
329,07/14/2023 20:40:00,78.33,-27.86,7.92,,,,,
330,07/14/2023 20:50:00,78.30,-27.52,7.92,,,,,
331,07/14/2023 21:00:00,78.26,-27.31,7.91,,,,,
332,07/14/2023 21:10:00,78.26,-27.27,7.91,,,,,
333,07/14/2023 21:20:00,78.21,-27.05,7.91,,,,,
334,07/14/2023 21:30:00,78.12,-26.66,7.90,,,,,
335,07/14/2023 21:40:00,78.12,-26.49,7.90,,,,,
336,07/14/2023 21:50:00,78.08,-26.30,7.89,,,,,
337,07/14/2023 22:00:00,77.99,-26.11,7.89,,,,,
338,07/14/2023 22:10:00,77.95,-25.86,7.89,,,,,
339,07/14/2023 22:20:00,77.90,-25.74,7.88,,,,,
340,07/14/2023 22:30:00,77.90,-25.55,7.88,,,,,
341,07/14/2023 22:40:00,77.90,-25.33,7.87,,,,,
342,07/14/2023 22:50:00,77.86,-25.25,7.87,,,,,
343,07/14/2023 23:00:00,77.81,-25.03,7.87,,,,,
344,07/14/2023 23:10:00,77.77,-24.89,7.87,,,,,
345,07/14/2023 23:20:00,77.72,-24.53,7.86,,,,,
346,07/14/2023 23:30:00,77.68,-24.28,7.85,,,,,
347,07/14/2023 23:40:00,77.65,-24.25,7.85,,,,,
348,07/14/2023 23:50:00,77.59,-24.14,7.85,,,,,
349,07/15/2023 00:00:00,77.59,-24.13,7.85,,,,,
350,07/15/2023 00:10:00,77.56,-24.22,7.85,,,,,
351,07/15/2023 00:20:00,77.56,-24.09,7.85,,,,,
352,07/15/2023 00:30:00,77.50,-24.03,7.85,,,,,
353,07/15/2023 00:40:00,77.47,-24.02,7.85,,,,,
354,07/15/2023 00:50:00,77.47,-24.24,7.85,,,,,
355,07/15/2023 01:00:00,77.41,-24.50,7.86,,,,,
356,07/15/2023 01:10:00,77.38,-24.36,7.86,,,,,
357,07/15/2023 01:20:00,77.38,-24.30,7.85,,,,,
358,07/15/2023 01:30:00,77.34,-24.36,7.86,,,,,
359,07/15/2023 01:40:00,77.29,-24.16,7.85,,,,,
360,07/15/2023 01:50:00,77.29,-24.20,7.85,,,,,
361,07/15/2023 02:00:00,77.25,-24.44,7.86,,,,,
362,07/15/2023 02:10:00,77.20,-24.53,7.86,,,,,
363,07/15/2023 02:20:00,77.20,-24.36,7.86,,,,,
364,07/15/2023 02:30:00,77.16,-24.36,7.86,,,,,
365,07/15/2023 02:40:00,77.16,-24.33,7.86,,,,,
366,07/15/2023 02:50:00,77.11,-24.11,7.85,,,,,
367,07/15/2023 03:00:00,77.11,-23.95,7.85,,,,,
368,07/15/2023 03:10:00,77.07,-24.22,7.85,,,,,
369,07/15/2023 03:20:00,77.07,-24.28,7.85,,,,,
370,07/15/2023 03:30:00,77.04,-24.22,7.85,,,,,
371,07/15/2023 03:40:00,77.04,-24.22,7.85,,,,,
372,07/15/2023 03:50:00,76.98,-24.20,7.85,,,,,
373,07/15/2023 04:00:00,76.98,-24.31,7.86,,,,,
374,07/15/2023 04:10:00,76.95,-24.83,7.87,,,,,
375,07/15/2023 04:20:00,76.89,-24.95,7.87,,,,,
376,07/15/2023 04:30:00,76.89,-24.89,7.87,,,,,
377,07/15/2023 04:40:00,76.86,-24.75,7.86,,,,,
378,07/15/2023 04:50:00,76.86,-24.72,7.86,,,,,
379,07/15/2023 05:00:00,76.82,-24.59,7.86,,,,,
380,07/15/2023 05:10:00,76.82,-24.53,7.86,,,,,
381,07/15/2023 05:20:00,76.77,-24.69,7.86,,,,,
382,07/15/2023 05:30:00,76.77,-24.69,7.86,,,,,
383,07/15/2023 05:40:00,76.77,-24.75,7.86,,,,,
384,07/15/2023 05:50:00,76.73,-24.94,7.87,,,,,
385,07/15/2023 06:00:00,76.73,-24.95,7.87,,,,,
386,07/15/2023 06:10:00,76.68,-24.78,7.87,,,,,
387,07/15/2023 06:20:00,76.68,-24.89,7.87,,,,,
388,07/15/2023 06:30:00,76.68,-24.89,7.87,,,,,
389,07/15/2023 06:40:00,76.68,-24.89,7.87,,,,,
390,07/15/2023 06:50:00,76.64,-24.89,7.87,,,,,
391,07/15/2023 07:00:00,76.64,-24.99,7.87,,,,,
392,07/15/2023 07:10:00,76.64,-25.30,7.88,,,,,
393,07/15/2023 07:20:00,76.64,-25.00,7.87,,,,,
394,07/15/2023 07:30:00,76.59,-24.95,7.87,,,,,
395,07/15/2023 07:40:00,76.64,-25.19,7.87,,,,,
396,07/15/2023 07:50:00,76.64,-25.14,7.87,,,,,
397,07/15/2023 08:00:00,76.64,-25.52,7.88,,,,,
398,07/15/2023 08:10:00,76.64,-25.39,7.88,,,,,
399,07/15/2023 08:20:00,76.64,-25.31,7.88,,,,,
400,07/15/2023 08:30:00,76.64,-25.14,7.87,,,,,
401,07/15/2023 08:40:00,76.59,-24.99,7.87,,,,,
402,07/15/2023 08:50:00,76.55,-25.19,7.87,,,,,
403,07/15/2023 09:00:00,76.55,-25.13,7.87,,,,,
404,07/15/2023 09:10:00,76.55,-25.49,7.88,,,,,
405,07/15/2023 09:20:00,76.55,-25.19,7.87,,,,,
406,07/15/2023 09:30:00,76.51,-24.86,7.87,,,,,
407,07/15/2023 09:40:00,76.55,-25.09,7.87,,,,,
408,07/15/2023 09:50:00,76.59,-25.44,7.88,,,,,
409,07/15/2023 10:00:00,76.64,-25.45,7.88,,,,,
410,07/15/2023 10:10:00,76.68,-25.72,7.88,,,,,
411,07/15/2023 10:20:00,76.73,-26.27,7.90,,,,,
412,07/15/2023 10:30:00,76.77,-26.31,7.90,,,,,
413,07/15/2023 10:40:00,76.86,-26.89,7.91,,,,,
414,07/15/2023 10:50:00,76.89,-27.00,7.91,,,,,
415,07/15/2023 11:00:00,76.98,-27.47,7.92,,,,,
416,07/15/2023 11:10:00,77.04,-27.83,7.93,,,,,
417,07/15/2023 11:20:00,77.11,-28.33,7.94,,,,,
418,07/15/2023 11:30:00,77.20,-28.88,7.95,,,,,
419,07/15/2023 11:40:00,77.29,-29.14,7.95,,,,,
