#,Date-Time (HST),Ch: 1 - Temperature   (°C),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
31,02/09/2023 06:00:00,22.82,181.22,3.63,,,,,
32,02/09/2023 06:10:00,22.78,181.21,3.63,,,,,
33,02/09/2023 06:20:00,22.73,181.21,3.63,,,,,
34,02/09/2023 06:30:00,22.68,181.18,3.63,,,,,
35,02/09/2023 06:40:00,22.63,181.16,3.63,,,,,
36,02/09/2023 06:50:00,22.61,181.15,3.63,,,,,
37,02/09/2023 07:00:00,22.56,181.11,3.63,,,,,
38,02/09/2023 07:10:00,22.51,181.10,3.63,,,,,
39,02/09/2023 07:20:00,22.49,181.07,3.63,,,,,
40,02/09/2023 07:30:00,22.47,181.07,3.63,,,,,
41,02/09/2023 07:40:00,22.44,181.04,3.63,,,,,
42,02/09/2023 07:50:00,22.39,181.02,3.63,,,,,
43,02/09/2023 08:00:00,22.37,180.99,3.63,,,,,
44,02/09/2023 08:10:00,22.35,180.99,3.63,,,,,
45,02/09/2023 08:20:00,22.35,180.97,3.63,,,,,
46,02/09/2023 08:30:00,22.32,180.96,3.63,,,,,
47,02/09/2023 08:40:00,22.32,180.93,3.63,,,,,
48,02/09/2023 08:50:00,22.35,180.93,3.63,,,,,
49,02/09/2023 09:00:00,22.37,180.93,3.63,,,,,
50,02/09/2023 09:10:00,22.44,180.90,3.63,,,,,
51,02/09/2023 09:20:00,22.85,180.91,3.64,,,,,
52,02/09/2023 09:30:00,23.30,180.93,3.64,,,,,
53,02/09/2023 09:40:00,23.62,180.86,3.65,,,,,
54,02/09/2023 09:50:00,24.22,181.43,3.64,,,,,
55,02/09/2023 10:00:00,25.72,181.33,3.66,,,,,
56,02/09/2023 10:10:00,26.35,163.66,4.00,,,,,
57,02/09/2023 10:20:00,22.99,-32.95,7.62,,,,,
58,02/09/2023 10:30:00,22.39,-34.00,7.64,,,,,
59,02/09/2023 10:40:00,22.20,-34.19,7.64,,,,,
60,02/09/2023 10:50:00,22.13,-35.05,7.66,,,,,
61,02/09/2023 11:00:00,22.13,-35.16,7.66,,,,,
62,02/09/2023 11:10:00,22.13,-35.28,7.66,,,,,
63,02/09/2023 11:20:00,22.13,-35.47,7.67,,,,,
64,02/09/2023 11:30:00,22.15,-34.88,7.66,,,,,
65,02/09/2023 11:40:00,22.15,-34.59,7.65,,,,,
66,02/09/2023 11:50:00,22.18,-32.74,7.62,,,,,
67,02/09/2023 12:00:00,22.18,-32.78,7.62,,,,,
68,02/09/2023 12:10:00,22.20,-34.08,7.64,,,,,
69,02/09/2023 12:20:00,22.20,-33.39,7.63,,,,,
70,02/09/2023 12:30:00,22.23,-34.19,7.64,,,,,
71,02/09/2023 12:40:00,22.23,-35.67,7.67,,,,,
72,02/09/2023 12:50:00,22.25,-37.63,7.71,,,,,
73,02/09/2023 13:00:00,22.30,-37.19,7.70,,,,,
74,02/09/2023 13:10:00,22.30,-36.34,7.68,,,,,
75,02/09/2023 13:20:00,22.30,-37.53,7.71,,,,,
76,02/09/2023 13:30:00,22.32,-37.55,7.71,,,,,
77,02/09/2023 13:40:00,22.35,-38.70,7.73,,,,,
78,02/09/2023 13:50:00,22.39,-39.41,7.74,,,,,
79,02/09/2023 14:00:00,22.39,-39.58,7.74,,,,,
80,02/09/2023 14:10:00,22.42,-40.31,7.76,,,,,
81,02/09/2023 14:20:00,22.44,-41.11,7.77,,,,,
82,02/09/2023 14:30:00,22.47,-41.22,7.77,,,,,
83,02/09/2023 14:40:00,22.49,-41.25,7.77,,,,,
84,02/09/2023 14:50:00,22.51,-41.24,7.77,,,,,
85,02/09/2023 15:00:00,22.51,-40.67,7.76,,,,,
86,02/09/2023 15:10:00,22.49,-40.63,7.76,,,,,
87,02/09/2023 15:20:00,22.49,-40.83,7.77,,,,,
88,02/09/2023 15:30:00,22.49,-40.75,7.77,,,,,
89,02/09/2023 15:40:00,22.51,-41.05,7.77,,,,,
90,02/09/2023 15:50:00,22.51,-39.89,7.75,,,,,
91,02/09/2023 16:00:00,22.51,-40.34,7.76,,,,,
92,02/09/2023 16:10:00,22.51,-40.66,7.76,,,,,
93,02/09/2023 16:20:00,22.51,-41.11,7.77,,,,,
94,02/09/2023 16:30:00,22.54,-41.83,7.79,,,,,
95,02/09/2023 16:40:00,22.51,-40.75,7.76,,,,,
96,02/09/2023 16:50:00,22.51,-40.86,7.77,,,,,
97,02/09/2023 17:00:00,22.49,-40.99,7.77,,,,,
98,02/09/2023 17:10:00,22.49,-40.44,7.76,,,,,
99,02/09/2023 17:20:00,22.49,-40.63,7.76,,,,,
100,02/09/2023 17:30:00,22.47,-40.47,7.76,,,,,
101,02/09/2023 17:40:00,22.47,-40.05,7.75,,,,,
102,02/09/2023 17:50:00,22.44,-41.80,7.78,,,,,
103,02/09/2023 18:00:00,22.44,-40.95,7.77,,,,,
104,02/09/2023 18:10:00,22.42,-41.50,7.78,,,,,
105,02/09/2023 18:20:00,22.39,-41.22,7.77,,,,,
106,02/09/2023 18:30:00,22.39,-41.02,7.77,,,,,
107,02/09/2023 18:40:00,22.37,-41.05,7.77,,,,,
108,02/09/2023 18:50:00,22.37,-40.20,7.76,,,,,
109,02/09/2023 19:00:00,22.35,-39.77,7.75,,,,,
110,02/09/2023 19:10:00,22.35,-38.45,7.72,,,,,
111,02/09/2023 19:20:00,22.32,-38.42,7.72,,,,,
112,02/09/2023 19:30:00,22.30,-38.81,7.73,,,,,
113,02/09/2023 19:40:00,22.27,-39.52,7.74,,,,,
114,02/09/2023 19:50:00,22.27,-39.14,7.74,,,,,
115,02/09/2023 20:00:00,22.25,-39.39,7.74,,,,,
116,02/09/2023 20:10:00,22.25,-38.97,7.73,,,,,
117,02/09/2023 20:20:00,22.23,-38.66,7.73,,,,,
118,02/09/2023 20:30:00,22.23,-38.58,7.73,,,,,
119,02/09/2023 20:40:00,22.23,-38.72,7.73,,,,,
120,02/09/2023 20:50:00,22.20,-37.70,7.71,,,,,
121,02/09/2023 21:00:00,22.20,-37.91,7.71,,,,,
122,02/09/2023 21:10:00,22.18,-38.42,7.72,,,,,
123,02/09/2023 21:20:00,22.18,-38.24,7.72,,,,,
124,02/09/2023 21:30:00,22.15,-37.86,7.71,,,,,
125,02/09/2023 21:40:00,22.15,-37.61,7.71,,,,,
126,02/09/2023 21:50:00,22.15,-37.56,7.71,,,,,
127,02/09/2023 22:00:00,22.13,-37.25,7.70,,,,,
128,02/09/2023 22:10:00,22.13,-37.28,7.70,,,,,
129,02/09/2023 22:20:00,22.11,-37.03,7.70,,,,,
130,02/09/2023 22:30:00,22.08,-36.81,7.69,,,,,
131,02/09/2023 22:40:00,22.08,-36.63,7.69,,,,,
132,02/09/2023 22:50:00,22.06,-36.72,7.69,,,,,
133,02/09/2023 23:00:00,22.06,-36.31,7.68,,,,,
134,02/09/2023 23:10:00,22.03,-36.27,7.68,,,,,
135,02/09/2023 23:20:00,22.03,-36.36,7.68,,,,,
136,02/09/2023 23:30:00,22.03,-36.38,7.68,,,,,
137,02/09/2023 23:40:00,22.03,-36.09,7.68,,,,,
138,02/09/2023 23:50:00,22.01,-35.91,7.68,,,,,
139,02/10/2023 00:00:00,22.01,-35.94,7.68,,,,,
140,02/10/2023 00:10:00,22.01,-35.81,7.67,,,,,
141,02/10/2023 00:20:00,21.99,-36.11,7.68,,,,,
142,02/10/2023 00:30:00,21.99,-36.24,7.68,,,,,
143,02/10/2023 00:40:00,21.96,-36.22,7.68,,,,,
144,02/10/2023 00:50:00,21.96,-36.13,7.68,,,,,
145,02/10/2023 01:00:00,21.94,-35.77,7.67,,,,,
146,02/10/2023 01:10:00,21.94,-35.97,7.68,,,,,
147,02/10/2023 01:20:00,21.94,-35.75,7.67,,,,,
148,02/10/2023 01:30:00,21.91,-35.72,7.67,,,,,
149,02/10/2023 01:40:00,21.91,-35.67,7.67,,,,,
150,02/10/2023 01:50:00,21.91,-35.84,7.67,,,,,
151,02/10/2023 02:00:00,21.91,-36.02,7.68,,,,,
152,02/10/2023 02:10:00,21.91,-35.41,7.67,,,,,
153,02/10/2023 02:20:00,21.89,-35.28,7.66,,,,,
154,02/10/2023 02:30:00,21.89,-35.55,7.67,,,,,
155,02/10/2023 02:40:00,21.89,-35.22,7.66,,,,,
156,02/10/2023 02:50:00,21.89,-35.66,7.67,,,,,
157,02/10/2023 03:00:00,21.87,-35.61,7.67,,,,,
158,02/10/2023 03:10:00,21.87,-35.49,7.67,,,,,
159,02/10/2023 03:20:00,21.87,-35.70,7.67,,,,,
160,02/10/2023 03:30:00,21.84,-35.44,7.67,,,,,
161,02/10/2023 03:40:00,21.84,-35.63,7.67,,,,,
162,02/10/2023 03:50:00,21.84,-35.75,7.67,,,,,
163,02/10/2023 04:00:00,21.84,-35.61,7.67,,,,,
164,02/10/2023 04:10:00,21.84,-35.28,7.66,,,,,
165,02/10/2023 04:20:00,21.84,-35.53,7.67,,,,,
166,02/10/2023 04:30:00,21.84,-35.45,7.67,,,,,
167,02/10/2023 04:40:00,21.84,-35.28,7.66,,,,,
168,02/10/2023 04:50:00,21.84,-34.83,7.66,,,,,
169,02/10/2023 05:00:00,21.84,-34.36,7.65,,,,,
170,02/10/2023 05:10:00,21.84,-34.08,7.64,,,,,
171,02/10/2023 05:20:00,21.84,-34.27,7.65,,,,,
172,02/10/2023 05:30:00,21.84,-34.72,7.65,,,,,
173,02/10/2023 05:40:00,21.84,-34.77,7.65,,,,,
174,02/10/2023 05:50:00,21.84,-34.84,7.66,,,,,
175,02/10/2023 06:00:00,21.84,-35.09,7.66,,,,,
176,02/10/2023 06:10:00,21.84,-34.77,7.65,,,,,
177,02/10/2023 06:20:00,21.84,-34.67,7.65,,,,,
178,02/10/2023 06:30:00,21.84,-34.45,7.65,,,,,
179,02/10/2023 06:40:00,21.84,-34.83,7.66,,,,,
180,02/10/2023 06:50:00,21.87,-34.41,7.65,,,,,
181,02/10/2023 07:00:00,21.87,-34.20,7.64,,,,,
182,02/10/2023 07:10:00,21.87,-34.11,7.64,,,,,
183,02/10/2023 07:20:00,21.87,-34.08,7.64,,,,,
184,02/10/2023 07:30:00,21.89,-34.27,7.65,,,,,
185,02/10/2023 07:40:00,21.89,-34.08,7.64,,,,,
186,02/10/2023 07:50:00,21.89,-33.78,7.64,,,,,
187,02/10/2023 08:00:00,21.87,-33.92,7.64,,,,,
188,02/10/2023 08:10:00,21.89,-33.75,7.64,,,,,
189,02/10/2023 08:20:00,21.87,-34.47,7.65,,,,,
190,02/10/2023 08:30:00,21.89,-34.39,7.65,,,,,
191,02/10/2023 08:40:00,21.89,-34.20,7.64,,,,,
192,02/10/2023 08:50:00,21.87,-34.38,7.65,,,,,
193,02/10/2023 09:00:00,21.87,-34.02,7.64,,,,,
194,02/10/2023 09:10:00,21.87,-34.11,7.64,,,,,
195,02/10/2023 09:20:00,21.87,-34.44,7.65,,,,,
196,02/10/2023 09:30:00,21.87,-34.36,7.65,,,,,
197,02/10/2023 09:40:00,21.87,-34.50,7.65,,,,,
198,02/10/2023 09:50:00,21.87,-34.47,7.65,,,,,
199,02/10/2023 10:00:00,21.89,-35.17,7.66,,,,,
200,02/10/2023 10:10:00,21.89,-36.08,7.68,,,,,
201,02/10/2023 10:20:00,21.89,-35.89,7.68,,,,,
202,02/10/2023 10:30:00,21.89,-35.44,7.67,,,,,
203,02/10/2023 10:40:00,21.91,-35.27,7.66,,,,,
204,02/10/2023 10:50:00,21.91,-35.72,7.67,,,,,
205,02/10/2023 11:00:00,21.94,-35.49,7.67,,,,,
206,02/10/2023 11:10:00,21.94,-34.66,7.65,,,,,
207,02/10/2023 11:20:00,21.96,-34.08,7.64,,,,,
208,02/10/2023 11:30:00,21.96,-33.53,7.63,,,,,
209,02/10/2023 11:40:00,21.96,-34.97,7.66,,,,,
210,02/10/2023 11:50:00,21.96,-34.66,7.65,,,,,
211,02/10/2023 12:00:00,21.99,-34.52,7.65,,,,,
212,02/10/2023 12:10:00,22.01,-35.33,7.67,,,,,
213,02/10/2023 12:20:00,22.01,-35.89,7.68,,,,,
214,02/10/2023 12:30:00,22.01,-36.94,7.70,,,,,
215,02/10/2023 12:40:00,22.03,-37.42,7.70,,,,,
216,02/10/2023 12:50:00,22.06,-38.00,7.71,,,,,
217,02/10/2023 13:00:00,22.08,-38.13,7.72,,,,,
218,02/10/2023 13:10:00,22.11,-37.64,7.71,,,,,
219,02/10/2023 13:20:00,22.13,-39.03,7.73,,,,,
220,02/10/2023 13:30:00,22.15,-40.42,7.76,,,,,
221,02/10/2023 13:40:00,22.20,-43.28,7.81,,,,,
222,02/10/2023 13:50:00,22.25,-44.55,7.84,,,,,
223,02/10/2023 14:00:00,22.27,-45.41,7.85,,,,,
224,02/10/2023 14:10:00,22.32,-46.30,7.87,,,,,
225,02/10/2023 14:20:00,22.32,-46.10,7.87,,,,,
226,02/10/2023 14:30:00,22.35,-46.38,7.87,,,,,
227,02/10/2023 14:40:00,22.37,-47.06,7.88,,,,,
228,02/10/2023 14:50:00,22.37,-46.85,7.88,,,,,
229,02/10/2023 15:00:00,22.42,-47.69,7.89,,,,,
230,02/10/2023 15:10:00,22.47,-47.75,7.90,,,,,
231,02/10/2023 15:20:00,22.44,-47.75,7.90,,,,,
232,02/10/2023 15:30:00,22.44,-47.72,7.90,,,,,
233,02/10/2023 15:40:00,22.44,-45.61,7.86,,,,,
234,02/10/2023 15:50:00,22.42,-43.92,7.82,,,,,
235,02/10/2023 16:00:00,22.42,-42.42,7.80,,,,,
236,02/10/2023 16:10:00,22.39,-42.27,7.79,,,,,
237,02/10/2023 16:20:00,22.39,-42.44,7.80,,,,,
238,02/10/2023 16:30:00,22.39,-42.52,7.80,,,,,
239,02/10/2023 16:40:00,22.39,-43.08,7.81,,,,,
240,02/10/2023 16:50:00,22.39,-43.45,7.82,,,,,
241,02/10/2023 17:00:00,22.37,-42.70,7.80,,,,,
242,02/10/2023 17:10:00,22.35,-42.11,7.79,,,,,
243,02/10/2023 17:20:00,22.35,-42.14,7.79,,,,,
244,02/10/2023 17:30:00,22.35,-41.92,7.79,,,,,
245,02/10/2023 17:40:00,22.32,-41.50,7.78,,,,,
246,02/10/2023 17:50:00,22.32,-40.75,7.77,,,,,
247,02/10/2023 18:00:00,22.32,-41.25,7.77,,,,,
248,02/10/2023 18:10:00,22.30,-40.69,7.76,,,,,
249,02/10/2023 18:20:00,22.27,-41.11,7.77,,,,,
250,02/10/2023 18:30:00,22.25,-41.33,7.78,,,,,
251,02/10/2023 18:40:00,22.23,-40.58,7.76,,,,,
252,02/10/2023 18:50:00,22.23,-39.63,7.74,,,,,
253,02/10/2023 19:00:00,22.20,-39.75,7.75,,,,,
254,02/10/2023 19:10:00,22.20,-39.55,7.74,,,,,
255,02/10/2023 19:20:00,22.18,-39.56,7.74,,,,,
256,02/10/2023 19:30:00,22.18,-38.89,7.73,,,,,
257,02/10/2023 19:40:00,22.18,-39.13,7.74,,,,,
258,02/10/2023 19:50:00,22.15,-39.47,7.74,,,,,
259,02/10/2023 20:00:00,22.15,-38.97,7.73,,,,,
260,02/10/2023 20:10:00,22.13,-38.86,7.73,,,,,
261,02/10/2023 20:20:00,22.13,-39.06,7.73,,,,,
262,02/10/2023 20:30:00,22.11,-39.00,7.73,,,,,
263,02/10/2023 20:40:00,22.11,-38.70,7.73,,,,,
264,02/10/2023 20:50:00,22.11,-38.42,7.72,,,,,
265,02/10/2023 21:00:00,22.08,-38.63,7.73,,,,,
266,02/10/2023 21:10:00,22.08,-38.36,7.72,,,,,
267,02/10/2023 21:20:00,22.06,-37.94,7.71,,,,,
268,02/10/2023 21:30:00,22.06,-38.13,7.72,,,,,
269,02/10/2023 21:40:00,22.03,-38.03,7.72,,,,,
270,02/10/2023 21:50:00,22.03,-38.03,7.72,,,,,
271,02/10/2023 22:00:00,22.03,-38.05,7.72,,,,,
272,02/10/2023 22:10:00,22.01,-38.05,7.72,,,,,
273,02/10/2023 22:20:00,22.01,-37.95,7.71,,,,,
274,02/10/2023 22:30:00,22.01,-37.91,7.71,,,,,
275,02/10/2023 22:40:00,22.01,-37.64,7.71,,,,,
276,02/10/2023 22:50:00,21.99,-37.36,7.70,,,,,
277,02/10/2023 23:00:00,21.99,-37.55,7.71,,,,,
278,02/10/2023 23:10:00,21.96,-37.53,7.71,,,,,
279,02/10/2023 23:20:00,21.96,-37.36,7.70,,,,,
280,02/10/2023 23:30:00,21.94,-36.80,7.69,,,,,
281,02/10/2023 23:40:00,21.94,-37.20,7.70,,,,,
282,02/10/2023 23:50:00,21.91,-37.24,7.70,,,,,
283,02/11/2023 00:00:00,21.91,-36.59,7.69,,,,,
284,02/11/2023 00:10:00,21.91,-36.44,7.69,,,,,
285,02/11/2023 00:20:00,21.91,-36.41,7.69,,,,,
286,02/11/2023 00:30:00,21.89,-36.53,7.69,,,,,
287,02/11/2023 00:40:00,21.89,-36.36,7.68,,,,,
288,02/11/2023 00:50:00,21.87,-36.20,7.68,,,,,
289,02/11/2023 01:00:00,21.87,-36.14,7.68,,,,,
290,02/11/2023 01:10:00,21.87,-36.06,7.68,,,,,
291,02/11/2023 01:20:00,21.84,-36.06,7.68,,,,,
292,02/11/2023 01:30:00,21.84,-35.94,7.68,,,,,
293,02/11/2023 01:40:00,21.84,-35.78,7.67,,,,,
294,02/11/2023 01:50:00,21.84,-35.66,7.67,,,,,
295,02/11/2023 02:00:00,21.82,-35.70,7.67,,,,,
296,02/11/2023 02:10:00,21.82,-35.72,7.67,,,,,
297,02/11/2023 02:20:00,21.82,-35.78,7.67,,,,,
298,02/11/2023 02:30:00,21.82,-35.83,7.67,,,,,
299,02/11/2023 02:40:00,21.80,-35.80,7.67,,,,,
300,02/11/2023 02:50:00,21.80,-35.92,7.68,,,,,
301,02/11/2023 03:00:00,21.80,-36.16,7.68,,,,,
302,02/11/2023 03:10:00,21.80,-36.36,7.68,,,,,
303,02/11/2023 03:20:00,21.77,-36.50,7.69,,,,,
304,02/11/2023 03:30:00,21.77,-36.24,7.68,,,,,
305,02/11/2023 03:40:00,21.77,-36.36,7.68,,,,,
306,02/11/2023 03:50:00,21.75,-36.31,7.68,,,,,
307,02/11/2023 04:00:00,21.75,-36.03,7.68,,,,,
308,02/11/2023 04:10:00,21.75,-35.84,7.68,,,,,
309,02/11/2023 04:20:00,21.75,-35.97,7.68,,,,,
310,02/11/2023 04:30:00,21.75,-35.81,7.67,,,,,
311,02/11/2023 04:40:00,21.75,-35.61,7.67,,,,,
312,02/11/2023 04:50:00,21.75,-35.42,7.67,,,,,
313,02/11/2023 05:00:00,21.75,-35.66,7.67,,,,,
314,02/11/2023 05:10:00,21.75,-35.67,7.67,,,,,
315,02/11/2023 05:20:00,21.75,-35.41,7.67,,,,,
316,02/11/2023 05:30:00,21.75,-35.34,7.67,,,,,
317,02/11/2023 05:40:00,21.75,-35.69,7.67,,,,,
318,02/11/2023 05:50:00,21.75,-35.30,7.67,,,,,
319,02/11/2023 06:00:00,21.75,-35.30,7.67,,,,,
320,02/11/2023 06:10:00,21.77,-34.69,7.65,,,,,
321,02/11/2023 06:20:00,21.77,-34.19,7.64,,,,,
322,02/11/2023 06:30:00,21.77,-34.41,7.65,,,,,
323,02/11/2023 06:40:00,21.80,-34.53,7.65,,,,,
324,02/11/2023 06:50:00,21.80,-34.50,7.65,,,,,
325,02/11/2023 07:00:00,21.82,-34.45,7.65,,,,,
326,02/11/2023 07:10:00,21.82,-33.95,7.64,,,,,
327,02/11/2023 07:20:00,21.82,-34.74,7.65,,,,,
328,02/11/2023 07:30:00,21.82,-34.41,7.65,,,,,
329,02/11/2023 07:40:00,21.82,-35.09,7.66,,,,,
330,02/11/2023 07:50:00,21.82,-35.06,7.66,,,,,
331,02/11/2023 08:00:00,21.82,-34.86,7.66,,,,,
332,02/11/2023 08:10:00,21.82,-35.53,7.67,,,,,
333,02/11/2023 08:20:00,21.82,-35.58,7.67,,,,,
334,02/11/2023 08:30:00,21.82,-35.20,7.66,,,,,
335,02/11/2023 08:40:00,21.82,-35.39,7.67,,,,,
336,02/11/2023 08:50:00,21.82,-35.20,7.66,,,,,
337,02/11/2023 09:00:00,21.82,-36.06,7.68,,,,,
338,02/11/2023 09:10:00,21.82,-36.20,7.68,,,,,
339,02/11/2023 09:20:00,21.84,-35.05,7.66,,,,,
340,02/11/2023 09:30:00,21.84,-36.49,7.69,,,,,
341,02/11/2023 09:40:00,21.82,-37.16,7.70,,,,,
342,02/11/2023 09:50:00,21.84,-35.84,7.68,,,,,
343,02/11/2023 10:00:00,21.82,-36.63,7.69,,,,,
344,02/11/2023 10:10:00,21.84,-37.30,7.70,,,,,
345,02/11/2023 10:20:00,21.84,-37.49,7.71,,,,,
346,02/11/2023 10:30:00,21.84,-37.50,7.71,,,,,
347,02/11/2023 10:40:00,21.87,-37.34,7.70,,,,,
348,02/11/2023 10:50:00,21.87,-35.39,7.67,,,,,
349,02/11/2023 11:00:00,21.89,-35.28,7.66,,,,,
350,02/11/2023 11:10:00,21.91,-36.52,7.69,,,,,
351,02/11/2023 11:20:00,21.91,-38.20,7.72,,,,,
352,02/11/2023 11:30:00,21.94,-39.55,7.74,,,,,
353,02/11/2023 11:40:00,21.96,-40.74,7.77,,,,,
354,02/11/2023 11:50:00,21.99,-40.30,7.76,,,,,
355,02/11/2023 12:00:00,21.99,-40.61,7.76,,,,,
356,02/11/2023 12:10:00,22.01,-41.49,7.78,,,,,
357,02/11/2023 12:20:00,22.03,-41.64,7.78,,,,,
358,02/11/2023 12:30:00,22.03,-39.97,7.75,,,,,
359,02/11/2023 12:40:00,22.06,-39.89,7.75,,,,,
360,02/11/2023 12:50:00,22.08,-38.47,7.72,,,,,
361,02/11/2023 13:00:00,22.13,-40.99,7.77,,,,,
362,02/11/2023 13:10:00,22.13,-42.13,7.79,,,,,
363,02/11/2023 13:20:00,22.15,-42.08,7.79,,,,,
364,02/11/2023 13:30:00,22.18,-44.38,7.83,,,,,
365,02/11/2023 13:40:00,22.20,-47.94,7.90,,,,,
366,02/11/2023 13:50:00,22.27,-50.24,7.94,,,,,
367,02/11/2023 14:00:00,22.30,-51.33,7.96,,,,,
368,02/11/2023 14:10:00,22.35,-53.50,8.00,,,,,
369,02/11/2023 14:20:00,22.35,-53.81,8.01,,,,,
370,02/11/2023 14:30:00,22.37,-53.33,8.00,,,,,
371,02/11/2023 14:40:00,22.37,-52.41,7.98,,,,,
372,02/11/2023 14:50:00,22.39,-51.33,7.96,,,,,
373,02/11/2023 15:00:00,22.42,-51.38,7.96,,,,,
374,02/11/2023 15:10:00,22.47,-55.39,8.04,,,,,
375,02/11/2023 15:20:00,22.49,-55.16,8.03,,,,,
376,02/11/2023 15:30:00,22.44,-51.39,7.96,,,,,
377,02/11/2023 15:40:00,22.42,-51.20,7.96,,,,,
378,02/11/2023 15:50:00,22.44,-49.78,7.93,,,,,
379,02/11/2023 16:00:00,22.42,-48.05,7.90,,,,,
380,02/11/2023 16:10:00,22.44,-47.80,7.90,,,,,
381,02/11/2023 16:20:00,22.44,-46.83,7.88,,,,,
382,02/11/2023 16:30:00,22.44,-47.41,7.89,,,,,
383,02/11/2023 16:40:00,22.42,-46.94,7.88,,,,,
384,02/11/2023 16:50:00,22.44,-46.49,7.87,,,,,
385,02/11/2023 17:00:00,22.42,-46.45,7.87,,,,,
386,02/11/2023 17:10:00,22.42,-45.39,7.85,,,,,
387,02/11/2023 17:20:00,22.39,-45.44,7.85,,,,,
388,02/11/2023 17:30:00,22.39,-44.95,7.84,,,,,
389,02/11/2023 17:40:00,22.39,-45.06,7.85,,,,,
390,02/11/2023 17:50:00,22.37,-44.14,7.83,,,,,
391,02/11/2023 18:00:00,22.37,-43.13,7.81,,,,,
392,02/11/2023 18:10:00,22.35,-42.19,7.79,,,,,
393,02/11/2023 18:20:00,22.35,-41.30,7.78,,,,,
394,02/11/2023 18:30:00,22.32,-41.05,7.77,,,,,
395,02/11/2023 18:40:00,22.32,-40.66,7.76,,,,,
396,02/11/2023 18:50:00,22.30,-40.27,7.76,,,,,
397,02/11/2023 19:00:00,22.27,-39.75,7.75,,,,,
398,02/11/2023 19:10:00,22.25,-40.50,7.76,,,,,
399,02/11/2023 19:20:00,22.25,-40.55,7.76,,,,,
400,02/11/2023 19:30:00,22.23,-40.56,7.76,,,,,
401,02/11/2023 19:40:00,22.20,-39.80,7.75,,,,,
402,02/11/2023 19:50:00,22.20,-39.70,7.75,,,,,
403,02/11/2023 20:00:00,22.20,-39.88,7.75,,,,,
404,02/11/2023 20:10:00,22.18,-39.24,7.74,,,,,
405,02/11/2023 20:20:00,22.18,-38.67,7.73,,,,,
406,02/11/2023 20:30:00,22.18,-38.86,7.73,,,,,
407,02/11/2023 20:40:00,22.18,-38.14,7.72,,,,,
408,02/11/2023 20:50:00,22.15,-37.74,7.71,,,,,
409,02/11/2023 21:00:00,22.15,-37.44,7.70,,,,,
410,02/11/2023 21:10:00,22.15,-38.09,7.72,,,,,
411,02/11/2023 21:20:00,22.15,-37.91,7.71,,,,,
412,02/11/2023 21:30:00,22.15,-37.83,7.71,,,,,
413,02/11/2023 21:40:00,22.15,-37.66,7.71,,,,,
414,02/11/2023 21:50:00,22.15,-37.33,7.70,,,,,
415,02/11/2023 22:00:00,22.15,-37.13,7.70,,,,,
416,02/11/2023 22:10:00,22.15,-37.03,7.70,,,,,
417,02/11/2023 22:20:00,22.13,-37.09,7.70,,,,,
418,02/11/2023 22:30:00,22.13,-36.99,7.70,,,,,
419,02/11/2023 22:40:00,22.13,-36.80,7.69,,,,,
420,02/11/2023 22:50:00,22.11,-36.44,7.69,,,,,
