#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,End of File
40,07/31/2025 07:30:00,22.39,178.52,3.51,,,,,
41,07/31/2025 07:40:00,22.39,178.52,3.51,,,,,
42,07/31/2025 07:50:00,22.42,178.52,3.51,,,,,
43,07/31/2025 08:00:00,22.37,178.52,3.51,,,,,
44,07/31/2025 08:10:00,22.37,178.51,3.51,,,,,
45,07/31/2025 08:20:00,22.35,178.51,3.51,,,,,
46,07/31/2025 08:30:00,22.25,178.46,3.51,,,,,
47,07/31/2025 08:40:00,22.80,178.60,3.51,,,,,
48,07/31/2025 08:50:00,23.71,178.71,3.52,,,,,
49,07/31/2025 09:00:00,24.80,178.94,3.53,,,,,
50,07/31/2025 09:10:00,28.07,179.82,3.55,,,,,
51,07/31/2025 09:20:00,28.27,179.97,3.55,,,,,
52,07/31/2025 09:30:00,28.49,180.16,3.55,,,,,
53,07/31/2025 09:40:00,29.36,180.40,3.56,,,,,
54,07/31/2025 09:50:00,29.54,180.47,3.56,,,,,
55,07/31/2025 10:00:00,30.07,180.72,3.56,,,,,
56,07/31/2025 10:10:00,30.14,180.83,3.56,,,,,
57,07/31/2025 10:20:00,28.07,-30.11,7.49,,,,,
58,07/31/2025 10:30:00,27.11,-30.17,7.50,,,,,
59,07/31/2025 10:40:00,26.89,-30.97,7.51,,,,,
60,07/31/2025 10:50:00,26.87,-32.13,7.53,,,,,
61,07/31/2025 11:00:00,26.92,-32.64,7.54,,,,,
62,07/31/2025 11:10:00,26.96,-33.58,7.56,,,,,
63,07/31/2025 11:20:00,27.06,-34.00,7.57,,,,,
64,07/31/2025 11:30:00,27.14,-34.42,7.58,,,,,
65,07/31/2025 11:40:00,27.19,-35.03,7.59,,,,,
66,07/31/2025 11:50:00,27.23,-35.27,7.59,,,,,
67,07/31/2025 12:00:00,27.26,-36.27,7.61,,,,,
68,07/31/2025 12:10:00,27.33,-36.50,7.62,,,,,
69,07/31/2025 12:20:00,27.38,-36.80,7.62,,,,,
70,07/31/2025 12:30:00,27.48,-37.19,7.63,,,,,
71,07/31/2025 12:40:00,27.63,-37.91,7.64,,,,,
72,07/31/2025 12:50:00,27.70,-38.25,7.65,,,,,
73,07/31/2025 13:00:00,27.80,-38.88,7.66,,,,,
74,07/31/2025 13:10:00,27.85,-39.81,7.68,,,,,
75,07/31/2025 13:20:00,27.87,-39.97,7.68,,,,,
76,07/31/2025 13:30:00,27.97,-40.25,7.68,,,,,
77,07/31/2025 13:40:00,28.07,-40.44,7.69,,,,,
78,07/31/2025 13:50:00,28.12,-41.35,7.70,,,,,
79,07/31/2025 14:00:00,28.22,-42.03,7.72,,,,,
80,07/31/2025 14:10:00,28.30,-41.80,7.71,,,,,
81,07/31/2025 14:20:00,28.37,-42.31,7.72,,,,,
82,07/31/2025 14:30:00,28.42,-42.95,7.73,,,,,
83,07/31/2025 14:40:00,28.52,-43.11,7.74,,,,,
84,07/31/2025 14:50:00,28.62,-43.67,7.75,,,,,
85,07/31/2025 15:00:00,28.59,-43.53,7.74,,,,,
86,07/31/2025 15:10:00,28.64,-44.19,7.76,,,,,
87,07/31/2025 15:20:00,28.74,-44.35,7.76,,,,,
88,07/31/2025 15:30:00,28.82,-44.77,7.77,,,,,
89,07/31/2025 15:40:00,28.87,-44.86,7.77,,,,,
90,07/31/2025 15:50:00,28.94,-45.88,7.79,,,,,
91,07/31/2025 16:00:00,28.97,-45.64,7.78,,,,,
92,07/31/2025 16:10:00,28.99,-46.24,7.79,,,,,
93,07/31/2025 16:20:00,28.97,-46.02,7.79,,,,,
94,07/31/2025 16:30:00,28.94,-45.55,7.78,,,,,
95,07/31/2025 16:40:00,28.92,-45.28,7.78,,,,,
96,07/31/2025 16:50:00,28.92,-44.50,7.76,,,,,
97,07/31/2025 17:00:00,28.89,-44.85,7.77,,,,,
98,07/31/2025 17:10:00,28.87,-44.47,7.76,,,,,
99,07/31/2025 17:20:00,28.84,-45.06,7.77,,,,,
100,07/31/2025 17:30:00,28.82,-45.02,7.77,,,,,
101,07/31/2025 17:40:00,28.77,-44.66,7.77,,,,,
102,07/31/2025 17:50:00,28.74,-44.28,7.76,,,,,
103,07/31/2025 18:00:00,28.69,-44.74,7.77,,,,,
104,07/31/2025 18:10:00,28.64,-44.52,7.76,,,,,
105,07/31/2025 18:20:00,28.57,-44.69,7.77,,,,,
106,07/31/2025 18:30:00,28.52,-43.85,7.75,,,,,
107,07/31/2025 18:40:00,28.47,-43.08,7.74,,,,,
108,07/31/2025 18:50:00,28.42,-43.36,7.74,,,,,
109,07/31/2025 19:00:00,28.37,-42.06,7.72,,,,,
110,07/31/2025 19:10:00,28.32,-42.03,7.72,,,,,
111,07/31/2025 19:20:00,28.27,-42.00,7.72,,,,,
112,07/31/2025 19:30:00,28.22,-40.69,7.69,,,,,
113,07/31/2025 19:40:00,28.17,-39.59,7.67,,,,,
114,07/31/2025 19:50:00,28.15,-38.61,7.65,,,,,
115,07/31/2025 20:00:00,28.12,-38.66,7.65,,,,,
116,07/31/2025 20:10:00,28.07,-38.33,7.65,,,,,
117,07/31/2025 20:20:00,28.05,-37.70,7.64,,,,,
118,07/31/2025 20:30:00,27.97,-38.33,7.65,,,,,
119,07/31/2025 20:40:00,27.92,-37.81,7.64,,,,,
120,07/31/2025 20:50:00,27.87,-37.83,7.64,,,,,
121,07/31/2025 21:00:00,27.85,-37.97,7.64,,,,,
122,07/31/2025 21:10:00,27.83,-37.55,7.63,,,,,
123,07/31/2025 21:20:00,27.75,-37.69,7.64,,,,,
124,07/31/2025 21:30:00,27.73,-37.49,7.63,,,,,
125,07/31/2025 21:40:00,27.68,-37.56,7.63,,,,,
126,07/31/2025 21:50:00,27.65,-37.16,7.63,,,,,
127,07/31/2025 22:00:00,27.60,-36.84,7.62,,,,,
128,07/31/2025 22:10:00,27.58,-36.74,7.62,,,,,
129,07/31/2025 22:20:00,27.55,-36.42,7.61,,,,,
130,07/31/2025 22:30:00,27.53,-35.83,7.60,,,,,
131,07/31/2025 22:40:00,27.48,-35.74,7.60,,,,,
132,07/31/2025 22:50:00,27.43,-35.25,7.59,,,,,
133,07/31/2025 23:00:00,27.41,-35.70,7.60,,,,,
134,07/31/2025 23:10:00,27.38,-35.52,7.60,,,,,
135,07/31/2025 23:20:00,27.36,-34.84,7.58,,,,,
136,07/31/2025 23:30:00,27.31,-35.05,7.59,,,,,
137,07/31/2025 23:40:00,27.28,-34.74,7.58,,,,,
138,07/31/2025 23:50:00,27.26,-34.75,7.58,,,,,
139,08/01/2025 00:00:00,27.21,-34.77,7.58,,,,,
140,08/01/2025 00:10:00,27.21,-34.41,7.58,,,,,
141,08/01/2025 00:20:00,27.16,-34.56,7.58,,,,,
142,08/01/2025 00:30:00,27.14,-34.52,7.58,,,,,
143,08/01/2025 00:40:00,27.11,-34.31,7.57,,,,,
144,08/01/2025 00:50:00,27.09,-33.75,7.56,,,,,
145,08/01/2025 01:00:00,27.06,-33.86,7.57,,,,,
146,08/01/2025 01:10:00,27.01,-33.74,7.56,,,,,
147,08/01/2025 01:20:00,26.99,-33.70,7.56,,,,,
148,08/01/2025 01:30:00,26.94,-33.30,7.56,,,,,
149,08/01/2025 01:40:00,26.92,-33.33,7.56,,,,,
150,08/01/2025 01:50:00,26.89,-32.91,7.55,,,,,
151,08/01/2025 02:00:00,26.87,-32.92,7.55,,,,,
152,08/01/2025 02:10:00,26.82,-33.16,7.55,,,,,
153,08/01/2025 02:20:00,26.79,-32.80,7.55,,,,,
154,08/01/2025 02:30:00,26.77,-32.39,7.54,,,,,
155,08/01/2025 02:40:00,26.72,-32.81,7.55,,,,,
156,08/01/2025 02:50:00,26.70,-32.67,7.54,,,,,
157,08/01/2025 03:00:00,26.65,-32.38,7.54,,,,,
158,08/01/2025 03:10:00,26.62,-32.33,7.54,,,,,
159,08/01/2025 03:20:00,26.60,-32.22,7.54,,,,,
160,08/01/2025 03:30:00,26.55,-32.24,7.54,,,,,
161,08/01/2025 03:40:00,26.55,-32.11,7.53,,,,,
162,08/01/2025 03:50:00,26.50,-31.69,7.53,,,,,
163,08/01/2025 04:00:00,26.48,-31.94,7.53,,,,,
164,08/01/2025 04:10:00,26.45,-31.63,7.53,,,,,
165,08/01/2025 04:20:00,26.43,-31.91,7.53,,,,,
166,08/01/2025 04:30:00,26.40,-31.49,7.52,,,,,
167,08/01/2025 04:40:00,26.38,-31.38,7.52,,,,,
168,08/01/2025 04:50:00,26.35,-31.39,7.52,,,,,
169,08/01/2025 05:00:00,26.35,-31.28,7.52,,,,,
170,08/01/2025 05:10:00,26.33,-31.22,7.52,,,,,
171,08/01/2025 05:20:00,26.28,-31.52,7.52,,,,,
172,08/01/2025 05:30:00,26.26,-31.38,7.52,,,,,
173,08/01/2025 05:40:00,26.23,-31.16,7.52,,,,,
174,08/01/2025 05:50:00,26.21,-31.17,7.52,,,,,
175,08/01/2025 06:00:00,26.18,-31.11,7.52,,,,,
176,08/01/2025 06:10:00,26.16,-31.03,7.51,,,,,
177,08/01/2025 06:20:00,26.13,-31.00,7.51,,,,,
178,08/01/2025 06:30:00,26.11,-30.80,7.51,,,,,
179,08/01/2025 06:40:00,26.08,-30.63,7.51,,,,,
180,08/01/2025 06:50:00,26.06,-30.63,7.51,,,,,
181,08/01/2025 07:00:00,26.04,-30.97,7.51,,,,,
182,08/01/2025 07:10:00,26.04,-30.70,7.51,,,,,
183,08/01/2025 07:20:00,26.04,-30.67,7.51,,,,,
184,08/01/2025 07:30:00,25.99,-31.09,7.52,,,,,
185,08/01/2025 07:40:00,25.99,-31.00,7.51,,,,,
186,08/01/2025 07:50:00,25.96,-31.06,7.52,,,,,
187,08/01/2025 08:00:00,25.96,-31.14,7.52,,,,,
188,08/01/2025 08:10:00,25.96,-31.55,7.52,,,,,
189,08/01/2025 08:20:00,25.96,-31.47,7.52,,,,,
190,08/01/2025 08:30:00,25.96,-31.58,7.53,,,,,
191,08/01/2025 08:40:00,25.96,-31.77,7.53,,,,,
192,08/01/2025 08:50:00,25.96,-31.99,7.53,,,,,
193,08/01/2025 09:00:00,25.96,-32.09,7.54,,,,,
194,08/01/2025 09:10:00,25.99,-32.44,7.54,,,,,
195,08/01/2025 09:20:00,26.01,-32.64,7.55,,,,,
196,08/01/2025 09:30:00,26.06,-32.99,7.55,,,,,
197,08/01/2025 09:40:00,26.11,-33.02,7.55,,,,,
198,08/01/2025 09:50:00,26.13,-33.06,7.55,,,,,
199,08/01/2025 10:00:00,26.18,-33.94,7.57,,,,,
200,08/01/2025 10:10:00,26.23,-34.30,7.58,,,,,
201,08/01/2025 10:20:00,26.35,-34.53,7.58,,,,,
202,08/01/2025 10:30:00,26.43,-34.94,7.59,,,,,
203,08/01/2025 10:40:00,26.55,-36.06,7.61,,,,,
204,08/01/2025 10:50:00,26.65,-36.72,7.62,,,,,
205,08/01/2025 11:00:00,26.77,-36.84,7.62,,,,,
206,08/01/2025 11:10:00,26.89,-37.27,7.63,,,,,
207,08/01/2025 11:20:00,26.99,-37.86,7.64,,,,,
208,08/01/2025 11:30:00,27.11,-38.42,7.65,,,,,
209,08/01/2025 11:40:00,27.23,-39.69,7.68,,,,,
210,08/01/2025 11:50:00,27.28,-39.77,7.68,,,,,
211,08/01/2025 12:00:00,27.36,-40.30,7.69,,,,,
212,08/01/2025 12:10:00,27.43,-40.36,7.69,,,,,
213,08/01/2025 12:20:00,27.51,-40.05,7.68,,,,,
214,08/01/2025 12:30:00,27.60,-40.41,7.69,,,,,
215,08/01/2025 12:40:00,27.75,-41.25,7.70,,,,,
216,08/01/2025 12:50:00,27.87,-41.25,7.70,,,,,
217,08/01/2025 13:00:00,27.95,-41.72,7.71,,,,,
218,08/01/2025 13:10:00,28.07,-42.70,7.73,,,,,
219,08/01/2025 13:20:00,28.17,-42.58,7.73,,,,,
220,08/01/2025 13:30:00,28.27,-41.78,7.71,,,,,
221,08/01/2025 13:40:00,28.30,-42.08,7.72,,,,,
222,08/01/2025 13:50:00,28.34,-43.17,7.74,,,,,
223,08/01/2025 14:00:00,28.42,-43.39,7.74,,,,,
224,08/01/2025 14:10:00,28.54,-43.42,7.74,,,,,
225,08/01/2025 14:20:00,28.59,-43.58,7.75,,,,,
226,08/01/2025 14:30:00,28.69,-44.97,7.77,,,,,
227,08/01/2025 14:40:00,28.77,-44.85,7.77,,,,,
228,08/01/2025 14:50:00,28.84,-45.00,7.77,,,,,
229,08/01/2025 15:00:00,28.87,-44.58,7.76,,,,,
230,08/01/2025 15:10:00,28.97,-44.67,7.77,,,,,
231,08/01/2025 15:20:00,28.99,-44.64,7.76,,,,,
232,08/01/2025 15:30:00,28.97,-44.99,7.77,,,,,
233,08/01/2025 15:40:00,29.04,-44.74,7.77,,,,,
234,08/01/2025 15:50:00,29.04,-43.94,7.75,,,,,
235,08/01/2025 16:00:00,29.02,-44.52,7.76,,,,,
236,08/01/2025 16:10:00,29.02,-44.33,7.76,,,,,
237,08/01/2025 16:20:00,29.07,-44.08,7.75,,,,,
238,08/01/2025 16:30:00,29.14,-44.86,7.77,,,,,
239,08/01/2025 16:40:00,29.14,-44.69,7.77,,,,,
240,08/01/2025 16:50:00,29.14,-44.38,7.76,,,,,
241,08/01/2025 17:00:00,29.14,-45.28,7.78,,,,,
242,08/01/2025 17:10:00,29.09,-44.99,7.77,,,,,
243,08/01/2025 17:20:00,29.09,-43.99,7.75,,,,,
244,08/01/2025 17:30:00,29.07,-44.19,7.76,,,,,
245,08/01/2025 17:40:00,29.02,-43.58,7.74,,,,,
246,08/01/2025 17:50:00,28.97,-43.49,7.74,,,,,
247,08/01/2025 18:00:00,28.92,-43.25,7.74,,,,,
248,08/01/2025 18:10:00,28.89,-42.49,7.72,,,,,
249,08/01/2025 18:20:00,28.84,-41.80,7.71,,,,,
250,08/01/2025 18:30:00,28.82,-41.30,7.70,,,,,
251,08/01/2025 18:40:00,28.77,-41.03,7.70,,,,,
252,08/01/2025 18:50:00,28.74,-40.55,7.69,,,,,
253,08/01/2025 19:00:00,28.69,-39.02,7.66,,,,,
254,08/01/2025 19:10:00,28.64,-38.83,7.66,,,,,
255,08/01/2025 19:20:00,28.59,-38.39,7.65,,,,,
256,08/01/2025 19:30:00,28.54,-37.69,7.64,,,,,
257,08/01/2025 19:40:00,28.52,-37.45,7.63,,,,,
258,08/01/2025 19:50:00,28.44,-37.28,7.63,,,,,
259,08/01/2025 20:00:00,28.42,-36.95,7.62,,,,,
260,08/01/2025 20:10:00,28.34,-37.09,7.62,,,,,
261,08/01/2025 20:20:00,28.30,-36.83,7.62,,,,,
262,08/01/2025 20:30:00,28.25,-36.83,7.62,,,,,
263,08/01/2025 20:40:00,28.17,-36.53,7.61,,,,,
264,08/01/2025 20:50:00,28.12,-36.44,7.61,,,,,
265,08/01/2025 21:00:00,28.07,-36.53,7.61,,,,,
266,08/01/2025 21:10:00,28.02,-36.20,7.61,,,,,
267,08/01/2025 21:20:00,28.00,-35.91,7.60,,,,,
268,08/01/2025 21:30:00,27.95,-35.88,7.60,,,,,
269,08/01/2025 21:40:00,27.90,-35.50,7.60,,,,,
270,08/01/2025 21:50:00,27.87,-35.38,7.59,,,,,
271,08/01/2025 22:00:00,27.83,-35.27,7.59,,,,,
272,08/01/2025 22:10:00,27.78,-35.11,7.59,,,,,
273,08/01/2025 22:20:00,27.75,-34.52,7.58,,,,,
274,08/01/2025 22:30:00,27.73,-34.33,7.57,,,,,
275,08/01/2025 22:40:00,27.68,-34.47,7.58,,,,,
276,08/01/2025 22:50:00,27.65,-34.44,7.58,,,,,
277,08/01/2025 23:00:00,27.63,-34.56,7.58,,,,,
278,08/01/2025 23:10:00,27.58,-34.22,7.57,,,,,
279,08/01/2025 23:20:00,27.55,-34.00,7.57,,,,,
280,08/01/2025 23:30:00,27.53,-33.70,7.56,,,,,
281,08/01/2025 23:40:00,27.51,-33.44,7.56,,,,,
282,08/01/2025 23:50:00,27.46,-33.34,7.56,,,,,
283,08/02/2025 00:00:00,27.43,-33.20,7.55,,,,,
284,08/02/2025 00:10:00,27.41,-32.95,7.55,,,,,
285,08/02/2025 00:20:00,27.36,-33.09,7.55,,,,,
286,08/02/2025 00:30:00,27.33,-32.56,7.54,,,,,
287,08/02/2025 00:40:00,27.28,-32.53,7.54,,,,,
288,08/02/2025 00:50:00,27.26,-32.44,7.54,,,,,
289,08/02/2025 01:00:00,27.23,-32.19,7.53,,,,,
290,08/02/2025 01:10:00,27.21,-32.05,7.53,,,,,
291,08/02/2025 01:20:00,27.16,-31.97,7.53,,,,,
292,08/02/2025 01:30:00,27.14,-32.05,7.53,,,,,
293,08/02/2025 01:40:00,27.11,-31.94,7.53,,,,,
294,08/02/2025 01:50:00,27.09,-31.83,7.53,,,,,
295,08/02/2025 02:00:00,27.06,-31.50,7.52,,,,,
296,08/02/2025 02:10:00,27.04,-31.20,7.52,,,,,
297,08/02/2025 02:20:00,26.99,-31.17,7.52,,,,,
298,08/02/2025 02:30:00,26.96,-31.20,7.52,,,,,
299,08/02/2025 02:40:00,26.94,-31.44,7.52,,,,,
300,08/02/2025 02:50:00,26.92,-31.36,7.52,,,,,
301,08/02/2025 03:00:00,26.87,-31.22,7.52,,,,,
302,08/02/2025 03:10:00,26.84,-31.19,7.52,,,,,
303,08/02/2025 03:20:00,26.79,-31.20,7.52,,,,,
304,08/02/2025 03:30:00,26.77,-30.89,7.51,,,,,
305,08/02/2025 03:40:00,26.74,-30.81,7.51,,,,,
306,08/02/2025 03:50:00,26.70,-31.11,7.52,,,,,
307,08/02/2025 04:00:00,26.67,-30.77,7.51,,,,,
308,08/02/2025 04:10:00,26.65,-30.66,7.51,,,,,
309,08/02/2025 04:20:00,26.62,-30.91,7.51,,,,,
310,08/02/2025 04:30:00,26.57,-31.05,7.51,,,,,
311,08/02/2025 04:40:00,26.55,-30.84,7.51,,,,,
312,08/02/2025 04:50:00,26.50,-30.55,7.50,,,,,
313,08/02/2025 05:00:00,26.48,-30.74,7.51,,,,,
314,08/02/2025 05:10:00,26.45,-30.36,7.50,,,,,
315,08/02/2025 05:20:00,26.43,-30.41,7.50,,,,,
316,08/02/2025 05:30:00,26.40,-30.59,7.51,,,,,
317,08/02/2025 05:40:00,26.38,-30.44,7.50,,,,,
318,08/02/2025 05:50:00,26.35,-30.14,7.50,,,,,
319,08/02/2025 06:00:00,26.30,-30.53,7.50,,,,,
320,08/02/2025 06:10:00,26.26,-30.47,7.50,,,,,
321,08/02/2025 06:20:00,26.23,-30.63,7.51,,,,,
322,08/02/2025 06:30:00,26.21,-30.67,7.51,,,,,
323,08/02/2025 06:40:00,26.18,-30.38,7.50,,,,,
324,08/02/2025 06:50:00,26.16,-30.39,7.50,,,,,
325,08/02/2025 07:00:00,26.16,-30.39,7.50,,,,,
326,08/02/2025 07:10:00,26.13,-30.19,7.50,,,,,
327,08/02/2025 07:20:00,26.13,-30.31,7.50,,,,,
328,08/02/2025 07:30:00,26.11,-30.45,7.50,,,,,
329,08/02/2025 07:40:00,26.11,-30.33,7.50,,,,,
330,08/02/2025 07:50:00,26.08,-30.42,7.50,,,,,
331,08/02/2025 08:00:00,26.11,-30.44,7.50,,,,,
332,08/02/2025 08:10:00,26.08,-30.52,7.51,,,,,
333,08/02/2025 08:20:00,26.08,-31.06,7.52,,,,,
334,08/02/2025 08:30:00,26.06,-31.50,7.52,,,,,
335,08/02/2025 08:40:00,26.06,-32.02,7.53,,,,,
336,08/02/2025 08:50:00,26.06,-31.70,7.53,,,,,
337,08/02/2025 09:00:00,26.06,-31.67,7.53,,,,,
338,08/02/2025 09:10:00,26.08,-31.97,7.53,,,,,
339,08/02/2025 09:20:00,26.13,-32.70,7.55,,,,,
340,08/02/2025 09:30:00,26.18,-32.64,7.55,,,,,
341,08/02/2025 09:40:00,26.21,-32.64,7.55,,,,,
342,08/02/2025 09:50:00,26.18,-32.66,7.55,,,,,
343,08/02/2025 10:00:00,26.21,-33.08,7.55,,,,,
344,08/02/2025 10:10:00,26.30,-33.83,7.57,,,,,
345,08/02/2025 10:20:00,26.40,-34.22,7.57,,,,,
346,08/02/2025 10:30:00,26.50,-34.44,7.58,,,,,
347,08/02/2025 10:40:00,26.60,-34.39,7.58,,,,,
348,08/02/2025 10:50:00,26.70,-34.95,7.59,,,,,
349,08/02/2025 11:00:00,26.82,-35.47,7.60,,,,,
350,08/02/2025 11:10:00,26.89,-36.47,7.62,,,,,
351,08/02/2025 11:20:00,26.99,-37.06,7.63,,,,,
352,08/02/2025 11:30:00,27.16,-38.19,7.65,,,,,
353,08/02/2025 11:40:00,27.28,-38.91,7.66,,,,,
354,08/02/2025 11:50:00,27.43,-39.19,7.67,,,,,
355,08/02/2025 12:00:00,27.55,-40.11,7.68,,,,,
356,08/02/2025 12:10:00,27.63,-40.66,7.69,,,,,
357,08/02/2025 12:20:00,27.75,-41.16,7.70,,,,,
358,08/02/2025 12:30:00,27.85,-41.45,7.71,,,,,
359,08/02/2025 12:40:00,27.95,-41.89,7.72,,,,,
360,08/02/2025 12:50:00,28.05,-42.22,7.72,,,,,
361,08/02/2025 13:00:00,28.15,-42.92,7.73,,,,,
362,08/02/2025 13:10:00,28.22,-42.44,7.73,,,,,
363,08/02/2025 13:20:00,28.27,-42.72,7.73,,,,,
364,08/02/2025 13:30:00,28.37,-42.61,7.73,,,,,
365,08/02/2025 13:40:00,28.44,-43.14,7.74,,,,,
366,08/02/2025 13:50:00,28.57,-43.85,7.75,,,,,
367,08/02/2025 14:00:00,28.67,-44.80,7.77,,,,,
368,08/02/2025 14:10:00,28.69,-44.52,7.76,,,,,
369,08/02/2025 14:20:00,28.74,-44.45,7.76,,,,,
370,08/02/2025 14:30:00,28.77,-44.19,7.76,,,,,
371,08/02/2025 14:40:00,28.87,-45.25,7.78,,,,,
372,08/02/2025 14:50:00,28.89,-44.72,7.77,,,,,
373,08/02/2025 15:00:00,28.92,-44.24,7.76,,,,,
374,08/02/2025 15:10:00,29.02,-45.02,7.77,,,,,
375,08/02/2025 15:20:00,29.09,-44.75,7.77,,,,,
376,08/02/2025 15:30:00,29.11,-44.94,7.77,,,,,
377,08/02/2025 15:40:00,29.11,-45.55,7.78,,,,,
378,08/02/2025 15:50:00,29.11,-44.75,7.77,,,,,
379,08/02/2025 16:00:00,29.11,-43.85,7.75,,,,,
380,08/02/2025 16:10:00,29.14,-43.85,7.75,,,,,
381,08/02/2025 16:20:00,29.09,-43.41,7.74,,,,,
382,08/02/2025 16:30:00,29.11,-43.50,7.74,,,,,
383,08/02/2025 16:40:00,29.09,-43.31,7.74,,,,,
384,08/02/2025 16:50:00,29.04,-42.97,7.73,,,,,
385,08/02/2025 17:00:00,28.99,-42.41,7.72,,,,,
386,08/02/2025 17:10:00,28.97,-42.64,7.73,,,,,
387,08/02/2025 17:20:00,28.87,-42.75,7.73,,,,,
388,08/02/2025 17:30:00,28.82,-42.41,7.72,,,,,
389,08/02/2025 17:40:00,28.74,-41.53,7.71,,,,,
390,08/02/2025 17:50:00,28.72,-41.27,7.70,,,,,
391,08/02/2025 18:00:00,28.67,-41.05,7.70,,,,,
392,08/02/2025 18:10:00,28.59,-40.61,7.69,,,,,
393,08/02/2025 18:20:00,28.52,-40.38,7.69,,,,,
394,08/02/2025 18:30:00,28.49,-39.50,7.67,,,,,
395,08/02/2025 18:40:00,28.47,-39.55,7.67,,,,,
396,08/02/2025 18:50:00,28.42,-39.25,7.67,,,,,
397,08/02/2025 19:00:00,28.37,-38.88,7.66,,,,,
398,08/02/2025 19:10:00,28.32,-38.94,7.66,,,,,
399,08/02/2025 19:20:00,28.27,-38.49,7.65,,,,,
400,08/02/2025 19:30:00,28.22,-37.86,7.64,,,,,
401,08/02/2025 19:40:00,28.20,-36.77,7.62,,,,,
402,08/02/2025 19:50:00,28.17,-36.72,7.62,,,,,
403,08/02/2025 20:00:00,28.15,-35.97,7.60,,,,,
404,08/02/2025 20:10:00,28.12,-35.86,7.60,,,,,
405,08/02/2025 20:20:00,28.10,-35.92,7.60,,,,,
406,08/02/2025 20:30:00,28.05,-35.97,7.60,,,,,
407,08/02/2025 20:40:00,28.00,-35.91,7.60,,,,,
408,08/02/2025 20:50:00,27.97,-35.75,7.60,,,,,
409,08/02/2025 21:00:00,27.90,-35.99,7.60,,,,,
410,08/02/2025 21:10:00,27.87,-36.03,7.61,,,,,
411,08/02/2025 21:20:00,27.83,-35.59,7.60,,,,,
412,08/02/2025 21:30:00,27.80,-35.16,7.59,,,,,
413,08/02/2025 21:40:00,27.78,-34.86,7.58,,,,,
414,08/02/2025 21:50:00,27.73,-34.50,7.58,,,,,
415,08/02/2025 22:00:00,27.68,-34.63,7.58,,,,,
416,08/02/2025 22:10:00,27.60,-34.45,7.58,,,,,
417,08/02/2025 22:20:00,27.55,-34.66,7.58,,,,,
418,08/02/2025 22:30:00,27.51,-34.59,7.58,,,,,
419,08/02/2025 22:40:00,27.43,-34.41,7.58,,,,,
420,08/02/2025 22:50:00,27.41,-34.16,7.57,,,,,
421,08/02/2025 23:00:00,27.33,-33.92,7.57,,,,,
422,08/02/2025 23:10:00,27.28,-34.06,7.57,,,,,
