#,Date et heure (HST),Température   (°C),Millivolts   (mv),pH   (pH),Démarré,Bouton Bas,Bouton Haut,Hôte connecté,Arrêté,Fin du fichier
144,11/23/2024 02:50:00,23.02,-40.58,7.39,,,,,,
145,11/23/2024 03:00:00,23.02,-40.74,7.40,,,,,,
146,11/23/2024 03:10:00,23.02,-40.47,7.39,,,,,,
147,11/23/2024 03:20:00,23.02,-40.58,7.39,,,,,,
148,11/23/2024 03:30:00,23.02,-40.41,7.39,,,,,,
149,11/23/2024 03:40:00,23.02,-40.33,7.39,,,,,,
150,11/23/2024 03:50:00,23.02,-40.33,7.39,,,,,,
151,11/23/2024 04:00:00,23.02,-40.22,7.39,,,,,,
152,11/23/2024 04:10:00,23.02,-40.42,7.39,,,,,,
153,11/23/2024 04:20:00,23.02,-40.30,7.39,,,,,,
154,11/23/2024 04:30:00,23.02,-40.36,7.39,,,,,,
155,11/23/2024 04:40:00,23.02,-40.20,7.39,,,,,,
156,11/23/2024 04:50:00,23.02,-40.09,7.38,,,,,,
157,11/23/2024 05:00:00,23.02,-40.09,7.38,,,,,,
158,11/23/2024 05:10:00,23.02,-39.97,7.38,,,,,,
159,11/23/2024 05:20:00,23.02,-39.95,7.38,,,,,,
160,11/23/2024 05:30:00,23.02,-40.00,7.38,,,,,,
161,11/23/2024 05:40:00,23.02,-40.06,7.38,,,,,,
162,11/23/2024 05:50:00,22.99,-40.00,7.38,,,,,,
163,11/23/2024 06:00:00,22.99,-39.80,7.38,,,,,,
164,11/23/2024 06:10:00,22.99,-40.16,7.39,,,,,,
165,11/23/2024 06:20:00,22.99,-40.11,7.38,,,,,,
166,11/23/2024 06:30:00,22.99,-39.97,7.38,,,,,,
167,11/23/2024 06:40:00,22.99,-40.09,7.38,,,,,,
168,11/23/2024 06:50:00,22.99,-39.70,7.38,,,,,,
169,11/23/2024 07:00:00,23.02,-39.08,7.37,,,,,,
170,11/23/2024 07:10:00,23.02,-39.00,7.37,,,,,,
171,11/23/2024 07:20:00,23.04,-39.16,7.37,,,,,,
172,11/23/2024 07:30:00,23.04,-39.06,7.37,,,,,,
173,11/23/2024 07:40:00,23.04,-38.92,7.36,,,,,,
174,11/23/2024 07:50:00,23.06,-39.00,7.37,,,,,,
175,11/23/2024 08:00:00,23.06,-38.83,7.36,,,,,,
176,11/23/2024 08:10:00,23.09,-38.92,7.36,,,,,,
177,11/23/2024 08:20:00,23.09,-38.95,7.36,,,,,,
178,11/23/2024 08:30:00,23.09,-39.00,7.37,,,,,,
179,11/23/2024 08:40:00,23.11,-38.99,7.36,,,,,,
180,11/23/2024 08:50:00,23.14,-38.99,7.36,,,,,,
181,11/23/2024 09:00:00,23.14,-39.09,7.37,,,,,,
182,11/23/2024 09:10:00,23.16,-39.27,7.37,,,,,,
183,11/23/2024 09:20:00,23.16,-39.39,7.37,,,,,,
184,11/23/2024 09:30:00,23.18,-39.56,7.38,,,,,,
185,11/23/2024 09:40:00,23.18,-39.61,7.38,,,,,,
186,11/23/2024 09:50:00,23.18,-39.70,7.38,,,,,,
187,11/23/2024 10:00:00,23.18,-39.74,7.38,,,,,,
188,11/23/2024 10:10:00,23.21,-39.80,7.38,,,,,,
189,11/23/2024 10:20:00,23.21,-39.86,7.38,,,,,,
190,11/23/2024 10:30:00,23.18,-39.89,7.38,,,,,,
191,11/23/2024 10:40:00,23.18,-39.88,7.38,,,,,,
192,11/23/2024 10:50:00,23.21,-39.97,7.38,,,,,,
193,11/23/2024 11:00:00,23.23,-39.95,7.38,,,,,,
194,11/23/2024 11:10:00,23.35,-40.11,7.38,,,,,,
195,11/23/2024 11:20:00,23.30,-40.27,7.39,,,,,,
196,11/23/2024 11:30:00,23.26,-40.36,7.39,,,,,,
197,11/23/2024 11:40:00,23.23,-40.24,7.39,,,,,,
198,11/23/2024 11:50:00,23.23,-40.27,7.39,,,,,,
199,11/23/2024 12:00:00,23.26,-40.56,7.39,,,,,,
200,11/23/2024 12:10:00,23.30,-40.58,7.39,,,,,,
201,11/23/2024 12:20:00,23.42,-41.25,7.40,,,,,,
202,11/23/2024 12:30:00,23.66,-41.53,7.41,,,,,,
203,11/23/2024 12:40:00,23.76,-41.81,7.41,,,,,,
204,11/23/2024 12:50:00,23.54,-41.30,7.41,,,,,,
205,11/23/2024 13:00:00,23.54,-41.02,7.40,,,,,,
206,11/23/2024 13:10:00,23.54,-41.00,7.40,,,,,,
207,11/23/2024 13:20:00,23.59,-41.28,7.40,,,,,,
208,11/23/2024 13:30:00,23.62,-41.20,7.40,,,,,,
209,11/23/2024 13:40:00,23.62,-41.39,7.41,,,,,,
210,11/23/2024 13:50:00,23.62,-41.08,7.40,,,,,,
211,11/23/2024 14:00:00,23.66,-41.44,7.41,,,,,,
212,11/23/2024 14:10:00,23.57,-41.42,7.41,,,,,,
213,11/23/2024 14:20:00,23.50,-41.50,7.41,,,,,,
214,11/23/2024 14:30:00,23.35,-41.50,7.41,,,,,,
215,11/23/2024 14:40:00,23.33,-41.47,7.41,,,,,,
216,11/23/2024 14:50:00,23.30,-41.31,7.41,,,,,,
217,11/23/2024 15:00:00,23.33,-41.45,7.41,,,,,,
218,11/23/2024 15:10:00,23.28,-41.50,7.41,,,,,,
219,11/23/2024 15:20:00,23.28,-41.72,7.41,,,,,,
220,11/23/2024 15:30:00,23.28,-41.86,7.42,,,,,,
221,11/23/2024 15:40:00,23.26,-41.81,7.41,,,,,,
222,11/23/2024 15:50:00,23.23,-41.60,7.41,,,,,,
223,11/23/2024 16:00:00,23.23,-41.45,7.41,,,,,,
224,11/23/2024 16:10:00,23.21,-41.47,7.41,,,,,,
225,11/23/2024 16:20:00,23.18,-41.55,7.41,,,,,,
226,11/23/2024 16:30:00,23.16,-41.56,7.41,,,,,,
227,11/23/2024 16:40:00,23.16,-41.49,7.41,,,,,,
228,11/23/2024 16:50:00,23.14,-41.52,7.41,,,,,,
229,11/23/2024 17:00:00,23.14,-41.70,7.41,,,,,,
230,11/23/2024 17:10:00,23.11,-41.61,7.41,,,,,,
231,11/23/2024 17:20:00,23.11,-41.56,7.41,,,,,,
232,11/23/2024 17:30:00,23.09,-41.55,7.41,,,,,,
233,11/23/2024 17:40:00,23.09,-41.52,7.41,,,,,,
234,11/23/2024 17:50:00,23.06,-41.49,7.41,,,,,,
235,11/23/2024 18:00:00,23.06,-41.14,7.40,,,,,,
236,11/23/2024 18:10:00,23.06,-41.06,7.40,,,,,,
237,11/23/2024 18:20:00,23.04,-41.00,7.40,,,,,,
238,11/23/2024 18:30:00,23.04,-40.97,7.40,,,,,,
239,11/23/2024 18:40:00,23.04,-40.91,7.40,,,,,,
240,11/23/2024 18:50:00,23.04,-40.89,7.40,,,,,,
241,11/23/2024 19:00:00,23.02,-40.86,7.40,,,,,,
242,11/23/2024 19:10:00,23.02,-40.72,7.40,,,,,,
243,11/23/2024 19:20:00,23.02,-40.74,7.40,,,,,,
244,11/23/2024 19:30:00,23.02,-40.53,7.39,,,,,,
245,11/23/2024 19:40:00,23.02,-40.64,7.39,,,,,,
246,11/23/2024 19:50:00,23.02,-40.58,7.39,,,,,,
247,11/23/2024 20:00:00,23.02,-40.36,7.39,,,,,,
248,11/23/2024 20:10:00,23.02,-40.45,7.39,,,,,,
249,11/23/2024 20:20:00,22.99,-40.36,7.39,,,,,,
250,11/23/2024 20:30:00,22.99,-40.13,7.39,,,,,,
251,11/23/2024 20:40:00,22.99,-40.17,7.39,,,,,,
252,11/23/2024 20:50:00,22.99,-40.17,7.39,,,,,,
253,11/23/2024 21:00:00,22.99,-40.00,7.38,,,,,,
254,11/23/2024 21:10:00,22.99,-40.06,7.38,,,,,,
255,11/23/2024 21:20:00,22.99,-39.89,7.38,,,,,,
256,11/23/2024 21:30:00,22.99,-39.99,7.38,,,,,,
257,11/23/2024 21:40:00,22.99,-39.92,7.38,,,,,,
258,11/23/2024 21:50:00,22.97,-39.99,7.38,,,,,,
259,11/23/2024 22:00:00,22.97,-40.06,7.38,,,,,,
260,11/23/2024 22:10:00,22.97,-40.20,7.39,,,,,,
261,11/23/2024 22:20:00,22.97,-40.14,7.39,,,,,,
262,11/23/2024 22:30:00,22.97,-40.00,7.38,,,,,,
263,11/23/2024 22:40:00,22.97,-39.45,7.37,,,,,,
264,11/23/2024 22:50:00,22.97,-40.16,7.39,,,,,,
265,11/23/2024 23:00:00,22.94,-40.00,7.38,,,,,,
266,11/23/2024 23:10:00,22.94,-40.14,7.39,,,,,,
267,11/23/2024 23:20:00,22.94,-40.08,7.38,,,,,,
268,11/23/2024 23:30:00,22.94,-40.11,7.38,,,,,,
269,11/23/2024 23:40:00,22.94,-40.02,7.38,,,,,,
270,11/23/2024 23:50:00,22.97,-39.58,7.38,,,,,,
271,11/24/2024 00:00:00,22.97,-39.50,7.37,,,,,,
272,11/24/2024 00:10:00,22.97,-39.06,7.37,,,,,,
273,11/24/2024 00:20:00,22.99,-38.89,7.36,,,,,,
274,11/24/2024 00:30:00,22.99,-38.75,7.36,,,,,,
275,11/24/2024 00:40:00,22.99,-38.59,7.36,,,,,,
276,11/24/2024 00:50:00,22.99,-38.64,7.36,,,,,,
277,11/24/2024 01:00:00,23.02,-38.56,7.36,,,,,,
278,11/24/2024 01:10:00,23.02,-38.44,7.36,,,,,,
279,11/24/2024 01:20:00,23.02,-38.36,7.35,,,,,,
280,11/24/2024 01:30:00,23.02,-38.34,7.35,,,,,,
281,11/24/2024 01:40:00,23.02,-38.33,7.35,,,,,,
282,11/24/2024 01:50:00,23.02,-38.22,7.35,,,,,,
283,11/24/2024 02:00:00,23.02,-38.27,7.35,,,,,,
284,11/24/2024 02:10:00,23.02,-38.20,7.35,,,,,,
285,11/24/2024 02:20:00,23.02,-38.11,7.35,,,,,,
286,11/24/2024 02:30:00,23.02,-38.11,7.35,,,,,,
287,11/24/2024 02:40:00,23.04,-38.16,7.35,,,,,,
288,11/24/2024 02:50:00,23.04,-38.09,7.35,,,,,,
289,11/24/2024 03:00:00,23.04,-38.06,7.35,,,,,,
290,11/24/2024 03:10:00,23.04,-38.09,7.35,,,,,,
291,11/24/2024 03:20:00,23.04,-38.08,7.35,,,,,,
292,11/24/2024 03:30:00,23.02,-38.06,7.35,,,,,,
293,11/24/2024 03:40:00,23.02,-38.17,7.35,,,,,,
294,11/24/2024 03:50:00,23.02,-38.20,7.35,,,,,,
295,11/24/2024 04:00:00,23.02,-38.27,7.35,,,,,,
296,11/24/2024 04:10:00,22.99,-38.38,7.35,,,,,,
297,11/24/2024 04:20:00,22.97,-38.75,7.36,,,,,,
298,11/24/2024 04:30:00,22.97,-38.95,7.36,,,,,,
299,11/24/2024 04:40:00,22.94,-39.03,7.37,,,,,,
300,11/24/2024 04:50:00,22.94,-39.39,7.37,,,,,,
301,11/24/2024 05:00:00,22.94,-39.42,7.37,,,,,,
302,11/24/2024 05:10:00,22.94,-39.56,7.38,,,,,,
303,11/24/2024 05:20:00,22.94,-39.49,7.37,,,,,,
304,11/24/2024 05:30:00,22.94,-39.28,7.37,,,,,,
305,11/24/2024 05:40:00,22.94,-39.88,7.38,,,,,,
306,11/24/2024 05:50:00,22.94,-39.66,7.38,,,,,,
307,11/24/2024 06:00:00,22.94,-39.58,7.38,,,,,,
308,11/24/2024 06:10:00,22.92,-39.74,7.38,,,,,,
309,11/24/2024 06:20:00,22.92,-39.36,7.37,,,,,,
310,11/24/2024 06:30:00,22.92,-39.77,7.38,,,,,,
311,11/24/2024 06:40:00,22.92,-39.86,7.38,,,,,,
312,11/24/2024 06:50:00,22.92,-39.86,7.38,,,,,,
313,11/24/2024 07:00:00,22.92,-39.89,7.38,,,,,,
314,11/24/2024 07:10:00,22.92,-39.81,7.38,,,,,,
315,11/24/2024 07:20:00,22.92,-40.08,7.38,,,,,,
316,11/24/2024 07:30:00,22.92,-39.83,7.38,,,,,,
317,11/24/2024 07:40:00,22.94,-39.83,7.38,,,,,,
318,11/24/2024 07:50:00,22.94,-39.97,7.38,,,,,,
319,11/24/2024 08:00:00,22.94,-39.95,7.38,,,,,,
320,11/24/2024 08:10:00,22.94,-39.75,7.38,,,,,,
321,11/24/2024 08:20:00,22.94,-39.28,7.37,,,,,,
322,11/24/2024 08:30:00,22.97,-39.41,7.37,,,,,,
323,11/24/2024 08:40:00,22.99,-38.80,7.36,,,,,,
324,11/24/2024 08:50:00,23.02,-38.66,7.36,,,,,,
325,11/24/2024 09:00:00,23.02,-38.81,7.36,,,,,,
326,11/24/2024 09:10:00,23.04,-38.59,7.36,,,,,,
327,11/24/2024 09:20:00,23.06,-38.52,7.36,,,,,,
328,11/24/2024 09:30:00,23.06,-38.42,7.35,,,,,,
329,11/24/2024 09:40:00,23.09,-38.78,7.36,,,,,,
330,11/24/2024 09:50:00,23.09,-38.47,7.36,,,,,,
331,11/24/2024 10:00:00,23.09,-38.59,7.36,,,,,,
332,11/24/2024 10:10:00,23.11,-38.72,7.36,,,,,,
333,11/24/2024 10:20:00,23.16,-38.78,7.36,,,,,,
334,11/24/2024 10:30:00,23.14,-38.74,7.36,,,,,,
335,11/24/2024 10:40:00,23.16,-38.77,7.36,,,,,,
336,11/24/2024 10:50:00,23.16,-38.84,7.36,,,,,,
337,11/24/2024 11:00:00,23.18,-38.74,7.36,,,,,,
338,11/24/2024 11:10:00,23.26,-39.00,7.36,,,,,,
339,11/24/2024 11:20:00,23.16,-39.06,7.37,,,,,,
340,11/24/2024 11:30:00,23.16,-39.14,7.37,,,,,,
341,11/24/2024 11:40:00,23.16,-39.06,7.37,,,,,,
342,11/24/2024 11:50:00,23.18,-39.20,7.37,,,,,,
343,11/24/2024 12:00:00,23.18,-39.08,7.37,,,,,,
344,11/24/2024 12:10:00,23.18,-39.47,7.37,,,,,,
345,11/24/2024 12:20:00,23.18,-39.24,7.37,,,,,,
346,11/24/2024 12:30:00,23.33,-39.83,7.38,,,,,,
347,11/24/2024 12:40:00,23.54,-40.22,7.39,,,,,,
348,11/24/2024 12:50:00,23.66,-40.49,7.39,,,,,,
349,11/24/2024 13:00:00,23.66,-40.42,7.39,,,,,,
350,11/24/2024 13:10:00,23.45,-40.13,7.38,,,,,,
351,11/24/2024 13:20:00,23.54,-40.09,7.38,,,,,,
352,11/24/2024 13:30:00,23.71,-40.58,7.39,,,,,,
353,11/24/2024 13:40:00,23.71,-40.06,7.38,,,,,,
354,11/24/2024 13:50:00,23.66,-39.50,7.37,,,,,,
355,11/24/2024 14:00:00,23.69,-39.94,7.38,,,,,,
356,11/24/2024 14:10:00,23.69,-40.09,7.38,,,,,,
357,11/24/2024 14:20:00,23.66,-40.02,7.38,,,,,,
358,11/24/2024 14:30:00,23.35,-39.81,7.38,,,,,,
359,11/24/2024 14:40:00,23.30,-39.81,7.38,,,,,,
360,11/24/2024 14:50:00,23.33,-39.92,7.38,,,,,,
361,11/24/2024 15:00:00,23.33,-40.06,7.38,,,,,,
362,11/24/2024 15:10:00,23.33,-40.20,7.39,,,,,,
363,11/24/2024 15:20:00,23.28,-40.22,7.39,,,,,,
364,11/24/2024 15:30:00,23.28,-40.31,7.39,,,,,,
365,11/24/2024 15:40:00,23.26,-40.25,7.39,,,,,,
366,11/24/2024 15:50:00,23.23,-39.92,7.38,,,,,,
367,11/24/2024 16:00:00,23.28,-40.34,7.39,,,,,,
368,11/24/2024 16:10:00,23.26,-40.22,7.39,,,,,,
369,11/24/2024 16:20:00,23.23,-40.19,7.39,,,,,,
370,11/24/2024 16:30:00,23.21,-40.20,7.39,,,,,,
371,11/24/2024 16:40:00,23.21,-40.16,7.39,,,,,,
372,11/24/2024 16:50:00,23.18,-40.13,7.38,,,,,,
373,11/24/2024 17:00:00,23.16,-39.99,7.38,,,,,,
374,11/24/2024 17:10:00,23.14,-39.86,7.38,,,,,,
375,11/24/2024 17:20:00,23.14,-39.77,7.38,,,,,,
376,11/24/2024 17:30:00,23.11,-39.56,7.38,,,,,,
377,11/24/2024 17:40:00,23.11,-39.02,7.37,,,,,,
378,11/24/2024 17:50:00,23.11,-39.16,7.37,,,,,,
379,11/24/2024 18:00:00,23.11,-39.08,7.37,,,,,,
380,11/24/2024 18:10:00,23.09,-39.33,7.37,,,,,,
381,11/24/2024 18:20:00,23.09,-39.34,7.37,,,,,,
382,11/24/2024 18:30:00,23.09,-39.05,7.37,,,,,,
383,11/24/2024 18:40:00,23.09,-39.06,7.37,,,,,,
384,11/24/2024 18:50:00,23.06,-39.24,7.37,,,,,,
385,11/24/2024 19:00:00,23.06,-39.16,7.37,,,,,,
386,11/24/2024 19:10:00,23.06,-39.25,7.37,,,,,,
387,11/24/2024 19:20:00,23.06,-39.13,7.37,,,,,,
388,11/24/2024 19:30:00,23.06,-39.24,7.37,,,,,,
389,11/24/2024 19:40:00,23.06,-39.16,7.37,,,,,,
390,11/24/2024 19:50:00,23.06,-39.09,7.37,,,,,,
391,11/24/2024 20:00:00,23.06,-39.09,7.37,,,,,,
392,11/24/2024 20:10:00,23.06,-39.06,7.37,,,,,,
393,11/24/2024 20:20:00,23.06,-39.09,7.37,,,,,,
394,11/24/2024 20:30:00,23.06,-39.03,7.37,,,,,,
395,11/24/2024 20:40:00,23.06,-38.88,7.36,,,,,,
396,11/24/2024 20:50:00,23.04,-38.81,7.36,,,,,,
397,11/24/2024 21:00:00,23.04,-38.70,7.36,,,,,,
398,11/24/2024 21:10:00,23.04,-38.83,7.36,,,,,,
399,11/24/2024 21:20:00,23.04,-38.83,7.36,,,,,,
400,11/24/2024 21:30:00,23.04,-38.03,7.35,,,,,,
401,11/24/2024 21:40:00,23.04,-38.70,7.36,,,,,,
402,11/24/2024 21:50:00,23.04,-38.66,7.36,,,,,,
403,11/24/2024 22:00:00,23.04,-37.95,7.35,,,,,,
404,11/24/2024 22:10:00,23.04,-38.39,7.35,,,,,,
405,11/24/2024 22:20:00,23.04,-38.59,7.36,,,,,,
406,11/24/2024 22:30:00,23.04,-38.61,7.36,,,,,,
407,11/24/2024 22:40:00,23.04,-38.22,7.35,,,,,,
408,11/24/2024 22:50:00,23.04,-38.31,7.35,,,,,,
409,11/24/2024 23:00:00,23.04,-38.24,7.35,,,,,,
