"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Expired Sensor Cap (LGR S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Coupler Detached (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
56,04/28/23 10:10:00,8.96,22.04,,,,,,
57,04/28/23 10:20:00,8.98,22.08,,,,,,
58,04/28/23 10:30:00,8.98,22.12,,,,,,
59,04/28/23 10:40:00,8.96,22.22,,,,,,
60,04/28/23 10:50:00,8.94,22.30,,,,,,
61,04/28/23 11:00:00,8.93,22.40,,,,,,
62,04/28/23 11:10:00,8.92,22.50,,,,,,
63,04/28/23 11:20:00,8.89,22.60,,,,,,
64,04/28/23 11:30:00,8.88,22.68,,,,,,
65,04/28/23 11:40:00,8.86,22.76,,,,,,
66,04/28/23 11:50:00,8.84,22.82,,,,,,
67,04/28/23 12:00:00,8.83,22.88,,,,,,
68,04/28/23 12:10:00,8.82,22.96,,,,,,
69,04/28/23 12:20:00,8.81,23.00,,,,,,
70,04/28/23 12:30:00,8.80,23.06,,,,,,
71,04/28/23 12:40:00,8.80,23.12,,,,,,
72,04/28/23 12:50:00,8.79,23.16,,,,,,
73,04/28/23 13:00:00,8.77,23.20,,,,,,
74,04/28/23 13:10:00,8.77,23.24,,,,,,
75,04/28/23 13:20:00,8.77,23.30,,,,,,
76,04/28/23 13:30:00,8.71,23.40,,,,,,
77,04/28/23 13:40:00,8.73,23.14,,,,,,
78,04/28/23 13:50:00,8.78,22.88,,,,,,
79,04/28/23 14:00:00,8.80,22.64,,,,,,
80,04/28/23 14:10:00,8.86,22.38,,,,,,
81,04/28/23 14:20:00,8.84,22.78,,,,,,
82,04/28/23 14:30:00,8.68,24.44,,,,,,
83,04/28/23 14:40:00,8.31,26.62,,,,,,
84,04/28/23 14:50:00,7.84,29.20,,,,,,
85,04/28/23 15:00:00,7.70,30.00,,,,,,
86,04/28/23 15:10:00,6.26,30.42,,,,,,
87,04/28/23 15:20:00,5.96,27.34,,,,,,
88,04/28/23 15:30:00,6.22,26.62,,,,,,
89,04/28/23 15:40:00,5.70,26.48,,,,,,
90,04/28/23 15:50:00,6.36,26.46,,,,,,
91,04/28/23 16:00:00,6.48,26.44,,,,,,
92,04/28/23 16:10:00,6.52,26.44,,,,,,
93,04/28/23 16:20:00,6.53,26.44,,,,,,
94,04/28/23 16:30:00,6.46,26.42,,,,,,
95,04/28/23 16:40:00,6.39,26.44,,,,,,
96,04/28/23 16:50:00,6.37,26.42,,,,,,
97,04/28/23 17:00:00,6.30,26.42,,,,,,
98,04/28/23 17:10:00,6.23,26.42,,,,,,
99,04/28/23 17:20:00,6.14,26.40,,,,,,
100,04/28/23 17:30:00,6.05,26.40,,,,,,
101,04/28/23 17:40:00,6.03,26.38,,,,,,
102,04/28/23 17:50:00,6.03,26.38,,,,,,
103,04/28/23 18:00:00,5.95,26.36,,,,,,
104,04/28/23 18:10:00,5.85,26.34,,,,,,
105,04/28/23 18:20:00,5.80,26.32,,,,,,
106,04/28/23 18:30:00,5.78,26.30,,,,,,
107,04/28/23 18:40:00,5.81,26.28,,,,,,
108,04/28/23 18:50:00,5.68,26.26,,,,,,
109,04/28/23 19:00:00,5.61,26.24,,,,,,
110,04/28/23 19:10:00,5.52,26.22,,,,,,
111,04/28/23 19:20:00,5.51,26.22,,,,,,
112,04/28/23 19:30:00,5.49,26.20,,,,,,
113,04/28/23 19:40:00,5.21,26.18,,,,,,
114,04/28/23 19:50:00,5.27,26.16,,,,,,
115,04/28/23 20:00:00,5.18,26.14,,,,,,
116,04/28/23 20:10:00,5.03,26.12,,,,,,
117,04/28/23 20:20:00,4.92,26.10,,,,,,
118,04/28/23 20:30:00,4.80,26.06,,,,,,
119,04/28/23 20:40:00,4.75,26.04,,,,,,
120,04/28/23 20:50:00,4.60,26.02,,,,,,
121,04/28/23 21:00:00,4.54,26.00,,,,,,
122,04/28/23 21:10:00,4.27,25.98,,,,,,
123,04/28/23 21:20:00,4.22,25.96,,,,,,
124,04/28/23 21:30:00,4.22,25.94,,,,,,
125,04/28/23 21:40:00,4.19,25.90,,,,,,
126,04/28/23 21:50:00,4.14,25.88,,,,,,
127,04/28/23 22:00:00,4.03,25.88,,,,,,
128,04/28/23 22:10:00,3.88,25.84,,,,,,
129,04/28/23 22:20:00,3.75,25.80,,,,,,
130,04/28/23 22:30:00,3.66,25.80,,,,,,
131,04/28/23 22:40:00,3.53,25.76,,,,,,
132,04/28/23 22:50:00,3.45,25.72,,,,,,
133,04/28/23 23:00:00,3.39,25.70,,,,,,
134,04/28/23 23:10:00,3.35,25.68,,,,,,
135,04/28/23 23:20:00,3.26,25.66,,,,,,
136,04/28/23 23:30:00,3.12,25.64,,,,,,
137,04/28/23 23:40:00,2.92,25.62,,,,,,
138,04/28/23 23:50:00,2.85,25.60,,,,,,
139,04/29/23 00:00:00,2.73,25.56,,,,,,
140,04/29/23 00:10:00,2.78,25.52,,,,,,
141,04/29/23 00:20:00,2.80,25.50,,,,,,
142,04/29/23 00:30:00,2.77,25.48,,,,,,
143,04/29/23 00:40:00,2.73,25.46,,,,,,
144,04/29/23 00:50:00,2.65,25.44,,,,,,
145,04/29/23 01:00:00,2.51,25.42,,,,,,
146,04/29/23 01:10:00,2.49,25.40,,,,,,
147,04/29/23 01:20:00,2.48,25.38,,,,,,
148,04/29/23 01:30:00,2.38,25.38,,,,,,
149,04/29/23 01:40:00,2.32,25.36,,,,,,
150,04/29/23 01:50:00,2.21,25.36,,,,,,
151,04/29/23 02:00:00,2.17,25.34,,,,,,
152,04/29/23 02:10:00,1.99,25.32,,,,,,
153,04/29/23 02:20:00,1.94,25.30,,,,,,
154,04/29/23 02:30:00,1.91,25.30,,,,,,
155,04/29/23 02:40:00,1.89,25.28,,,,,,
156,04/29/23 02:50:00,1.85,25.28,,,,,,
157,04/29/23 03:00:00,1.82,25.26,,,,,,
158,04/29/23 03:10:00,1.79,25.24,,,,,,
159,04/29/23 03:20:00,1.73,25.24,,,,,,
160,04/29/23 03:30:00,1.64,25.22,,,,,,
161,04/29/23 03:40:00,1.56,25.22,,,,,,
162,04/29/23 03:50:00,1.55,25.22,,,,,,
163,04/29/23 04:00:00,1.47,25.20,,,,,,
164,04/29/23 04:10:00,1.42,25.18,,,,,,
165,04/29/23 04:20:00,1.37,25.16,,,,,,
166,04/29/23 04:30:00,1.26,25.16,,,,,,
167,04/29/23 04:40:00,1.14,25.14,,,,,,
168,04/29/23 04:50:00,1.09,25.12,,,,,,
169,04/29/23 05:00:00,1.16,25.10,,,,,,
170,04/29/23 05:10:00,1.08,25.08,,,,,,
171,04/29/23 05:20:00,1.05,25.06,,,,,,
172,04/29/23 05:30:00,0.98,25.04,,,,,,
173,04/29/23 05:40:00,0.92,25.02,,,,,,
174,04/29/23 05:50:00,0.87,25.02,,,,,,
175,04/29/23 06:00:00,0.96,25.00,,,,,,
176,04/29/23 06:10:00,0.87,24.98,,,,,,
177,04/29/23 06:20:00,0.84,24.98,,,,,,
178,04/29/23 06:30:00,0.77,24.96,,,,,,
179,04/29/23 06:40:00,0.80,24.94,,,,,,
180,04/29/23 06:50:00,0.80,24.92,,,,,,
181,04/29/23 07:00:00,0.78,24.90,,,,,,
182,04/29/23 07:10:00,0.80,24.86,,,,,,
183,04/29/23 07:20:00,0.78,24.86,,,,,,
184,04/29/23 07:30:00,0.75,24.86,,,,,,
185,04/29/23 07:40:00,0.73,24.84,,,,,,
186,04/29/23 07:50:00,0.78,24.84,,,,,,
187,04/29/23 08:00:00,0.82,24.84,,,,,,
188,04/29/23 08:10:00,0.78,24.84,,,,,,
189,04/29/23 08:20:00,0.95,24.80,,,,,,
190,04/29/23 08:30:00,0.87,24.80,,,,,,
191,04/29/23 08:40:00,0.81,24.80,,,,,,
192,04/29/23 08:50:00,0.85,24.80,,,,,,
193,04/29/23 09:00:00,0.96,24.80,,,,,,
194,04/29/23 09:10:00,0.97,24.80,,,,,,
195,04/29/23 09:20:00,1.02,24.80,,,,,,
196,04/29/23 09:30:00,1.28,24.82,,,,,,
197,04/29/23 09:40:00,1.26,24.82,,,,,,
198,04/29/23 09:50:00,1.23,24.84,,,,,,
199,04/29/23 10:00:00,1.40,24.86,,,,,,
200,04/29/23 10:10:00,1.54,24.86,,,,,,
201,04/29/23 10:20:00,1.59,24.90,,,,,,
202,04/29/23 10:30:00,1.97,24.90,,,,,,
203,04/29/23 10:40:00,2.85,24.92,,,,,,
204,04/29/23 10:50:00,2.60,24.92,,,,,,
205,04/29/23 11:00:00,2.49,24.96,,,,,,
206,04/29/23 11:10:00,2.77,24.98,,,,,,
207,04/29/23 11:20:00,2.96,25.00,,,,,,
208,04/29/23 11:30:00,3.01,25.06,,,,,,
209,04/29/23 11:40:00,3.70,25.10,,,,,,
210,04/29/23 11:50:00,3.95,25.14,,,,,,
211,04/29/23 12:00:00,4.26,25.18,,,,,,
212,04/29/23 12:10:00,4.40,25.26,,,,,,
213,04/29/23 12:20:00,4.69,25.28,,,,,,
214,04/29/23 12:30:00,4.81,25.32,,,,,,
215,04/29/23 12:40:00,4.86,25.36,,,,,,
216,04/29/23 12:50:00,5.65,25.42,,,,,,
217,04/29/23 13:00:00,5.48,25.40,,,,,,
218,04/29/23 13:10:00,5.39,25.44,,,,,,
219,04/29/23 13:20:00,5.49,25.48,,,,,,
220,04/29/23 13:30:00,5.92,25.50,,,,,,
221,04/29/23 13:40:00,6.14,25.50,,,,,,
222,04/29/23 13:50:00,6.10,25.52,,,,,,
223,04/29/23 14:00:00,6.23,25.54,,,,,,
224,04/29/23 14:10:00,6.55,25.56,,,,,,
225,04/29/23 14:20:00,6.45,25.56,,,,,,
226,04/29/23 14:30:00,7.25,25.58,,,,,,
227,04/29/23 14:40:00,6.94,25.60,,,,,,
228,04/29/23 14:50:00,7.17,25.60,,,,,,
229,04/29/23 15:00:00,6.91,25.60,,,,,,
230,04/29/23 15:10:00,6.86,25.60,,,,,,
231,04/29/23 15:20:00,6.88,25.62,,,,,,
232,04/29/23 15:30:00,6.97,25.62,,,,,,
233,04/29/23 15:40:00,6.83,25.62,,,,,,
234,04/29/23 15:50:00,6.82,25.64,,,,,,
235,04/29/23 16:00:00,7.36,25.64,,,,,,
236,04/29/23 16:10:00,7.13,25.64,,,,,,
237,04/29/23 16:20:00,6.77,25.64,,,,,,
238,04/29/23 16:30:00,6.81,25.64,,,,,,
239,04/29/23 16:40:00,7.08,25.62,,,,,,
240,04/29/23 16:50:00,7.19,25.62,,,,,,
241,04/29/23 17:00:00,7.09,25.60,,,,,,
242,04/29/23 17:10:00,6.67,25.60,,,,,,
243,04/29/23 17:20:00,6.66,25.58,,,,,,
244,04/29/23 17:30:00,6.66,25.58,,,,,,
245,04/29/23 17:40:00,6.68,25.56,,,,,,
246,04/29/23 17:50:00,6.71,25.54,,,,,,
247,04/29/23 18:00:00,6.77,25.52,,,,,,
248,04/29/23 18:10:00,6.74,25.50,,,,,,
249,04/29/23 18:20:00,6.92,25.48,,,,,,
250,04/29/23 18:30:00,6.70,25.46,,,,,,
251,04/29/23 18:40:00,6.43,25.44,,,,,,
252,04/29/23 18:50:00,6.26,25.42,,,,,,
253,04/29/23 19:00:00,6.26,25.38,,,,,,
254,04/29/23 19:10:00,6.29,25.36,,,,,,
255,04/29/23 19:20:00,6.27,25.36,,,,,,
256,04/29/23 19:30:00,6.06,25.34,,,,,,
257,04/29/23 19:40:00,5.84,25.30,,,,,,
258,04/29/23 19:50:00,5.80,25.28,,,,,,
259,04/29/23 20:00:00,5.61,25.26,,,,,,
260,04/29/23 20:10:00,5.40,25.24,,,,,,
261,04/29/23 20:20:00,5.28,25.22,,,,,,
262,04/29/23 20:30:00,5.37,25.20,,,,,,
263,04/29/23 20:40:00,5.29,25.18,,,,,,
264,04/29/23 20:50:00,5.11,25.16,,,,,,
265,04/29/23 21:00:00,4.88,25.12,,,,,,
266,04/29/23 21:10:00,4.67,25.10,,,,,,
267,04/29/23 21:20:00,4.57,25.08,,,,,,
268,04/29/23 21:30:00,4.45,25.04,,,,,,
269,04/29/23 21:40:00,4.33,25.02,,,,,,
270,04/29/23 21:50:00,4.20,25.00,,,,,,
271,04/29/23 22:00:00,4.12,24.96,,,,,,
272,04/29/23 22:10:00,4.02,24.94,,,,,,
273,04/29/23 22:20:00,3.96,24.90,,,,,,
274,04/29/23 22:30:00,3.83,24.88,,,,,,
275,04/29/23 22:40:00,3.74,24.84,,,,,,
276,04/29/23 22:50:00,3.58,24.82,,,,,,
277,04/29/23 23:00:00,3.50,24.80,,,,,,
278,04/29/23 23:10:00,3.42,24.76,,,,,,
279,04/29/23 23:20:00,3.46,24.72,,,,,,
280,04/29/23 23:30:00,3.39,24.68,,,,,,
281,04/29/23 23:40:00,3.26,24.64,,,,,,
282,04/29/23 23:50:00,3.11,24.60,,,,,,
283,04/30/23 00:00:00,3.06,24.56,,,,,,
284,04/30/23 00:10:00,3.04,24.54,,,,,,
285,04/30/23 00:20:00,3.00,24.50,,,,,,
286,04/30/23 00:30:00,2.99,24.48,,,,,,
287,04/30/23 00:40:00,2.79,24.46,,,,,,
288,04/30/23 00:50:00,2.73,24.44,,,,,,
289,04/30/23 01:00:00,2.73,24.42,,,,,,
290,04/30/23 01:10:00,2.72,24.40,,,,,,
291,04/30/23 01:20:00,2.62,24.36,,,,,,
292,04/30/23 01:30:00,2.50,24.36,,,,,,
293,04/30/23 01:40:00,2.36,24.34,,,,,,
294,04/30/23 01:50:00,2.23,24.32,,,,,,
295,04/30/23 02:00:00,2.20,24.30,,,,,,
296,04/30/23 02:10:00,2.08,24.28,,,,,,
297,04/30/23 02:20:00,1.95,24.28,,,,,,
298,04/30/23 02:30:00,1.78,24.26,,,,,,
299,04/30/23 02:40:00,1.84,24.24,,,,,,
300,04/30/23 02:50:00,1.75,24.24,,,,,,
301,04/30/23 03:00:00,1.58,24.22,,,,,,
302,04/30/23 03:10:00,1.43,24.20,,,,,,
303,04/30/23 03:20:00,1.33,24.20,,,,,,
304,04/30/23 03:30:00,1.26,24.18,,,,,,
305,04/30/23 03:40:00,1.25,24.16,,,,,,
306,04/30/23 03:50:00,1.27,24.14,,,,,,
307,04/30/23 04:00:00,1.18,24.12,,,,,,
308,04/30/23 04:10:00,1.13,24.10,,,,,,
309,04/30/23 04:20:00,1.12,24.08,,,,,,
310,04/30/23 04:30:00,1.09,24.06,,,,,,
311,04/30/23 04:40:00,1.04,24.04,,,,,,
312,04/30/23 04:50:00,0.94,24.02,,,,,,
313,04/30/23 05:00:00,0.89,24.02,,,,,,
314,04/30/23 05:10:00,0.97,24.00,,,,,,
315,04/30/23 05:20:00,0.95,23.98,,,,,,
316,04/30/23 05:30:00,0.92,23.96,,,,,,
317,04/30/23 05:40:00,1.01,23.94,,,,,,
318,04/30/23 05:50:00,0.99,23.94,,,,,,
319,04/30/23 06:00:00,0.87,23.92,,,,,,
320,04/30/23 06:10:00,1.13,23.90,,,,,,
321,04/30/23 06:20:00,1.01,23.88,,,,,,
322,04/30/23 06:30:00,0.89,23.86,,,,,,
323,04/30/23 06:40:00,0.83,23.84,,,,,,
324,04/30/23 06:50:00,0.75,23.84,,,,,,
325,04/30/23 07:00:00,0.95,23.82,,,,,,
326,04/30/23 07:10:00,0.91,23.80,,,,,,
327,04/30/23 07:20:00,0.88,23.78,,,,,,
328,04/30/23 07:30:00,1.08,23.78,,,,,,
329,04/30/23 07:40:00,0.95,23.78,,,,,,
330,04/30/23 07:50:00,0.93,23.78,,,,,,
331,04/30/23 08:00:00,0.93,23.78,,,,,,
332,04/30/23 08:10:00,0.70,23.78,,,,,,
333,04/30/23 08:20:00,0.59,23.78,,,,,,
334,04/30/23 08:30:00,1.24,23.80,,,,,,
335,04/30/23 08:40:00,1.69,23.82,,,,,,
336,04/30/23 08:50:00,1.50,23.86,,,,,,
337,04/30/23 09:00:00,1.42,23.90,,,,,,
338,04/30/23 09:10:00,1.34,23.96,,,,,,
339,04/30/23 09:20:00,1.32,23.98,,,,,,
340,04/30/23 09:30:00,1.38,24.04,,,,,,
341,04/30/23 09:40:00,1.66,24.08,,,,,,
342,04/30/23 09:50:00,1.99,24.16,,,,,,
343,04/30/23 10:00:00,2.25,24.22,,,,,,
344,04/30/23 10:10:00,3.72,24.24,,,,,,
345,04/30/23 10:20:00,3.43,24.32,,,,,,
346,04/30/23 10:30:00,3.58,24.38,,,,,,
347,04/30/23 10:40:00,3.78,24.42,,,,,,
348,04/30/23 10:50:00,3.93,24.50,,,,,,
349,04/30/23 11:00:00,4.36,24.54,,,,,,
350,04/30/23 11:10:00,4.38,24.60,,,,,,
351,04/30/23 11:20:00,4.95,24.64,,,,,,
352,04/30/23 11:30:00,5.06,24.70,,,,,,
353,04/30/23 11:40:00,5.29,24.74,,,,,,
354,04/30/23 11:50:00,5.29,24.80,,,,,,
355,04/30/23 12:00:00,5.27,24.88,,,,,,
356,04/30/23 12:10:00,6.55,24.94,,,,,,
357,04/30/23 12:20:00,6.41,25.00,,,,,,
358,04/30/23 12:30:00,6.37,25.02,,,,,,
359,04/30/23 12:40:00,6.35,25.06,,,,,,
360,04/30/23 12:50:00,6.53,25.10,,,,,,
361,04/30/23 13:00:00,7.01,25.14,,,,,,
362,04/30/23 13:10:00,6.85,25.16,,,,,,
363,04/30/23 13:20:00,7.96,25.22,,,,,,
364,04/30/23 13:30:00,7.70,25.28,,,,,,
365,04/30/23 13:40:00,7.67,25.30,,,,,,
366,04/30/23 13:50:00,7.47,25.30,,,,,,
367,04/30/23 14:00:00,7.10,25.34,,,,,,
368,04/30/23 14:10:00,7.48,25.32,,,,,,
369,04/30/23 14:20:00,7.23,25.32,,,,,,
370,04/30/23 14:30:00,6.99,25.34,,,,,,
371,04/30/23 14:40:00,7.05,25.36,,,,,,
372,04/30/23 14:50:00,6.96,25.36,,,,,,
373,04/30/23 15:00:00,6.82,25.42,,,,,,
374,04/30/23 15:10:00,6.72,25.44,,,,,,
375,04/30/23 15:20:00,6.86,25.44,,,,,,
376,04/30/23 15:30:00,6.88,25.46,,,,,,
377,04/30/23 15:40:00,6.76,25.48,,,,,,
378,04/30/23 15:50:00,6.65,25.48,,,,,,
379,04/30/23 16:00:00,6.64,25.50,,,,,,
380,04/30/23 16:10:00,6.66,25.52,,,,,,
381,04/30/23 16:20:00,6.65,25.56,,,,,,
382,04/30/23 16:30:00,6.61,25.56,,,,,,
383,04/30/23 16:40:00,6.51,25.56,,,,,,
384,04/30/23 16:50:00,6.73,25.56,,,,,,
385,04/30/23 17:00:00,6.50,25.56,,,,,,
386,04/30/23 17:10:00,6.55,25.56,,,,,,
387,04/30/23 17:20:00,6.31,25.54,,,,,,
388,04/30/23 17:30:00,6.21,25.54,,,,,,
389,04/30/23 17:40:00,6.62,25.52,,,,,,
390,04/30/23 17:50:00,6.54,25.52,,,,,,
391,04/30/23 18:00:00,6.31,25.48,,,,,,
392,04/30/23 18:10:00,6.06,25.48,,,,,,
393,04/30/23 18:20:00,5.96,25.46,,,,,,
394,04/30/23 18:30:00,5.84,25.44,,,,,,
395,04/30/23 18:40:00,5.75,25.40,,,,,,
396,04/30/23 18:50:00,5.68,25.38,,,,,,
397,04/30/23 19:00:00,5.60,25.38,,,,,,
398,04/30/23 19:10:00,5.61,25.36,,,,,,
399,04/30/23 19:20:00,5.54,25.34,,,,,,
400,04/30/23 19:30:00,5.85,25.30,,,,,,
401,04/30/23 19:40:00,5.70,25.30,,,,,,
402,04/30/23 19:50:00,5.51,25.28,,,,,,
403,04/30/23 20:00:00,5.33,25.26,,,,,,
404,04/30/23 20:10:00,5.18,25.24,,,,,,
405,04/30/23 20:20:00,5.02,25.22,,,,,,
406,04/30/23 20:30:00,4.92,25.20,,,,,,
407,04/30/23 20:40:00,4.81,25.18,,,,,,
408,04/30/23 20:50:00,4.69,25.16,,,,,,
409,04/30/23 21:00:00,4.50,25.14,,,,,,
410,04/30/23 21:10:00,4.40,25.12,,,,,,
411,04/30/23 21:20:00,4.32,25.10,,,,,,
412,04/30/23 21:30:00,4.23,25.08,,,,,,
413,04/30/23 21:40:00,4.14,25.04,,,,,,
414,04/30/23 21:50:00,4.07,25.02,,,,,,
415,04/30/23 22:00:00,3.96,25.00,,,,,,
416,04/30/23 22:10:00,3.84,24.98,,,,,,
417,04/30/23 22:20:00,3.71,24.96,,,,,,
418,04/30/23 22:30:00,3.73,24.94,,,,,,
419,04/30/23 22:40:00,3.62,24.92,,,,,,
420,04/30/23 22:50:00,3.57,24.90,,,,,,
421,04/30/23 23:00:00,3.39,24.88,,,,,,
422,04/30/23 23:10:00,3.24,24.86,,,,,,
423,04/30/23 23:20:00,3.11,24.82,,,,,,
424,04/30/23 23:30:00,3.04,24.80,,,,,,
425,04/30/23 23:40:00,3.06,24.80,,,,,,
426,04/30/23 23:50:00,3.06,24.78,,,,,,
427,05/01/23 00:00:00,3.03,24.76,,,,,,
428,05/01/23 00:10:00,2.90,24.76,,,,,,
429,05/01/23 00:20:00,2.79,24.74,,,,,,
430,05/01/23 00:30:00,2.71,24.74,,,,,,
431,05/01/23 00:40:00,2.63,24.74,,,,,,
432,05/01/23 00:50:00,2.58,24.72,,,,,,
433,05/01/23 01:00:00,2.52,24.70,,,,,,
434,05/01/23 01:10:00,2.43,24.70,,,,,,
435,05/01/23 01:20:00,2.48,24.68,,,,,,
436,05/01/23 01:30:00,2.39,24.66,,,,,,
437,05/01/23 01:40:00,2.29,24.66,,,,,,
438,05/01/23 01:50:00,2.21,24.64,,,,,,
439,05/01/23 02:00:00,2.16,24.64,,,,,,
440,05/01/23 02:10:00,2.09,24.62,,,,,,
441,05/01/23 02:20:00,1.99,24.60,,,,,,
442,05/01/23 02:30:00,1.89,24.60,,,,,,
443,05/01/23 02:40:00,1.80,24.58,,,,,,
444,05/01/23 02:50:00,1.82,24.56,,,,,,
445,05/01/23 03:00:00,1.78,24.54,,,,,,
446,05/01/23 03:10:00,1.74,24.52,,,,,,
447,05/01/23 03:20:00,1.68,24.52,,,,,,
448,05/01/23 03:30:00,1.63,24.52,,,,,,
449,05/01/23 03:40:00,1.53,24.50,,,,,,
450,05/01/23 03:50:00,1.45,24.48,,,,,,
451,05/01/23 04:00:00,1.37,24.48,,,,,,
452,05/01/23 04:10:00,1.25,24.46,,,,,,
453,05/01/23 04:20:00,1.20,24.46,,,,,,
454,05/01/23 04:30:00,1.25,24.44,,,,,,
455,05/01/23 04:40:00,1.22,24.44,,,,,,
456,05/01/23 04:50:00,1.29,24.42,,,,,,
457,05/01/23 05:00:00,1.28,24.40,,,,,,
458,05/01/23 05:10:00,1.17,24.40,,,,,,
459,05/01/23 05:20:00,1.11,24.40,,,,,,
460,05/01/23 05:30:00,0.99,24.38,,,,,,
461,05/01/23 05:40:00,0.95,24.36,,,,,,
462,05/01/23 05:50:00,0.99,24.34,,,,,,
463,05/01/23 06:00:00,0.96,24.34,,,,,,
464,05/01/23 06:10:00,0.91,24.32,,,,,,
465,05/01/23 06:20:00,0.84,24.32,,,,,,
466,05/01/23 06:30:00,0.97,24.30,,,,,,
467,05/01/23 06:40:00,0.91,24.30,,,,,,
468,05/01/23 06:50:00,0.83,24.30,,,,,,
469,05/01/23 07:00:00,0.97,24.28,,,,,,
470,05/01/23 07:10:00,0.94,24.28,,,,,,
471,05/01/23 07:20:00,0.84,24.26,,,,,,
472,05/01/23 07:30:00,0.81,24.24,,,,,,
473,05/01/23 07:40:00,0.75,24.24,,,,,,
474,05/01/23 07:50:00,0.71,24.24,,,,,,
475,05/01/23 08:00:00,0.66,24.24,,,,,,
476,05/01/23 08:10:00,0.65,24.24,,,,,,
477,05/01/23 08:20:00,0.63,24.24,,,,,,
478,05/01/23 08:30:00,0.63,24.26,,,,,,
479,05/01/23 08:40:00,0.72,24.28,,,,,,
480,05/01/23 08:50:00,0.73,24.32,,,,,,
481,05/01/23 09:00:00,0.78,24.36,,,,,,
482,05/01/23 09:10:00,1.56,24.42,,,,,,
483,05/01/23 09:20:00,2.10,24.48,,,,,,
484,05/01/23 09:30:00,2.30,24.54,,,,,,
