"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Expired Sensor Cap (LGR S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
47,08/06/25 08:40:00 AM,8.65,23.34,,,,,
48,08/06/25 08:50:00 AM,8.49,24.68,,,,,
49,08/06/25 09:00:00 AM,8.24,26.08,,,,,
50,08/06/25 09:10:00 AM,8.10,27.02,,,,,
51,08/06/25 09:20:00 AM,7.95,27.94,,,,,
52,08/06/25 09:30:00 AM,7.75,29.14,,,,,
53,08/06/25 09:40:00 AM,7.55,30.48,,,,,
54,08/06/25 09:50:00 AM,7.38,31.74,,,,,
55,08/06/25 10:00:00 AM,7.21,32.98,,,,,
56,08/06/25 10:10:00 AM,7.04,34.32,,,,,
57,08/06/25 10:20:00 AM,6.91,35.36,,,,,
58,08/06/25 10:30:00 AM,6.80,36.36,,,,,
59,08/06/25 10:40:00 AM,6.67,37.48,,,,,
60,08/06/25 10:50:00 AM,6.55,38.46,,,,,
61,08/06/25 11:00:00 AM,6.50,38.86,,,,,
62,08/06/25 11:10:00 AM,6.28,40.40,,,,,
63,08/06/25 11:20:00 AM,6.47,39.28,,,,,
64,08/06/25 11:30:00 AM,7.09,28.84,,,,,
65,08/06/25 11:40:00 AM,7.84,24.58,,,,,
66,08/06/25 11:50:00 AM,8.05,23.82,,,,,
67,08/06/25 12:00:00 PM,8.44,23.68,,,,,
68,08/06/25 12:10:00 PM,8.36,23.68,,,,,
69,08/06/25 12:20:00 PM,8.61,23.68,,,,,
70,08/06/25 12:30:00 PM,8.68,23.70,,,,,
71,08/06/25 12:40:00 PM,8.58,23.68,,,,,
72,08/06/25 12:50:00 PM,8.62,23.68,,,,,
73,08/06/25 01:00:00 PM,8.77,23.70,,,,,
74,08/06/25 01:10:00 PM,8.87,23.72,,,,,
75,08/06/25 01:20:00 PM,8.88,23.80,,,,,
76,08/06/25 01:30:00 PM,8.96,23.82,,,,,
77,08/06/25 01:40:00 PM,9.05,23.84,,,,,
78,08/06/25 01:50:00 PM,9.10,23.84,,,,,
79,08/06/25 02:00:00 PM,9.28,23.94,,,,,
80,08/06/25 02:10:00 PM,9.74,26.22,,,,,
81,08/06/25 02:20:00 PM,9.54,27.52,,,,,
82,08/06/25 02:30:00 PM,9.54,28.02,,,,,
83,08/06/25 02:40:00 PM,9.61,28.32,,,,,
84,08/06/25 02:50:00 PM,9.66,28.62,,,,,
85,08/06/25 03:00:00 PM,9.74,28.80,,,,,
86,08/06/25 03:10:00 PM,9.70,28.96,,,,,
87,08/06/25 03:20:00 PM,9.70,29.08,,,,,
88,08/06/25 03:30:00 PM,9.72,29.22,,,,,
89,08/06/25 03:40:00 PM,9.72,29.34,,,,,
90,08/06/25 03:50:00 PM,9.96,29.50,,,,,
91,08/06/25 04:00:00 PM,9.72,29.60,,,,,
92,08/06/25 04:10:00 PM,9.90,29.70,,,,,
93,08/06/25 04:20:00 PM,10.07,29.82,,,,,
94,08/06/25 04:30:00 PM,9.78,29.82,,,,,
95,08/06/25 04:40:00 PM,9.61,29.78,,,,,
96,08/06/25 04:50:00 PM,9.76,29.80,,,,,
97,08/06/25 05:00:00 PM,9.78,29.78,,,,,
98,08/06/25 05:10:00 PM,9.56,29.74,,,,,
99,08/06/25 05:20:00 PM,9.64,29.66,,,,,
100,08/06/25 05:30:00 PM,9.77,29.66,,,,,
101,08/06/25 05:40:00 PM,9.71,29.44,,,,,
102,08/06/25 05:50:00 PM,9.80,29.26,,,,,
103,08/06/25 06:00:00 PM,9.75,29.14,,,,,
104,08/06/25 06:10:00 PM,9.45,29.00,,,,,
105,08/06/25 06:20:00 PM,9.25,28.82,,,,,
106,08/06/25 06:30:00 PM,9.02,28.58,,,,,
107,08/06/25 06:40:00 PM,8.86,28.36,,,,,
108,08/06/25 06:50:00 PM,8.69,28.12,,,,,
109,08/06/25 07:00:00 PM,8.55,27.86,,,,,
110,08/06/25 07:10:00 PM,8.38,27.64,,,,,
111,08/06/25 07:20:00 PM,8.23,27.44,,,,,
112,08/06/25 07:30:00 PM,8.11,27.24,,,,,
113,08/06/25 07:40:00 PM,8.02,27.08,,,,,
114,08/06/25 07:50:00 PM,7.92,26.92,,,,,
115,08/06/25 08:00:00 PM,7.82,26.78,,,,,
116,08/06/25 08:10:00 PM,7.78,26.64,,,,,
117,08/06/25 08:20:00 PM,7.74,26.50,,,,,
118,08/06/25 08:30:00 PM,7.67,26.38,,,,,
119,08/06/25 08:40:00 PM,7.58,26.28,,,,,
120,08/06/25 08:50:00 PM,7.54,26.16,,,,,
121,08/06/25 09:00:00 PM,7.50,26.06,,,,,
122,08/06/25 09:10:00 PM,7.48,25.96,,,,,
123,08/06/25 09:20:00 PM,7.40,25.88,,,,,
124,08/06/25 09:30:00 PM,7.38,25.78,,,,,
125,08/06/25 09:40:00 PM,7.30,25.70,,,,,
126,08/06/25 09:50:00 PM,7.25,25.62,,,,,
127,08/06/25 10:00:00 PM,7.26,25.54,,,,,
128,08/06/25 10:10:00 PM,7.23,25.48,,,,,
129,08/06/25 10:20:00 PM,7.21,25.40,,,,,
130,08/06/25 10:30:00 PM,7.21,25.34,,,,,
131,08/06/25 10:40:00 PM,7.13,25.28,,,,,
132,08/06/25 10:50:00 PM,7.18,25.22,,,,,
133,08/06/25 11:00:00 PM,7.15,25.16,,,,,
134,08/06/25 11:10:00 PM,7.09,25.12,,,,,
135,08/06/25 11:20:00 PM,7.10,25.06,,,,,
136,08/06/25 11:30:00 PM,7.10,25.02,,,,,
137,08/06/25 11:40:00 PM,7.11,24.98,,,,,
138,08/06/25 11:50:00 PM,7.06,24.94,,,,,
139,08/07/25 12:00:00 AM,7.02,24.90,,,,,
140,08/07/25 12:10:00 AM,7.02,24.86,,,,,
141,08/07/25 12:20:00 AM,7.02,24.82,,,,,
142,08/07/25 12:30:00 AM,7.02,24.78,,,,,
143,08/07/25 12:40:00 AM,6.99,24.76,,,,,
144,08/07/25 12:50:00 AM,6.98,24.72,,,,,
145,08/07/25 01:00:00 AM,6.95,24.68,,,,,
146,08/07/25 01:10:00 AM,6.97,24.64,,,,,
147,08/07/25 01:20:00 AM,6.97,24.62,,,,,
148,08/07/25 01:30:00 AM,6.96,24.58,,,,,
149,08/07/25 01:40:00 AM,6.95,24.54,,,,,
150,08/07/25 01:50:00 AM,6.94,24.52,,,,,
151,08/07/25 02:00:00 AM,6.88,24.50,,,,,
152,08/07/25 02:10:00 AM,6.92,24.46,,,,,
153,08/07/25 02:20:00 AM,6.93,24.42,,,,,
154,08/07/25 02:30:00 AM,6.92,24.40,,,,,
155,08/07/25 02:40:00 AM,6.93,24.36,,,,,
156,08/07/25 02:50:00 AM,6.94,24.34,,,,,
157,08/07/25 03:00:00 AM,6.93,24.32,,,,,
158,08/07/25 03:10:00 AM,6.92,24.30,,,,,
159,08/07/25 03:20:00 AM,6.90,24.28,,,,,
160,08/07/25 03:30:00 AM,6.94,24.24,,,,,
161,08/07/25 03:40:00 AM,6.93,24.22,,,,,
162,08/07/25 03:50:00 AM,6.90,24.20,,,,,
163,08/07/25 04:00:00 AM,6.94,24.18,,,,,
164,08/07/25 04:10:00 AM,6.87,24.16,,,,,
165,08/07/25 04:20:00 AM,6.95,24.12,,,,,
166,08/07/25 04:30:00 AM,6.95,24.10,,,,,
167,08/07/25 04:40:00 AM,6.93,24.08,,,,,
168,08/07/25 04:50:00 AM,6.93,24.06,,,,,
169,08/07/25 05:00:00 AM,6.95,24.04,,,,,
170,08/07/25 05:10:00 AM,6.93,24.02,,,,,
171,08/07/25 05:20:00 AM,6.95,23.98,,,,,
172,08/07/25 05:30:00 AM,6.92,23.96,,,,,
173,08/07/25 05:40:00 AM,6.97,23.94,,,,,
174,08/07/25 05:50:00 AM,6.93,23.94,,,,,
175,08/07/25 06:00:00 AM,6.90,23.92,,,,,
176,08/07/25 06:10:00 AM,6.90,23.90,,,,,
177,08/07/25 06:20:00 AM,6.88,23.88,,,,,
178,08/07/25 06:30:00 AM,6.88,23.88,,,,,
179,08/07/25 06:40:00 AM,6.90,23.86,,,,,
180,08/07/25 06:50:00 AM,6.89,23.84,,,,,
181,08/07/25 07:00:00 AM,6.91,23.84,,,,,
182,08/07/25 07:10:00 AM,6.91,23.84,,,,,
183,08/07/25 07:20:00 AM,6.90,23.82,,,,,
184,08/07/25 07:30:00 AM,6.91,23.80,,,,,
185,08/07/25 07:40:00 AM,6.90,23.80,,,,,
186,08/07/25 07:50:00 AM,6.91,23.78,,,,,
187,08/07/25 08:00:00 AM,6.96,23.76,,,,,
188,08/07/25 08:10:00 AM,6.94,23.76,,,,,
189,08/07/25 08:20:00 AM,6.95,23.74,,,,,
190,08/07/25 08:30:00 AM,6.98,23.74,,,,,
191,08/07/25 08:40:00 AM,6.98,23.74,,,,,
192,08/07/25 08:50:00 AM,6.97,23.74,,,,,
193,08/07/25 09:00:00 AM,7.02,23.74,,,,,
194,08/07/25 09:10:00 AM,7.08,23.76,,,,,
195,08/07/25 09:20:00 AM,7.12,23.76,,,,,
196,08/07/25 09:30:00 AM,7.17,23.78,,,,,
197,08/07/25 09:40:00 AM,7.20,23.78,,,,,
198,08/07/25 09:50:00 AM,7.26,23.80,,,,,
199,08/07/25 10:00:00 AM,7.29,23.80,,,,,
200,08/07/25 10:10:00 AM,7.35,23.80,,,,,
201,08/07/25 10:20:00 AM,7.41,23.82,,,,,
202,08/07/25 10:30:00 AM,7.41,23.82,,,,,
203,08/07/25 10:40:00 AM,7.49,23.84,,,,,
204,08/07/25 10:50:00 AM,7.56,23.92,,,,,
205,08/07/25 11:00:00 AM,7.68,24.02,,,,,
206,08/07/25 11:10:00 AM,7.63,23.98,,,,,
207,08/07/25 11:20:00 AM,7.79,23.98,,,,,
208,08/07/25 11:30:00 AM,7.81,24.04,,,,,
209,08/07/25 11:40:00 AM,7.81,24.08,,,,,
210,08/07/25 11:50:00 AM,7.83,24.08,,,,,
211,08/07/25 12:00:00 PM,7.95,24.08,,,,,
212,08/07/25 12:10:00 PM,8.02,24.12,,,,,
213,08/07/25 12:20:00 PM,7.96,24.14,,,,,
214,08/07/25 12:30:00 PM,8.02,24.14,,,,,
215,08/07/25 12:40:00 PM,8.16,24.12,,,,,
216,08/07/25 12:50:00 PM,8.10,23.98,,,,,
217,08/07/25 01:00:00 PM,8.04,23.92,,,,,
218,08/07/25 01:10:00 PM,8.01,23.86,,,,,
219,08/07/25 01:20:00 PM,8.11,23.86,,,,,
220,08/07/25 01:30:00 PM,8.18,23.84,,,,,
221,08/07/25 01:40:00 PM,8.23,23.82,,,,,
222,08/07/25 01:50:00 PM,8.21,23.80,,,,,
223,08/07/25 02:00:00 PM,8.25,23.84,,,,,
224,08/07/25 02:10:00 PM,8.26,23.86,,,,,
225,08/07/25 02:20:00 PM,8.36,23.92,,,,,
226,08/07/25 02:30:00 PM,8.69,24.18,,,,,
227,08/07/25 02:40:00 PM,9.06,26.08,,,,,
228,08/07/25 02:50:00 PM,8.93,27.48,,,,,
229,08/07/25 03:00:00 PM,9.07,28.16,,,,,
230,08/07/25 03:10:00 PM,9.07,28.44,,,,,
231,08/07/25 03:20:00 PM,9.10,28.82,,,,,
232,08/07/25 03:30:00 PM,9.33,29.02,,,,,
233,08/07/25 03:40:00 PM,9.38,29.20,,,,,
234,08/07/25 03:50:00 PM,9.30,29.40,,,,,
235,08/07/25 04:00:00 PM,9.35,29.50,,,,,
236,08/07/25 04:10:00 PM,9.51,29.60,,,,,
237,08/07/25 04:20:00 PM,9.68,29.72,,,,,
238,08/07/25 04:30:00 PM,9.42,29.76,,,,,
239,08/07/25 04:40:00 PM,9.21,29.72,,,,,
240,08/07/25 04:50:00 PM,9.03,29.72,,,,,
241,08/07/25 05:00:00 PM,9.21,29.78,,,,,
242,08/07/25 05:10:00 PM,8.99,29.84,,,,,
243,08/07/25 05:20:00 PM,9.09,29.88,,,,,
244,08/07/25 05:30:00 PM,9.28,29.92,,,,,
245,08/07/25 05:40:00 PM,9.23,29.92,,,,,
246,08/07/25 05:50:00 PM,9.02,29.84,,,,,
247,08/07/25 06:00:00 PM,8.71,29.74,,,,,
248,08/07/25 06:10:00 PM,8.26,29.58,,,,,
249,08/07/25 06:20:00 PM,8.21,29.40,,,,,
250,08/07/25 06:30:00 PM,8.31,29.34,,,,,
251,08/07/25 06:40:00 PM,8.66,29.34,,,,,
252,08/07/25 06:50:00 PM,8.58,29.30,,,,,
253,08/07/25 07:00:00 PM,8.40,29.22,,,,,
254,08/07/25 07:10:00 PM,8.16,29.06,,,,,
255,08/07/25 07:20:00 PM,8.10,28.84,,,,,
256,08/07/25 07:30:00 PM,7.91,28.62,,,,,
257,08/07/25 07:40:00 PM,7.80,28.36,,,,,
258,08/07/25 07:50:00 PM,7.63,28.10,,,,,
259,08/07/25 08:00:00 PM,7.51,27.90,,,,,
260,08/07/25 08:10:00 PM,7.44,27.72,,,,,
261,08/07/25 08:20:00 PM,7.39,27.54,,,,,
262,08/07/25 08:30:00 PM,7.26,27.38,,,,,
263,08/07/25 08:40:00 PM,7.27,27.24,,,,,
264,08/07/25 08:50:00 PM,7.22,27.12,,,,,
265,08/07/25 09:00:00 PM,7.11,27.00,,,,,
266,08/07/25 09:10:00 PM,7.16,26.90,,,,,
267,08/07/25 09:20:00 PM,7.12,26.78,,,,,
268,08/07/25 09:30:00 PM,7.06,26.68,,,,,
269,08/07/25 09:40:00 PM,7.01,26.58,,,,,
270,08/07/25 09:50:00 PM,6.99,26.48,,,,,
271,08/07/25 10:00:00 PM,6.94,26.38,,,,,
272,08/07/25 10:10:00 PM,6.94,26.28,,,,,
273,08/07/25 10:20:00 PM,6.91,26.18,,,,,
274,08/07/25 10:30:00 PM,6.89,26.12,,,,,
275,08/07/25 10:40:00 PM,6.87,26.04,,,,,
276,08/07/25 10:50:00 PM,6.84,25.96,,,,,
277,08/07/25 11:00:00 PM,6.80,25.90,,,,,
278,08/07/25 11:10:00 PM,6.79,25.84,,,,,
279,08/07/25 11:20:00 PM,6.77,25.78,,,,,
280,08/07/25 11:30:00 PM,6.74,25.72,,,,,
281,08/07/25 11:40:00 PM,6.70,25.66,,,,,
282,08/07/25 11:50:00 PM,6.68,25.60,,,,,
283,08/08/25 12:00:00 AM,6.65,25.54,,,,,
284,08/08/25 12:10:00 AM,6.63,25.48,,,,,
285,08/08/25 12:20:00 AM,6.62,25.44,,,,,
286,08/08/25 12:30:00 AM,6.63,25.38,,,,,
287,08/08/25 12:40:00 AM,6.60,25.34,,,,,
288,08/08/25 12:50:00 AM,6.60,25.28,,,,,
289,08/08/25 01:00:00 AM,6.58,25.24,,,,,
290,08/08/25 01:10:00 AM,6.61,25.18,,,,,
291,08/08/25 01:20:00 AM,6.60,25.14,,,,,
292,08/08/25 01:30:00 AM,6.60,25.08,,,,,
293,08/08/25 01:40:00 AM,6.59,25.04,,,,,
294,08/08/25 01:50:00 AM,6.62,25.00,,,,,
295,08/08/25 02:00:00 AM,6.58,24.94,,,,,
296,08/08/25 02:10:00 AM,6.61,24.90,,,,,
297,08/08/25 02:20:00 AM,6.62,24.86,,,,,
298,08/08/25 02:30:00 AM,6.62,24.82,,,,,
299,08/08/25 02:40:00 AM,6.64,24.78,,,,,
300,08/08/25 02:50:00 AM,6.64,24.74,,,,,
301,08/08/25 03:00:00 AM,6.63,24.70,,,,,
302,08/08/25 03:10:00 AM,6.63,24.66,,,,,
303,08/08/25 03:20:00 AM,6.63,24.62,,,,,
304,08/08/25 03:30:00 AM,6.66,24.58,,,,,
305,08/08/25 03:40:00 AM,6.67,24.56,,,,,
306,08/08/25 03:50:00 AM,6.68,24.52,,,,,
307,08/08/25 04:00:00 AM,6.70,24.48,,,,,
308,08/08/25 04:10:00 AM,6.69,24.46,,,,,
309,08/08/25 04:20:00 AM,6.69,24.42,,,,,
310,08/08/25 04:30:00 AM,6.71,24.40,,,,,
311,08/08/25 04:40:00 AM,6.67,24.36,,,,,
312,08/08/25 04:50:00 AM,6.70,24.34,,,,,
313,08/08/25 05:00:00 AM,6.71,24.30,,,,,
314,08/08/25 05:10:00 AM,6.62,24.30,,,,,
315,08/08/25 05:20:00 AM,6.71,24.26,,,,,
316,08/08/25 05:30:00 AM,6.70,24.22,,,,,
317,08/08/25 05:40:00 AM,6.70,24.20,,,,,
318,08/08/25 05:50:00 AM,6.71,24.18,,,,,
319,08/08/25 06:00:00 AM,6.74,24.16,,,,,
320,08/08/25 06:10:00 AM,6.69,24.12,,,,,
321,08/08/25 06:20:00 AM,6.69,24.10,,,,,
322,08/08/25 06:30:00 AM,6.68,24.08,,,,,
323,08/08/25 06:40:00 AM,6.70,24.06,,,,,
324,08/08/25 06:50:00 AM,6.70,24.04,,,,,
325,08/08/25 07:00:00 AM,6.71,24.02,,,,,
326,08/08/25 07:10:00 AM,6.70,24.00,,,,,
327,08/08/25 07:20:00 AM,6.72,23.98,,,,,
328,08/08/25 07:30:00 AM,6.74,23.98,,,,,
329,08/08/25 07:40:00 AM,6.73,23.96,,,,,
330,08/08/25 07:50:00 AM,6.76,23.94,,,,,
331,08/08/25 08:00:00 AM,6.68,23.94,,,,,
332,08/08/25 08:10:00 AM,6.75,23.94,,,,,
333,08/08/25 08:20:00 AM,6.80,23.94,,,,,
334,08/08/25 08:30:00 AM,6.86,23.92,,,,,
335,08/08/25 08:40:00 AM,6.89,23.92,,,,,
336,08/08/25 08:50:00 AM,6.92,23.92,,,,,
337,08/08/25 09:00:00 AM,6.99,23.92,,,,,
338,08/08/25 09:10:00 AM,7.07,23.92,,,,,
339,08/08/25 09:20:00 AM,7.05,23.94,,,,,
340,08/08/25 09:30:00 AM,7.09,23.94,,,,,
341,08/08/25 09:40:00 AM,7.17,23.96,,,,,
342,08/08/25 09:50:00 AM,7.19,23.98,,,,,
343,08/08/25 10:00:00 AM,7.31,24.00,,,,,
344,08/08/25 10:10:00 AM,7.35,24.04,,,,,
345,08/08/25 10:20:00 AM,7.44,24.06,,,,,
346,08/08/25 10:30:00 AM,7.44,24.08,,,,,
347,08/08/25 10:40:00 AM,7.56,24.12,,,,,
348,08/08/25 10:50:00 AM,7.56,24.16,,,,,
349,08/08/25 11:00:00 AM,7.60,24.20,,,,,
350,08/08/25 11:10:00 AM,7.72,24.26,,,,,
351,08/08/25 11:20:00 AM,7.73,24.26,,,,,
352,08/08/25 11:30:00 AM,7.83,24.32,,,,,
353,08/08/25 11:40:00 AM,7.82,24.34,,,,,
354,08/08/25 11:50:00 AM,7.88,24.30,,,,,
355,08/08/25 12:00:00 PM,7.88,24.26,,,,,
356,08/08/25 12:10:00 PM,7.97,24.26,,,,,
357,08/08/25 12:20:00 PM,7.99,24.26,,,,,
358,08/08/25 12:30:00 PM,8.06,24.26,,,,,
359,08/08/25 12:40:00 PM,8.08,24.28,,,,,
360,08/08/25 12:50:00 PM,8.12,24.26,,,,,
361,08/08/25 01:00:00 PM,8.17,24.26,,,,,
362,08/08/25 01:10:00 PM,8.03,24.20,,,,,
363,08/08/25 01:20:00 PM,8.16,24.16,,,,,
364,08/08/25 01:30:00 PM,8.05,24.10,,,,,
365,08/08/25 01:40:00 PM,8.28,24.16,,,,,
366,08/08/25 01:50:00 PM,8.28,24.14,,,,,
367,08/08/25 02:00:00 PM,8.28,24.08,,,,,
368,08/08/25 02:10:00 PM,8.28,24.10,,,,,
369,08/08/25 02:20:00 PM,8.26,24.06,,,,,
370,08/08/25 02:30:00 PM,8.30,24.06,,,,,
371,08/08/25 02:40:00 PM,8.26,24.12,,,,,
372,08/08/25 02:50:00 PM,8.56,24.18,,,,,
373,08/08/25 03:00:00 PM,8.07,24.32,,,,,
374,08/08/25 03:10:00 PM,9.13,25.26,,,,,
375,08/08/25 03:20:00 PM,9.22,26.94,,,,,
376,08/08/25 03:30:00 PM,9.38,27.64,,,,,
377,08/08/25 03:40:00 PM,9.46,27.92,,,,,
378,08/08/25 03:50:00 PM,9.71,28.20,,,,,
379,08/08/25 04:00:00 PM,9.59,28.44,,,,,
380,08/08/25 04:10:00 PM,9.74,28.62,,,,,
381,08/08/25 04:20:00 PM,9.75,28.80,,,,,
382,08/08/25 04:30:00 PM,9.60,28.92,,,,,
383,08/08/25 04:40:00 PM,9.44,28.98,,,,,
384,08/08/25 04:50:00 PM,9.80,29.14,,,,,
385,08/08/25 05:00:00 PM,9.66,29.18,,,,,
386,08/08/25 05:10:00 PM,9.50,29.22,,,,,
387,08/08/25 05:20:00 PM,9.47,29.22,,,,,
388,08/08/25 05:30:00 PM,9.20,29.14,,,,,
389,08/08/25 05:40:00 PM,9.17,29.10,,,,,
390,08/08/25 05:50:00 PM,9.35,29.14,,,,,
391,08/08/25 06:00:00 PM,9.07,29.04,,,,,
392,08/08/25 06:10:00 PM,9.00,29.00,,,,,
393,08/08/25 06:20:00 PM,9.04,29.00,,,,,
394,08/08/25 06:30:00 PM,8.66,28.92,,,,,
395,08/08/25 06:40:00 PM,8.44,28.80,,,,,
396,08/08/25 06:50:00 PM,8.39,28.72,,,,,
397,08/08/25 07:00:00 PM,8.52,28.62,,,,,
398,08/08/25 07:10:00 PM,8.59,28.56,,,,,
399,08/08/25 07:20:00 PM,8.61,28.54,,,,,
400,08/08/25 07:30:00 PM,8.42,28.46,,,,,
401,08/08/25 07:40:00 PM,8.15,28.26,,,,,
402,08/08/25 07:50:00 PM,8.03,28.08,,,,,
403,08/08/25 08:00:00 PM,7.89,27.90,,,,,
404,08/08/25 08:10:00 PM,7.77,27.74,,,,,
405,08/08/25 08:20:00 PM,7.62,27.56,,,,,
406,08/08/25 08:30:00 PM,7.55,27.42,,,,,
407,08/08/25 08:40:00 PM,7.48,27.26,,,,,
408,08/08/25 08:50:00 PM,7.40,27.12,,,,,
409,08/08/25 09:00:00 PM,7.36,27.00,,,,,
410,08/08/25 09:10:00 PM,7.30,26.88,,,,,
411,08/08/25 09:20:00 PM,7.26,26.74,,,,,
412,08/08/25 09:30:00 PM,7.19,26.64,,,,,
413,08/08/25 09:40:00 PM,7.15,26.52,,,,,
414,08/08/25 09:50:00 PM,7.13,26.42,,,,,
415,08/08/25 10:00:00 PM,7.07,26.32,,,,,
416,08/08/25 10:10:00 PM,7.08,26.22,,,,,
417,08/08/25 10:20:00 PM,7.04,26.12,,,,,
418,08/08/25 10:30:00 PM,6.99,26.04,,,,,
419,08/08/25 10:40:00 PM,6.95,25.96,,,,,
420,08/08/25 10:50:00 PM,6.97,25.88,,,,,
421,08/08/25 11:00:00 PM,6.92,25.80,,,,,
422,08/08/25 11:10:00 PM,6.96,25.70,,,,,
423,08/08/25 11:20:00 PM,6.90,25.64,,,,,
424,08/08/25 11:30:00 PM,6.86,25.58,,,,,
425,08/08/25 11:40:00 PM,6.84,25.52,,,,,
426,08/08/25 11:50:00 PM,6.85,25.46,,,,,
427,08/09/25 12:00:00 AM,6.84,25.40,,,,,
428,08/09/25 12:10:00 AM,6.79,25.34,,,,,
429,08/09/25 12:20:00 AM,6.77,25.30,,,,,
430,08/09/25 12:30:00 AM,6.75,25.26,,,,,
431,08/09/25 12:40:00 AM,6.74,25.20,,,,,
432,08/09/25 12:50:00 AM,6.73,25.14,,,,,
433,08/09/25 01:00:00 AM,6.76,25.10,,,,,
434,08/09/25 01:10:00 AM,6.74,25.04,,,,,
435,08/09/25 01:20:00 AM,6.74,25.00,,,,,
436,08/09/25 01:30:00 AM,6.73,24.94,,,,,
437,08/09/25 01:40:00 AM,6.73,24.90,,,,,
438,08/09/25 01:50:00 AM,6.73,24.86,,,,,
439,08/09/25 02:00:00 AM,6.76,24.80,,,,,
440,08/09/25 02:10:00 AM,6.75,24.76,,,,,
441,08/09/25 02:20:00 AM,6.71,24.74,,,,,
442,08/09/25 02:30:00 AM,6.77,24.68,,,,,
443,08/09/25 02:40:00 AM,6.74,24.64,,,,,
444,08/09/25 02:50:00 AM,6.76,24.60,,,,,
445,08/09/25 03:00:00 AM,6.76,24.56,,,,,
446,08/09/25 03:10:00 AM,6.76,24.54,,,,,
447,08/09/25 03:20:00 AM,6.77,24.50,,,,,
448,08/09/25 03:30:00 AM,6.79,24.46,,,,,
449,08/09/25 03:40:00 AM,6.78,24.44,,,,,
450,08/09/25 03:50:00 AM,6.78,24.42,,,,,
451,08/09/25 04:00:00 AM,6.77,24.38,,,,,
452,08/09/25 04:10:00 AM,6.77,24.36,,,,,
453,08/09/25 04:20:00 AM,6.77,24.32,,,,,
